Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,zen-browser/desktop,https://github.com/zen-browser/desktop,Welcome to a calmer internet,JavaScript,41018,1410,39 stars today,mr-cheffy; Slowlife01; kristijanribaric; octaviusz; BrhmDev
2,Mintplex-Labs/anything-llm,https://github.com/Mintplex-Labs/anything-llm,The all-in-one AI productivity accelerator. On device and privacy first with no annoying setup or configuration.,JavaScript,56988,6165,90 stars today,timothycarambat; shatfield4; angelplusultra; KPCOFGS; 17ColinMiPerry
3,figma/mcp-server-guide,https://github.com/figma/mcp-server-guide,A guide on how to use the Figma MCP server,JavaScript,731,57,25 stars today,ebentley-figma; mwilliams-figma; dwong-figma; jesselumarie; rbhalla-figma
4,mui/material-ui,https://github.com/mui/material-ui,Material UI: Comprehensive React component library that implements Google's Material Design. Free forever.,JavaScript,98022,32694,15 stars today,oliviertassinari; renovate; dmtrKovalenko; dependabot-preview; eps1lon
5,datawhalechina/easy-vibe,https://github.com/datawhalechina/easy-vibe,"A systematic tutorial on vibe coding, help beginners turn ideas into prototypes, MVPs, and launch-ready products.",JavaScript,4695,437,70 stars today,sanbuphy; GeoDaoyu; claude; 1985312383; SherryTECNU
6,EmulatorJS/EmulatorJS,https://github.com/EmulatorJS/EmulatorJS,A web-based frontend for RetroArch,JavaScript,3331,862,23 stars today,ethanaobrien; github-actions; allancoding; n-at; ElectronicsArchiver
7,vercel/next.js,https://github.com/vercel/next.js,The React Framework,JavaScript,138509,30723,33 stars today,ijjk; timneutkens; sokra; vercel-release-bot; huozhi
8,decolua/9router,https://github.com/decolua/9router,"Connect All AI Code Tools (Claude Code, Cursor, Antigravity, Copilot, Codex, Gemini, OpenCode, Cline, OpenClaw...) to 40+ AI Providers & 100+ Models",JavaScript,1355,362,29 stars today,cursoragent; claude; anuragg-saxenaa; catalinstanciu; Blade096
9,airbnb/javascript,https://github.com/airbnb/javascript,JavaScript Style Guide,JavaScript,148130,26751,8 stars today,ljharb; hshoff; lencioni; goatslacker; justjake
10,microsoft/monaco-editor,https://github.com/microsoft/monaco-editor,A browser based code editor,JavaScript,45845,4016,12 stars today,alexdima; hediet; aeschli; dependabot; rebornix
11,anuraghazra/github-readme-stats,https://github.com/anuraghazra/github-readme-stats,⚡ Dynamically generated stats for your github readmes,JavaScript,78919,31753,21 stars today,qwerty541; dependabot; anuraghazra; rickstaa; opheliagoldstein
12,webpack/webpack,https://github.com/webpack/webpack,"A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading parts of the application on demand. Through ""loaders"", modules can be CommonJs, AMD, ES6 modules, CSS, Images, JSON, Coffeescript, LESS, ... and your custom stuff.",JavaScript,65984,9362,7 stars today,sokra; alexander-akait; dependabot-preview; TheLarkInn; dependabot
13,atlassian/atlassian-mcp-server,https://github.com/atlassian/atlassian-mcp-server,"Remote MCP Server that securely connects Jira and Confluence with your LLM, IDE, or agent platform of choice.",JavaScript,507,54,4 stars today,lsosa1; pnguyen-atlassian; iosamaatlassian; ekahinga; evperlman1
