Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,LibreSpark/LibreTV,https://github.com/LibreSpark/LibreTV,一分钟搭建影视站，支持Vercel/Docker等部署方式,JavaScript,13699,27385,9 stars today,bestZwei; github-actions; senshinya; JohnsonRan; WLongSAMA
2,asgeirtj/system_prompts_leaks,https://github.com/asgeirtj/system_prompts_leaks,"Extracted system prompts from Anthropic - Claude Fable 5, Opus 4.8, Claude Code, Claude Design. OpenAI - ChatGPT 5.5 Thinking, GPT 5.5 Instant, Codex. Google - Gemini 3.5 Flash, 3.1 Pro, Antigravity. xAI - Grok, Cursor, Copilot, VS Code, Perplexity, and more. Updated regularly.",JavaScript,41888,6934,166 stars today,asgeirtj; claude; awrreny; anonymous619259; lcebot
3,rabbitmq/rabbitmq-server,https://github.com/rabbitmq/rabbitmq-server,Open source RabbitMQ: core server and tier 1 (built-in) plugins,JavaScript,13710,4008,5 stars today,michaelklishin; dumbbell; rade; hairyhum; kjnilsson
4,JuliusBrussee/caveman,https://github.com/JuliusBrussee/caveman,🪨 why use many token when few token do trick — Claude Code skill that cuts 65% of tokens by talking like caveman,JavaScript,71971,4054,443 stars today,JuliusBrussee; claude; sebastianbreguel; github-actions; vraj00222
5,CesiumGS/cesium,https://github.com/CesiumGS/cesium,An open-source JavaScript library for world-class 3D globes and maps 🌎,JavaScript,15369,3819,4 stars today,bagnell; pjcozzi; mramato; lilleyse; ggetz
6,zarazhangrui/frontend-slides,https://github.com/zarazhangrui/frontend-slides,Create beautiful slides on the web using a coding agent's frontend skills,JavaScript,21429,1755,140 stars today,zarazhangrui; claude; lilyzhng; Vaibhavee89; kbanc85
7,Wei-Shaw/claude-relay-service,https://github.com/Wei-Shaw/claude-relay-service,CRS-自建Claude Code镜像，一站式开源中转服务，让 Claude、OpenAI、Gemini、Droid 订阅统一接入，支持拼车共享，更高效分摊成本，原生工具无缝使用。,JavaScript,12072,1818,16 stars today,Wei-Shaw; claude; github-actions; f3n9; kevinconan
8,DataDog/dd-trace-js,https://github.com/DataDog/dd-trace-js,Datadog APM client for Node.js,JavaScript,815,395,0 stars today,rochdev; juan-fernandez; BridgeAR; watson; bengl
9,prebid/Prebid.js,https://github.com/prebid/Prebid.js,Setup and manage header bidding advertising partners without writing code or confusing line items. Prebid.js is open source and free.,JavaScript,1583,2367,0 stars today,patmmccann; dgirardi; prebidjs-release; jsnellbaker; mkendall07
10,fanmingming/live,https://github.com/fanmingming/live,✯ 可直连访问的电视/广播图标库与相关工具项目 ✯ 🔕 永久免费 直连访问 完整开源 不断完善的台标 支持IPv4/IPv6双栈访问 🔕,JavaScript,28125,4204,6 stars today,github-actions; fanmingming; SeastLeePro; JeremyQian001; sln162
11,gsd-build/get-shit-done,https://github.com/gsd-build/get-shit-done,"A light-weight and powerful meta-prompting, context engineering and spec-driven development system for Claude Code by TÂCHES.",JavaScript,64176,5462,48 stars today,trek-e; claude; glittercowboy; Tibsfox; jeremymcs
12,thedotmack/claude-mem,https://github.com/thedotmack/claude-mem,"Persistent Context Across Sessions for Every Agent – Captures everything your agent does during sessions, compresses it with AI, and injects relevant context back into future sessions. Works with Claude Code, OpenClaw, Codex, Gemini, Hermes, Copilot, OpenCode + More",JavaScript,82021,7081,197 stars today,thedotmack; claude; Copilot; ousamabenyounes; rodboev
13,projectdiscovery/nuclei-templates,https://github.com/projectdiscovery/nuclei-templates,Community curated list of templates for the nuclei engine to find security vulnerabilities.,JavaScript,12506,3525,7 stars today,actions-user; DhiyaneshGeek; princechaddha; ritikchaddha; ehsandeep
