Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,asgeirtj/system_prompts_leaks,https://github.com/asgeirtj/system_prompts_leaks,"Extracted system prompts from Anthropic - Claude Fable 5, Opus 4.8, Claude Code, Claude Design. OpenAI - ChatGPT 5.5 Thinking, GPT 5.5 Instant, Codex. Google - Gemini 3.5 Flash, 3.1 Pro, Antigravity. xAI - Grok, Cursor, Copilot, VS Code, Perplexity, and more. Updated regularly.",JavaScript,51758,8435,"1,378 stars today",asgeirtj; claude; awrreny; anonymous619259; lcebot
2,Leonxlnx/taste-skill,https://github.com/Leonxlnx/taste-skill,"Taste-Skill - gives your AI good taste. stops the AI from generating boring, generic slop",JavaScript,59153,4027,"1,458 stars today",Leonxlnx; cursoragent; claude; luojiyin1987; jkk442
3,openai/codex-plugin-cc,https://github.com/openai/codex-plugin-cc,Use Codex from Claude Code to review code or delegate tasks.,JavaScript,26343,1580,906 stars today,dkundel-openai; VOIDXAI; claude; xiaolai; zeta987
4,coreyhaines31/marketingskills,https://github.com/coreyhaines31/marketingskills,"Marketing skills for Claude Code and AI agents. CRO, copywriting, SEO, analytics, and growth engineering.",JavaScript,36868,5931,517 stars today,coreyhaines31; claude; njcameron; Jiliac; basseko
5,JuliusBrussee/caveman,https://github.com/JuliusBrussee/caveman,🪨 why use many token when few token do trick — Claude Code skill that cuts 65% of tokens by talking like caveman,JavaScript,85772,4775,932 stars today,JuliusBrussee; claude; github-actions; sebastianbreguel; vraj00222
6,nodejs/node,https://github.com/nodejs/node,Node.js JavaScript runtime ✨🐢🚀✨,JavaScript,118095,35969,122 stars today,Trott; ry; bnoordhuis; addaleax; isaacs
7,thedotmack/claude-mem,https://github.com/thedotmack/claude-mem,"Persistent Context Across Sessions for Every Agent – Captures everything your agent does during sessions, compresses it with AI, and injects relevant context back into future sessions. Works with Claude Code, OpenClaw, Codex, Gemini, Hermes, Copilot, OpenCode + More",JavaScript,86182,7455,209 stars today,thedotmack; claude; Copilot; ousamabenyounes; rodboev
8,gorhill/uBlock,https://github.com/gorhill/uBlock,uBlock Origin - An efficient blocker for Chromium and Firefox. Fast and lean.,JavaScript,66009,4208,28 stars today,gorhill; Deathamns; chrisaljoudi; mjethani; AlexVallat
9,decolua/9router,https://github.com/decolua/9router,"Unlimited FREE AI coding. Connect Claude Code, Codex, Cursor, Cline, Copilot, Antigravity to FREE Claude/GPT/Gemini via 40+ providers. Auto-fallback, RTK -40% tokens, never hit limits.",JavaScript,20366,3309,312 stars today,cursoragent; anuragg-saxenaa; claude; catalinstanciu; Blade096
10,react/react,https://github.com/react/react,The library for web and native user interfaces.,JavaScript,246276,51228,41 stars today,sebmarkbage; zpao; gaearon; acdlite; sophiebits
11,louislam/uptime-kuma,https://github.com/louislam/uptime-kuma,A fancy self-hosted monitoring tool,JavaScript,88828,8090,59 stars today,louislam; CommanderStorm; chakflying; Saibamen; Computroniks
12,SillyTavern/SillyTavern,https://github.com/SillyTavern/SillyTavern,LLM Frontend for Power Users.,JavaScript,30353,5740,61 stars today,Cohee1207; Wolfsblvt; RossAscends; LenAnderson; valadaptive
13,jellyfin/jellyfin-web,https://github.com/jellyfin/jellyfin-web,The Free Software Media System - Official Web Client,JavaScript,3683,2077,3 stars today,thornbill; LukePulverenti; dkanada; WWWesten; renovate
14,webbrain-one/webbrain,https://github.com/webbrain-one/webbrain,Open-source AI browser agent for Chrome and Firefox (monorepo) 🧠,JavaScript,255,30,34 stars today,esokullu; claude; github-actions; webbrain-one; Elijah-hash7
15,betaflight/betaflight-configurator,https://github.com/betaflight/betaflight-configurator,Cross platform configuration and management application for the Betaflight firmware,JavaScript,3237,1095,5 stars today,mikeller; cTn-dev; haslinghuis; McGiverGim; hydra
16,truelockmc/streambert,https://github.com/truelockmc/streambert,"A cross-platform Electron Desktop App to stream and download any Movie, TV Series or Anime in the World. Zero Ads and Tracking",JavaScript,5722,505,50 stars today,truelockmc; rogueburger21; jeremyHOT; aimen08; GunSliger00007
