Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,poteto/hiring-without-whiteboards,https://github.com/poteto/hiring-without-whiteboards,⭐️ Companies that don't have a broken hiring process,JavaScript,51131,3904,74 stars today,bors; poteto; desjardinsalec; abdusabri; stansotn
2,jgraph/drawio,https://github.com/jgraph/drawio,"draw.io is a JavaScript, client-side editor for general diagramming.",JavaScript,6848,1076,19 stars today,davidjgraph; alderg; mediaslav; m-mohamedin; MJomaa
3,sohzm/cheating-daddy,https://github.com/sohzm/cheating-daddy,a free and opensource app that lets you gain an unfair advantage,JavaScript,5501,932,61 stars today,sohzm; byigitt; sandys; claude; ManojINaik
4,atlassian/atlassian-mcp-server,https://github.com/atlassian/atlassian-mcp-server,"Official remote MCP server for Atlassian. Securely connect Jira, Confluence, Jira Service Management, Bitbucket, and Compass to Claude, ChatGPT, Cursor, VS Code, and other AI tools using OAuth 2.1 or API tokens.",JavaScript,868,111,3 stars today,lsosa1; jatinkrmalik; pnguyen-atlassian; iosamaatlassian; ekahinga
5,coreyhaines31/marketingskills,https://github.com/coreyhaines31/marketingskills,"Marketing skills for Claude Code and AI agents. CRO, copywriting, SEO, analytics, and growth engineering.",JavaScript,40422,6383,206 stars today,coreyhaines31; claude; njcameron; Jiliac; basseko
6,fleetbase/fleetbase,https://github.com/fleetbase/fleetbase,Modular logistics and supply chain operating system (LSOS),JavaScript,2114,715,10 stars today,roncodes; shivthakker; ekini; TemuulenBM; tortuvshin
7,schlagmichdoch/PairDrop,https://github.com/schlagmichdoch/PairDrop,"PairDrop: Transfer Files Cross-Platform. No Setup, No Signup.",JavaScript,10963,654,36 stars today,schlagmichdoch; RobinLinus; weblate; dependabot; PaulSzymanski
8,microsoft/monaco-editor,https://github.com/microsoft/monaco-editor,A browser based code editor,JavaScript,46370,4093,11 stars today,alexdima; hediet; dependabot; aeschli; rebornix
9,songquanpeng/one-api,https://github.com/songquanpeng/one-api,"LLM API 管理 & 分发系统，支持 OpenAI、Azure、Anthropic Claude、Google Gemini、DeepSeek、字节豆包、ChatGLM、文心一言、讯飞星火、通义千问、360 智脑、腾讯混元等主流模型，统一 API 适配，可用于 key 管理与二次分发。单可执行文件，提供 Docker 镜像，一键部署，开箱即用。LLM API management & key redistribution system, unifying multiple providers under a single API. Single binary, Docker-ready, with an English UI.",JavaScript,35792,6747,27 stars today,songquanpeng; mrhaoji; Laisky; igophper; quzard
10,wwebjs/whatsapp-web.js,https://github.com/wwebjs/whatsapp-web.js,A WhatsApp client library for NodeJS that connects through the WhatsApp Web browser app,JavaScript,22213,5060,11 stars today,pedroslopez; alechkos; wwebjs-bot; BenyFilho; purpshell
11,NomaDamas/k-skill,https://github.com/NomaDamas/k-skill,"한국인을 위한 스킬 모음집 - SRT, KTX, 카카오톡, 한글과컴퓨터, 날씨, 미세먼지, 법령, 주식정보, 조선왕조실록, KBO, K-리그, LCK, 특허 검색, 토스 증권, 맞춤법 검사, 중고차 가격, 쿠팡, 네이버 블로그, 다이소, 올리브영, 택배 송장 조회 등등...",JavaScript,6353,721,96 stars today,vkehfdl1; claude; github-actions; taeyoung1005; Mineru98
12,louislam/uptime-kuma,https://github.com/louislam/uptime-kuma,A fancy self-hosted monitoring tool,JavaScript,89229,8133,43 stars today,louislam; CommanderStorm; chakflying; Saibamen; Computroniks
13,FB208/OpenBidKit_Yibiao,https://github.com/FB208/OpenBidKit_Yibiao,开箱即用的AI标书编写工具，标书AI生成工具，投标工具箱、知识库、标书查重、废标项检查，完全开源免费，欢迎使用,JavaScript,1782,480,346 stars today,FB208; wll447; claude; yibiaoai; kkjzio
14,SillyTavern/SillyTavern,https://github.com/SillyTavern/SillyTavern,LLM Frontend for Power Users.,JavaScript,30829,5819,51 stars today,Cohee1207; Wolfsblvt; RossAscends; LenAnderson; valadaptive
15,nodejs/undici,https://github.com/nodejs/undici,"An HTTP/1.1 client, written from scratch for Node.js",JavaScript,7646,804,0 stars today,ronag; mcollina; KhafraDev; Uzlopak; dependabot
