Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,addyosmani/agent-skills,https://github.com/addyosmani/agent-skills,Production-grade engineering skills for AI coding agents.,JavaScript,82027,8826,226 stars today,addyosmani; nucliweb; federicobartoli; claude; dj2313
2,vercel/next.js,https://github.com/vercel/next.js,The React Framework,JavaScript,141567,31681,68 stars today,ijjk; timneutkens; sokra; vercel-release-bot; huozhi
3,pbakaus/impeccable,https://github.com/pbakaus/impeccable,The design language that makes your AI harness better at design.,JavaScript,55863,3383,645 stars today,pbakaus; claude; github-actions; abdulwahabone; dependabot
4,Leonxlnx/taste-skill,https://github.com/Leonxlnx/taste-skill,"Taste-Skill - gives your AI good taste. stops the AI from generating boring, generic slop",JavaScript,72577,4992,671 stars today,Leonxlnx; cursoragent; claude; luojiyin1987; jkk442
5,byoungd/up,https://github.com/byoungd/up,An advanced guide which might benefit you a lot 🎉 . 人生进阶指南 离谱的人生 离谱的英语学习指南/英语学习教程/英语学习/学英语,JavaScript,57480,5888,120 stars today,byoungd; fakesnow; holtenko; WMXPY; overtrue
6,eze-is/web-access,https://github.com/eze-is/web-access,给 Claude Code 装上完整联网能力的 skill：三层通道调度 + 浏览器 CDP + 并行分治,JavaScript,8555,607,15 stars today,EzeW; claude; eze-is; gavinlinasd; VegetaPn
7,xuanyustudio/LocalMiniDrama,https://github.com/xuanyustudio/LocalMiniDrama,"🎬 seedance2接入 开源本地 AI 短剧 & 漫剧生成工具 —— 从故事到成片一站式完成，数据不出本机，短剧工作流管理平台，高灵活度，AI真人剧，AI漫剧本地搞定。 Open-source local AI short drama maker: story → storyboard → video, fully offline, your data stays yours. 纳米流水线",JavaScript,1141,286,40 stars today,xuanyustudio; Link-1028; 4022chat; Linorman; cursoragent
8,is-a-dev/register,https://github.com/is-a-dev/register,Grab your own sweet-looking '.is-a.dev' subdomain.,JavaScript,10915,26191,12 stars today,DEV-DIBSTER; STICKnoLOGIC; iostpa; orangci; wdhdev
9,nodejs/node,https://github.com/nodejs/node,Node.js JavaScript runtime ✨🐢🚀✨,JavaScript,118796,36364,68 stars today,Trott; ry; bnoordhuis; addaleax; isaacs
10,atlassian/atlassian-mcp-server,https://github.com/atlassian/atlassian-mcp-server,"Official remote MCP server for Atlassian. Securely connect Jira, Confluence, Jira Service Management, Bitbucket, and Compass to Claude, ChatGPT, Cursor, VS Code, and other AI tools using OAuth 2.1 or API tokens.",JavaScript,942,117,8 stars today,lsosa1; jatinkrmalik; pnguyen-atlassian; iosamaatlassian; ekahinga
11,TryGhost/Ghost,https://github.com/TryGhost/Ghost,"Independent technology for modern publishing, memberships, subscriptions and newsletters.",JavaScript,54690,11869,23 stars today,kevinansfield; ErisDS; renovate; renovate-bot; allouis
12,webpack/webpack,https://github.com/webpack/webpack,"A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading parts of the application on demand. Through ""loaders"", modules can be CommonJs, AMD, ES6 modules, CSS, Images, JSON, Coffeescript, LESS, ... and your custom stuff.",JavaScript,65985,9531,83 stars today,sokra; alexander-akait; dependabot-preview; dependabot; TheLarkInn
13,OWASP/threat-dragon,https://github.com/OWASP/threat-dragon,An open source threat modeling tool from OWASP,JavaScript,1553,393,1 star today,jgadsden; lreading; mike-goodwin; dependabot; AndreRFerreira
14,zotero/zotero,https://github.com/zotero/zotero,"Zotero is a free, easy-to-use tool to help you collect, organize, annotate, cite, and share your research sources.",JavaScript,14882,1085,14 stars today,dstillman; simonster; AbeJellinek; adomasven; mrtcode
