Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,addyosmani/agent-skills,https://github.com/addyosmani/agent-skills,Production-grade engineering skills for AI coding agents.,JavaScript,83921,8969,"1,131 stars today",addyosmani; nucliweb; federicobartoli; claude; Liyuk
2,coreyhaines31/marketingskills,https://github.com/coreyhaines31/marketingskills,"Marketing skills for Claude Code and AI agents. CRO, copywriting, SEO, analytics, and growth engineering.",JavaScript,43460,6843,158 stars today,coreyhaines31; claude; njcameron; Jiliac; basseko
3,microsoft/power-platform-skills,https://github.com/microsoft/power-platform-skills,"A plugin marketplace for Claude Code/GitHub Copilot that provides Power Platform development plugins, including reusable skills, agents, and commands for building and deploying solutions.",JavaScript,639,129,13 stars today,priyanshu92; claude; Copilot; lesaltzm; Copilot
4,Leonxlnx/taste-skill,https://github.com/Leonxlnx/taste-skill,"Taste-Skill - gives your AI good taste. stops the AI from generating boring, generic slop",JavaScript,73878,5063,720 stars today,Leonxlnx; cursoragent; claude; luojiyin1987; jkk442
5,byoungd/up,https://github.com/byoungd/up,An advanced guide which might benefit you a lot 🎉 . 人生进阶指南 离谱的人生 离谱的英语学习指南/英语学习教程/英语学习/学英语,JavaScript,57768,5922,97 stars today,byoungd; fakesnow; holtenko; WMXPY; overtrue
6,JuliusBrussee/caveman,https://github.com/JuliusBrussee/caveman,🪨 why use many token when few token do trick — Claude Code skill that cuts 65% of tokens by talking like caveman,JavaScript,96716,5561,299 stars today,JuliusBrussee; claude; github-actions; sebastianbreguel; vraj00222
7,WorldFlowAI/everything-claude-code,https://github.com/WorldFlowAI/everything-claude-code,"Claude Code toolkit - agents, commands, skills, rules, and hooks for productive AI-assisted development",JavaScript,1056,200,68 stars today,affaan-m; gzb1128; claude; zbennett10; zerx-lab
8,freestylefly/awesome-gpt-image-2,https://github.com/freestylefly/awesome-gpt-image-2,Prompt as Code | GPT-Image2 工业级提示词引擎与模板库，470+ 个案例逆向工程，20+ 套工业级模板，并提炼出Skills，持续更新中,JavaScript,9871,1197,207 stars today,freestylefly; claude; ImgBotApp; LengShangbai; sscodeai
9,pbakaus/impeccable,https://github.com/pbakaus/impeccable,The design language that makes your AI harness better at design.,JavaScript,56733,3456,476 stars today,pbakaus; claude; github-actions; abdulwahabone; dependabot
10,microsoft/Web-Dev-For-Beginners,https://github.com/microsoft/Web-Dev-For-Beginners,"24 Lessons, 12 Weeks, Get Started as a Web Developer",JavaScript,96237,15750,36 stars today,jlooper; skytin1004; leestott; softchris; dependabot
11,affaan-m/ECC,https://github.com/affaan-m/ECC,"The agent harness performance optimization system. Skills, instincts, memory, security, and research-first development for Claude Code, Codex, Opencode, Cursor and beyond.",JavaScript,238585,36230,325 stars today,affaan-m; claude; pangerlkr; dependabot; greptile-apps
12,drawdb-io/drawdb,https://github.com/drawdb-io/drawdb,"Free, simple, and intuitive online database diagram editor and SQL generator.",JavaScript,38446,3140,51 stars today,1ilit; dependabot; picimako; haecheonlee; KARM99
13,thedotmack/claude-mem,https://github.com/thedotmack/claude-mem,"Persistent Context Across Sessions for Every Agent – Captures everything your agent does during sessions, compresses it with AI, and injects relevant context back into future sessions. Works with Claude Code, OpenClaw, Codex, Gemini, Hermes, Copilot, OpenCode + More",JavaScript,90010,7835,149 stars today,thedotmack; claude; Copilot; rodboev; ousamabenyounes
