Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,TauricResearch/TradingAgents,https://github.com/TauricResearch/TradingAgents,TradingAgents: Multi-Agents LLM Financial Trading Framework,Python,60024,11536,"2,112 stars today",Yijia-Xiao; EdwardoSunny; luohy15; claude; CadeYu
2,soxoj/maigret,https://github.com/soxoj/maigret,🕵️‍♂️ Collect a dossier on a person by username from 3000+ sites,Python,21747,1520,535 stars today,soxoj; dependabot; kustermariocoding; Copilot; fen0s
3,hugohe3/ppt-master,https://github.com/hugohe3/ppt-master,"AI generates natively editable PPTX from any document — real PowerPoint shapes with native animations, not images · by Hugo He",Python,10432,1099,370 stars today,hugohe3; claude; shandianchengzi; scientificworld; ximiximi423
4,google-research/timesfm,https://github.com/google-research/timesfm,TimesFM (Time Series Foundation Model) is a pretrained time-series foundation model developed by Google Research for time-series forecasting.,Python,19225,1860,132 stars today,rajatsen91; siriuz42; misha-chertushkin; darkpowerxo; JustinGuese
5,NVlabs/GR00T-WholeBodyControl,https://github.com/NVlabs/GR00T-WholeBodyControl,"Welcome to GR00T Whole-Body Control (WBC)! This is a unified platform for developing and deploying advanced humanoid controllers. This includes: Decoupled WBC models used in NVIDIA Isaac-Gr00t, Gr00t N1.5 and N1.6 and GEAR-SONIC",Python,1794,223,32 stars today,ZhengyiLuo; xdaNvidia; Dingry; claude; chenran-nvidia
6,AIDC-AI/Pixelle-Video,https://github.com/AIDC-AI/Pixelle-Video,🚀 AI 全自动短视频引擎 | AI Fully Automated Short Video Engine,Python,8701,1393,296 stars today,puke3615; lltt90511; AuroraChloe; xianshi-yyds; strict235
7,Lightricks/LTX-2,https://github.com/Lightricks/LTX-2,Official Python inference and LoRA trainer package for the LTX-2 audio–video generative model.,Python,6251,1003,30 stars today,michaellightricks; github-actions
8,nikopueringer/CorridorKey,https://github.com/nikopueringer/CorridorKey,Perfect Green Screen Keys,Python,12758,757,215 stars today,claude; cmoyates; nikopueringer; taylorOntologize; shezmic
9,the-momentum/open-wearables,https://github.com/the-momentum/open-wearables,Self-hosted platform to unify wearable health data through one AI-ready API.,Python,1510,237,29 stars today,bartmichalak; KaliszS; czajkub; farce1; FBegiello
10,public-apis/public-apis,https://github.com/public-apis/public-apis,A collective list of free APIs,Python,430006,46920,716 stars today,matheusfelipeog; davemachado; pawelborkar; jbrooksuk; marekdano
11,Tencent/AngelSlim,https://github.com/Tencent/AngelSlim,"Model compression toolkit engineered for enhanced usability, comprehensiveness, and efficiency.",Python,757,92,38 stars today,yghstill; irisliu10; liusong1222; RuBing-Yang; ali-88123
12,microsoft/TRELLIS,https://github.com/microsoft/TRELLIS,"Official repo for paper ""Structured 3D Latents for Scalable and Versatile 3D Generation"" (CVPR'25 Spotlight).",Python,12406,1175,19 stars today,JeffreyXiang; sicxu; microsoftopensource; YuDeng; ForeverFancy
13,github/awesome-copilot,https://github.com/github/awesome-copilot,"Community-contributed instructions, agents, skills, and configurations to help you make the most of GitHub Copilot.",Python,31924,3864,116 stars today,aaronpowell; github-actions; Copilot; Copilot; Copilot
