Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,PriorLabs/TabPFN,https://github.com/PriorLabs/TabPFN,⚡ TabPFN: Foundation Model for Tabular Data ⚡,Python,6609,658,218 stars today,LeoGrin; oscarkey; bejaeger; noahho; dependabot
2,LearningCircuit/local-deep-research,https://github.com/LearningCircuit/local-deep-research,"~95% on SimpleQA (e.g. Qwen3.6-27B on a 3090). Supports all local and cloud LLMs (llama.cpp, Ollama, Google, ...). 10+ search engines - arXiv, PubMed, your private documents. Everything Local & Encrypted.",Python,5716,517,532 stars today,LearningCircuit; github-actions; djpetti; dependabot; HashedViking
3,anthropics/financial-services,https://github.com/anthropics/financial-services,Pas de description,Python,9257,1259,641 stars today,cxyback; manar-ant; mihilmy; tobinsouth; vinitra-ant
4,cheahjs/free-llm-api-resources,https://github.com/cheahjs/free-llm-api-resources,A list of free LLM inference resources accessible via API.,Python,20556,2094,198 stars today,cheahjs; github-actions; salmanmkc; justmarkham; k-bose
5,shiyu-coder/Kronos,https://github.com/shiyu-coder/Kronos,Kronos: A Foundation Model for the Language of Financial Markets,Python,23230,4065,234 stars today,shiyu-coder; Luciferbobo; CharlesJ-ABu; AnMakc; randyy179
6,bytedance/deer-flow,https://github.com/bytedance/deer-flow,"An open-source long-horizon SuperAgent harness that researches, codes, and creates. With the help of sandboxes, memories, tools, skill, subagents and message gateway, it handles different levels of tasks that could take minutes to hours.",Python,65594,8671,337 stars today,MagicCube; WillemJiang; hetaoBackend; henry-byted; claude
7,D4Vinci/Scrapling,https://github.com/D4Vinci/Scrapling,🕷️ An adaptive Web Scraping framework that handles everything from a single request to a full-scale crawl!,Python,46399,4290,"1,125 stars today",D4Vinci; AbdullahY36; claude; yetval; mhillebrand
8,pytorch/pytorch,https://github.com/pytorch/pytorch,Tensors and Dynamic neural networks in Python with strong GPU acceleration,Python,99703,27694,49 stars today,pytorchmergebot; ezyang; malfet; zou3519; jerryzh168
9,AIDC-AI/Pixelle-Video,https://github.com/AIDC-AI/Pixelle-Video,🚀 AI 全自动短视频引擎 | AI Fully Automated Short Video Engine,Python,12821,1939,"1,239 stars today",puke3615; lltt90511; AuroraChloe; xianshi-yyds; strict235
10,Q00/ouroboros,https://github.com/Q00/ouroboros,Agent OS: Stop prompting. Start specifying.,Python,3546,344,143 stars today,claude; Q00; shaun0927; Sathvik-1007; hackertaco
11,onyx-dot-app/onyx,https://github.com/onyx-dot-app/onyx,Open Source AI Platform - AI Chat with advanced features that works with every LLM,Python,29094,3915,116 stars today,github-merge-queue; Weves; yuhongsun96; pablonyx; jmelahman
12,public-apis/public-apis,https://github.com/public-apis/public-apis,A collective list of free APIs,Python,432777,47327,661 stars today,matheusfelipeog; davemachado; pawelborkar; jbrooksuk; marekdano
13,cocoindex-io/cocoindex,https://github.com/cocoindex-io/cocoindex,Incremental engine for long horizon agents 🌟 Star if you like it!,Python,8651,639,364 stars today,georgeh0; badmonster0; claude; lemorage; Haleshot
14,Shubhamsaboo/awesome-llm-apps,https://github.com/Shubhamsaboo/awesome-llm-apps,"100+ AI Agent & RAG apps you can actually run — clone, customize, ship.",Python,109078,16136,200 stars today,Shubhamsaboo; Madhuvod; onestardao; libw0430; awesomekoder
15,hsliuping/TradingAgents-CN,https://github.com/hsliuping/TradingAgents-CN,基于多智能体LLM的中文金融交易框架 - TradingAgents中文增强版,Python,25792,5437,116 stars today,hsliuping; Yijia-Xiao; EdwardoSunny; ZeroAct; BG8CFB
16,Arindam200/awesome-ai-apps,https://github.com/Arindam200/awesome-ai-apps,"A collection of projects showcasing RAG, agents, workflows, and other AI use cases",Python,11808,1512,799 stars today,Arindam200; shivaylamba; 3rd-Son; coderabbitai; Astrodevil
17,raullenchai/Rapid-MLX,https://github.com/raullenchai/Rapid-MLX,"The fastest local AI engine for Apple Silicon. 4.2x faster than Ollama, 0.08s cached TTFT, 100% tool calling. 17 tool parsers, prompt cache, reasoning separation, cloud routing. Drop-in OpenAI replacement. Works with Claude Code, Cursor, Aider.",Python,1722,233,216 stars today,claude; raullenchai; waybarrios; janhilgard; masonjames
18,kyutai-labs/pocket-tts,https://github.com/kyutai-labs/pocket-tts,A TTS that fits in your CPU (and pocket),Python,4233,470,49 stars today,gabrieldemarmiesse; vvolhejn; thataboy; darknight054; Shackless
