Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,anthropics/financial-services,https://github.com/anthropics/financial-services,Pas de description,Python,17543,2232,"3,281 stars today",cxyback; manar-ant; mihilmy; tobinsouth; viveknair
2,datawhalechina/hello-agents,https://github.com/datawhalechina/hello-agents,📚 《从零开始构建智能体》——从零开始的智能体原理与实践教程,Python,45766,5539,"1,197 stars today",jjyaoao; HeteroCat; JJasonSun; fengju0213; Tasselszcx
3,HKUDS/ViMax,https://github.com/HKUDS/ViMax,"""ViMax: Agentic Video Generation (Director, Screenwriter, Producer, and Video Generator All-in-One)""",Python,3608,660,108 stars today,Hengji-cs; xvrrr; chaohuang-ai; akaxlh; tun-sudo
4,CloakHQ/CloakBrowser,https://github.com/CloakHQ/CloakBrowser,Stealth Chromium that passes every bot detection test. Drop-in Playwright replacement with source-level fingerprint patches. 30/30 tests passed.,Python,4008,318,"1,167 stars today",Cloak-HQ; evelaa123; Durafen; dependabot; kitiho
5,freemocap/freemocap,https://github.com/freemocap/freemocap,Free Motion Capture for Everyone 💀✨,Python,8382,744,107 stars today,jonmatthis; aaroncherian; endurance; philipqueen; trentwirth
6,NVlabs/GR00T-WholeBodyControl,https://github.com/NVlabs/GR00T-WholeBodyControl,"Welcome to GR00T Whole-Body Control (WBC)! This is a unified platform for developing and deploying advanced humanoid controllers. This includes: Decoupled WBC models used in NVIDIA Isaac-Gr00t, Gr00t N1.5 and N1.6 and GEAR-SONIC",Python,1919,245,19 stars today,ZhengyiLuo; xdaNvidia; fcastanedaga; Dingry; claude
7,PaddlePaddle/PaddleOCR,https://github.com/PaddlePaddle/PaddleOCR,"Turn any PDF or image document into structured data for your AI. A powerful, lightweight OCR toolkit that bridges the gap between images/PDFs and LLMs. Supports 100+ languages.",Python,77508,10398,90 stars today,LDOUBLEV; WenmuZhou; MissPenguin; github-actions; tink2123
8,lsdefine/GenericAgent,https://github.com/lsdefine/GenericAgent,"Self-evolving agent: grows skill tree from 3.3K-line seed, achieving full system control with 6x less token consumption",Python,10331,1172,538 stars today,lsdefine; ViviqwerAsd; shenhao-stu; JinyiHan99; AspasZhang
9,anthropics/claude-agent-sdk-python,https://github.com/anthropics/claude-agent-sdk-python,Pas de description,Python,6773,971,14 stars today,claude; github-actions; actions-user; ashwin-ant; qing-ant
10,jingyaogong/minimind,https://github.com/jingyaogong/minimind,🧠「大模型」2小时完全从0训练64M的小参数LLM！Train a 64M-parameter LLM from scratch in just 2h!,Python,49393,6274,112 stars today,jingyaogong; iomgaa-ycz; readlnh; wangzhaode; TKiteRunner
11,github/spec-kit,https://github.com/github/spec-kit,💫 Toolkit to help you get started with Spec-Driven Development,Python,94509,8215,811 stars today,localden; mnriem; Copilot; claude; github-actions
12,HKUDS/AI-Trader,https://github.com/HKUDS/AI-Trader,"""AI-Trader: 100% Fully-Automated Agent-Native Trading""",Python,15102,2484,646 stars today,TianyuFan0504; chaohuang-ai; Dennis-yxchen; Hoder-zyf; yuh-yang
13,sgl-project/sglang,https://github.com/sgl-project/sglang,SGLang is a high-performance serving framework for large language models and multimodal models.,Python,27573,5801,153 stars today,merrymercy; zhyncs; hnyls2002; fzyzcjy; slin1237
14,LearningCircuit/local-deep-research,https://github.com/LearningCircuit/local-deep-research,"~95% on SimpleQA (e.g. Qwen3.6-27B on a 3090). Supports all local and cloud LLMs (llama.cpp, Ollama, Google, ...). 10+ search engines - arXiv, PubMed, your private documents. Everything Local & Encrypted.",Python,6979,624,322 stars today,LearningCircuit; github-actions; djpetti; dependabot; HashedViking
15,hesreallyhim/awesome-claude-code,https://github.com/hesreallyhim/awesome-claude-code,"A curated list of awesome skills, hooks, slash-commands, agent orchestrators, applications, and plugins for Claude Code by Anthropic",Python,43176,3667,153 stars today,github-actions; hesreallyhim; claude; Copilot; tninja
