Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,microsoft/markitdown,https://github.com/microsoft/markitdown,Python tool for converting files and office documents to Markdown.,Python,132706,9081,"2,470 stars today",afourney; gagb; sugatoray; PetrAPConsulting; l-lumin
2,harry0703/MoneyPrinterTurbo,https://github.com/harry0703/MoneyPrinterTurbo,利用AI大模型，一键生成高清短视频 Generate short videos with one click using AI LLM.,Python,72205,10348,"2,768 stars today",harry0703; yyhhyyyyyy; vuisme; KevinZhang19870314; claude
3,anthropics/claude-code,https://github.com/anthropics/claude-code,"Claude Code is an agentic coding tool that lives in your terminal, understands your codebase, and helps you code faster by executing routine tasks, explaining complex code, and handling git workflows - all through natural language commands.",Python,128453,20954,592 stars today,actions-user; bcherny; claude; ant-kurt; ashwin-ant
4,OpenBMB/VoxCPM,https://github.com/OpenBMB/VoxCPM,"VoxCPM2: Tokenizer-Free TTS for Multilingual Speech Generation, Creative Voice Design, and True-to-Life Cloning",Python,22836,2673,779 stars today,Labmem-Zhouyx; a710128; liuxin99; VoxInstruct; SuperMarioYL
5,galilai-group/stable-worldmodel,https://github.com/galilai-group/stable-worldmodel,A platform for reproducible world model research and evaluation,Python,1482,166,318 stars today,lucas-maes; quentinll; DanHrmti; marksibrahim; Basile-Terv
6,OpenMOSS/MOSS-TTS,https://github.com/OpenMOSS/MOSS-TTS,"MOSS‑TTS Family is an open‑source speech and sound generation model family from MOSI.AI and the OpenMOSS team. It is designed for high‑fidelity, high‑expressiveness, and complex real‑world scenarios, covering stable long‑form speech, multi‑speaker dialogue, voice/character design, environmental sound effects, and real‑time streaming TTS.",Python,2661,239,62 stars today,YWMditto; gaoyang07; Zhyw0; rulerman; gyt1145028706
7,dreammis/social-auto-upload,https://github.com/dreammis/social-auto-upload,自动化上传视频到社交媒体：抖音、小红书、视频号、tiktok、youtube、bilibili,Python,11837,2096,73 stars today,dreammis; LeeDebug; Deroino; leordsong; gzxy0102
8,anthropics/skills,https://github.com/anthropics/skills,Public repository for Agent Skills,Python,144222,16995,454 stars today,klazuka; rlancemartin; claude; ericharmeling; maheshmurag
9,NVlabs/Eagle,https://github.com/NVlabs/Eagle,Eagle: Frontier Vision-Language Models with Data-Centric Strategies,Python,1576,114,119 stars today,FuxiaoLiu; Chrisding; zhiqi-li; flyinglynx; cg1177
10,apache/airflow,https://github.com/apache/airflow,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows",Python,45616,17140,11 stars today,potiuk; kaxil; mistercrunch; ashb; uranusjr
11,streamlit/streamlit,https://github.com/streamlit/streamlit,Streamlit — A faster way to build and share data apps.,Python,44774,4251,17 stars today,lukasmasuch; tvst; treuille; dependabot; tconkling
12,shiyu-coder/Kronos,https://github.com/shiyu-coder/Kronos,Kronos: A Foundation Model for the Language of Financial Markets,Python,27640,4773,293 stars today,shiyu-coder; Luciferbobo; CharlesJ-ABu; AnMakc; randyy179
13,CodeBoarding/CodeBoarding,https://github.com/CodeBoarding/CodeBoarding,Interactive architecture diagrams for codebases,Python,1977,173,36 stars today,actions-user; Svilen-Stefanov; ivanmilevtues; brovatten; claude
