Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,calesthio/OpenMontage,https://github.com/calesthio/OpenMontage,"World's first open-source, agentic video production system. 12 pipelines, 52 tools, 500+ agent skills. Turn your AI coding assistant into a full video production studio.",Python,9242,1336,987 stars today,calesthio; claude; itsuzef
2,chopratejas/headroom,https://github.com/chopratejas/headroom,"Compress tool outputs, logs, files, and RAG chunks before they reach the LLM. 60-95% fewer tokens, same answers. Library, proxy, MCP server.",Python,44912,3132,"2,624 stars today",chopratejas; JerrettDavis; claude; Copilot; gglucass
3,ZhuLinsen/daily_stock_analysis,https://github.com/ZhuLinsen/daily_stock_analysis,"LLM 驱动的多市场股票智能分析系统：多源行情、实时新闻、决策看板与自动推送，支持零成本定时运行。 LLM-powered multi-market stock analysis system with multi-source market data, real-time news, decision dashboard, automated notifications, and cost-free scheduled runs.",Python,44798,41537,568 stars today,ZhuLinsen; massif-01; freesme; adminlove520; Activer007
4,bytedance/deer-flow,https://github.com/bytedance/deer-flow,"An open-source long-horizon SuperAgent harness that researches, codes, and creates. With the help of sandboxes, memories, tools, skill, subagents and message gateway, it handles different levels of tasks that could take minutes to hours.",Python,72708,9844,442 stars today,MagicCube; WillemJiang; hetaoBackend; claude; henry-byted
5,mukul975/Anthropic-Cybersecurity-Skills,https://github.com/mukul975/Anthropic-Cybersecurity-Skills,"754 structured cybersecurity skills for AI agents · Mapped to 5 frameworks: MITRE ATT&CK, NIST CSF 2.0, MITRE ATLAS, D3FEND & NIST AI RMF · agentskills.io standard · Works with Claude Code, GitHub Copilot, Codex CLI, Cursor, Gemini CLI & 20+ platforms · 26 security domains · Apache 2.0",Python,17838,2140,361 stars today,mukul975; juliosuas; claude; andrewibrah; Bortlesboat
6,mikumifa/biliTickerBuy,https://github.com/mikumifa/biliTickerBuy,b站会员购购票辅助工具,Python,3740,468,67 stars today,mikumifa; WittF; gpc123456; github-actions; Chizukuo
7,smicallef/spiderfoot,https://github.com/smicallef/spiderfoot,SpiderFoot automates OSINT for threat intelligence and mapping your attack surface.,Python,18831,3110,294 stars today,smicallef; bcoles; krishnasism; amrawadk; leotrubach
8,topoteretes/cognee,https://github.com/topoteretes/cognee,Cognee is the open-source AI memory platform for agents. Give your AI agents persistent long-term memory across sessions with a self-hosted knowledge graph engine.,Python,18723,1974,347 stars today,Vasilije1990; dexters1; hajdul88; borisarzentar; claude
9,public-apis/public-apis,https://github.com/public-apis/public-apis,A collective list of free APIs,Python,443383,48599,207 stars today,matheusfelipeog; davemachado; ArindamOSS; pawelborkar; jbrooksuk
10,THUDM/slime,https://github.com/THUDM/slime,slime is an LLM post-training framework for RL Scaling.,Python,6630,956,91 stars today,zhuzilin; fzyzcjy; yitianlian; lilei199908; lancerts
11,Alishahryar1/free-claude-code,https://github.com/Alishahryar1/free-claude-code,"Use claude code and codex for free in the terminal, VSCode extension, and discord like OpenClaw (voice supported)",Python,36162,5639,258 stars today,Alishahryar1; cursoragent; claude; dependabot; rishiskhare
12,NousResearch/hermes-agent,https://github.com/NousResearch/hermes-agent,The agent that grows with you,Python,199155,35380,700 stars today,teknium1; OutThisLife; kshitijk4poor; claude; benbarclay
