Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,calesthio/OpenMontage,https://github.com/calesthio/OpenMontage,"World's first open-source, agentic video production system. 12 pipelines, 52 tools, 500+ agent skills. Turn your AI coding assistant into a full video production studio.",Python,16183,1918,"3,592 stars today",calesthio; claude; itsuzef
2,ZhuLinsen/daily_stock_analysis,https://github.com/ZhuLinsen/daily_stock_analysis,"LLM 驱动的多市场股票智能分析系统：多源行情、实时新闻、决策看板与自动推送，支持零成本定时运行。 LLM-powered multi-market stock analysis system with multi-source market data, real-time news, decision dashboard, automated notifications, and cost-free scheduled runs.",Python,47323,42496,"1,119 stars today",ZhuLinsen; massif-01; freesme; adminlove520; Activer007
3,mukul975/Anthropic-Cybersecurity-Skills,https://github.com/mukul975/Anthropic-Cybersecurity-Skills,"817 structured cybersecurity skills for AI agents · Mapped to 6 frameworks: MITRE ATT&CK, NIST CSF 2.0, MITRE ATLAS, D3FEND, NIST AI RMF & MITRE F3 (Fight Fraud) · agentskills.io standard · Works with Claude Code, GitHub Copilot, Codex CLI, Cursor, Gemini CLI & 20+ platforms · 29 security domains · Apache 2.0",Python,19864,2316,"1,041 stars today",mukul975; juliosuas; claude; andrewibrah; Bortlesboat
4,bytedance/deer-flow,https://github.com/bytedance/deer-flow,"An open-source long-horizon SuperAgent harness that researches, codes, and creates. With the help of sandboxes, memories, tools, skill, subagents and message gateway, it handles different levels of tasks that could take minutes to hours.",Python,74024,9984,739 stars today,MagicCube; WillemJiang; hetaoBackend; claude; henry-byted
5,anthropics/claude-plugins-official,https://github.com/anthropics/claude-plugins-official,"Official, Anthropic-managed directory of high quality Claude Code Plugins.",Python,30891,3363,77 stars today,github-actions; bryan-anthropic; claude; tobinsouth; k6l3
6,NousResearch/hermes-agent,https://github.com/NousResearch/hermes-agent,The agent that grows with you,Python,201093,35872,936 stars today,teknium1; OutThisLife; kshitijk4poor; claude; benbarclay
7,paperless-ngx/paperless-ngx,https://github.com/paperless-ngx/paperless-ngx,"A community-supported supercharged document management system: scan, index and archive all your documents",Python,42418,2828,35 stars today,shamoon; stumpylog; danielquinn; paperlessngx-bot; dependabot
8,aws/agent-toolkit-for-aws,https://github.com/aws/agent-toolkit-for-aws,"Official, AWS-supported MCP servers, skills, and plugins to help AI agents build on AWS",Python,976,102,18 stars today,arnewouters; rshevchuk-git; krishmakochhar; bfreiberg; dependabot
9,LLMQuant/quant-mind,https://github.com/LLMQuant/quant-mind,QuantMind is an intelligent knowledge extraction and retrieval framework for quantitative finance.,Python,1565,247,15 stars today,WinstonLiyt; keli-wen; frinkleko; Copilot; claude
10,NVIDIA/skills,https://github.com/NVIDIA/skills,AI agent skills published by NVIDIA,Python,1788,203,128 stars today,mosheabr; claude; sayalinvidia; jasonnvidia; jim-nvidia
11,anthropics/skills,https://github.com/anthropics/skills,Public repository for Agent Skills,Python,154418,18194,433 stars today,klazuka; rlancemartin; claude; ericharmeling; maheshmurag
12,langbot-app/LangBot,https://github.com/langbot-app/LangBot,"Production-grade platform for building agentic IM bots - 生产级多平台智能机器人开发平台/ Agent、知识库编排、插件系统 / Bots for Discord / Slack / LINE / Telegram / WeChat(企业微信, 企微智能机器人, 公众号) / 飞书 / 钉钉 / QQ / Matrix e.g. Integrated with ChatGPT(GPT), DeepSeek, Dify, n8n, Langflow, Coze, Claude, Gemini, GLM, Ollama, SiliconFlow, Moonshot, openclaw / hermes agent, deerflow",Python,16437,1458,26 stars today,RockChinQ; fdc310; wangcham; TyperBody; huanghuoguoguo
13,stanford-oval/storm,https://github.com/stanford-oval/storm,An LLM-powered knowledge curation system that researches a topic and generates a full-length report with citations.,Python,29319,2715,109 stars today,shaoyijia; Yucheng-Jiang; AMMAS1; evidencebp; hdelossantos
14,scrapy/scrapy,https://github.com/scrapy/scrapy,"Scrapy, a fast high-level web crawling & scraping framework for Python.",Python,62500,11692,53 stars today,pablohoffman; wRAR; dangra; kmike; Gallaecio
15,karpathy/autoresearch,https://github.com/karpathy/autoresearch,AI agents running research on single-GPU nanochat training automatically,Python,88325,12780,186 stars today,karpathy; claude; hughdbrown; marcinbogdanski; indianspeedster
16,kernalix7/winpodx,https://github.com/kernalix7/winpodx,Windows pod system for Linux,Python,1286,61,37 stars today,kernalix7; Mic92; juampe; cxgreat2014; Zeik0s
