Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,shiyu-coder/Kronos,https://github.com/shiyu-coder/Kronos,Kronos: A Foundation Model for the Language of Financial Markets,Python,34214,5758,321 stars today,shiyu-coder; Luciferbobo; CharlesJ-ABu; AnMakc; randyy179
2,andrewyng/aisuite,https://github.com/andrewyng/aisuite,"Simple, unified interface to multiple Generative AI providers",Python,15426,1631,187 stars today,rohitprasad15; drp8226; ksolo; standsleeping; tavinashb
3,python/cpython,https://github.com/python/cpython,The Python programming language,Python,73944,35012,25 stars today,gvanrossum; vstinner; benjaminp; serhiy-storchaka; birkenfeld
4,ComposioHQ/awesome-claude-skills,https://github.com/ComposioHQ/awesome-claude-skills,"A curated list of awesome Claude Skills, resources, and tools for customizing Claude AI workflows",Python,70932,7958,440 stars today,Prat011; sohamganatra; claude; sanjay3290; mellson
5,home-assistant/core,https://github.com/home-assistant/core,🏡 Open source home automation that puts local control and privacy first.,Python,89479,38124,28 stars today,bdraco; balloob; epenet; frenck; emontnemery
6,huggingface/speech-to-speech,https://github.com/huggingface/speech-to-speech,Build local voice agents with open-source models,Python,6461,868,81 stars today,andimarafioti; eustlb; A-Mahla; ylacombe; claude
7,microsoft/agent-governance-toolkit,https://github.com/microsoft/agent-governance-toolkit,"AI Agent Governance Toolkit — Policy enforcement, zero-trust identity, execution sandboxing, and reliability engineering for autonomous AI agents. Covers 10/10 OWASP Agentic Top 10.",Python,4929,816,7 stars today,imran-siddique; Copilot; dependabot; claude; finnoybu
8,sirkirby/unifi-mcp,https://github.com/sirkirby/unifi-mcp,"MCP servers for the UniFi suite of applications, Network, Protect, Access, and Drive",Python,591,86,15 stars today,sirkirby; github-actions; claude; level99; rmaher001
9,django/django,https://github.com/django/django,The Web framework for perfectionists with deadlines.,Python,88227,33993,16 stars today,timgraham; adrianholovaty; malcolmt; felixxm; freakboy3742
10,paperless-ngx/paperless-ngx,https://github.com/paperless-ngx/paperless-ngx,"A community-supported supercharged document management system: scan, index and archive all your documents",Python,43565,2952,54 stars today,shamoon; stumpylog; danielquinn; paperlessngx-bot; dependabot
11,VectifyAI/PageIndex,https://github.com/VectifyAI/PageIndex,"📑 PageIndex: Document Index for Vectorless, Reasoning-based RAG",Python,34704,3044,102 stars today,rejojer; zmtomorrow; BukeLy; S3DFX-CYBER; KylinMountain
12,fqscfqj/Y2A-Auto,https://github.com/fqscfqj/Y2A-Auto,YouTube到AcFun和bilibili自动化搬运工具，支持AI翻译、字幕生成、内容审核、智能监控,Python,2539,426,108 stars today,fqscfqj; Copilot; dependabot; github-advanced-security; Copilot
13,xbtlin/ai-berkshire,https://github.com/xbtlin/ai-berkshire,AI 时代的伯克希尔：基于 Claude Code / Codex 的价值投资研究框架。巴菲特·芒格·段永平·李录四大师方法论 + 多Agent并行研究。| AI-era Berkshire: a value investing research framework built for Claude Code / Codex. 4 masters' methodologies + multi-agent adversarial analysis.,Python,14242,2014,162 stars today,claude; xbtlin; mvanhorn; CooperSheroy; rickytan
14,virgiliojr94/book-to-skill,https://github.com/virgiliojr94/book-to-skill,"Turn any technical book PDF into a Claude Code skill — ready to study, reference, and use while you work.",Python,10145,1233,417 stars today,virgiliojr94; claude; dex0shubham; Copilot; Marcelluxx
15,OpenDCAI/DataFlow,https://github.com/OpenDCAI/DataFlow,Easy Data Preparation with latest LLMs-based Operators and Pipelines.,Python,7028,882,38 stars today,SunnyHaze; haolpku; zzy1127; MOLYHECI; wongzhenhao
16,jgravelle/jcodemunch-mcp,https://github.com/jgravelle/jcodemunch-mcp,"Cut AI token costs 95%+ on code exploration. The leading MCP server for precise, symbol-level GitHub code retrieval via tree-sitter AST. Works with Claude Code, Cursor & any MCP client. 313B+ tokens saved.",Python,2247,318,45 stars today,jgravelle; claude; MariusAdrian88; DrHayt; iEdgir01
17,Lightning-AI/litgpt,https://github.com/Lightning-AI/litgpt,"20+ high-performance LLMs with recipes to pretrain, finetune and deploy at scale.",Python,13580,1480,39 stars today,carmocca; rasbt; awaelchli; Andrei-Aksionov; lantiga
