Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,goauthentik/authentik,https://github.com/goauthentik/authentik,The authentication glue you need.,Python,23157,1775,138 stars today,BeryJu; dependabot; rissson; transifex-integration; authentik-automation
2,huangruiteng/loopx,https://github.com/huangruiteng/loopx,"Lightweight loop engineering state kernel for long-running AI agent teams. Agent-loop agnostic across Codex, Claude Code, and other coding agents, with durable goals, quota-aware auto-wake, executable todos, evidence logs, and verifiable handoffs.",Python,2923,219,847 stars today,huangruiteng; cocolord; ZaynJarvis; Hoey041; Ray0907
3,Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.",Python,186044,46055,37 stars today,Pwuts; majdyz; Auto-GPT-Bot; ntindle; Swiftyos
4,tirth8205/code-review-graph,https://github.com/tirth8205/code-review-graph,"Local-first code intelligence graph for MCP and CLI. Builds a persistent map of your codebase so AI coding tools read only what matters, with benchmarked context reductions on reviews and large-repo workflows.",Python,29065,2686,237 stars today,tirth8205; claude; gzenz; HsiangNianian; jaissebastian
5,uber/ADR,https://github.com/uber/ADR,"ADR secures enterprise AI agents through observability, security benchmarking, and threat detection. Deployed at Uber.",Python,1249,104,289 stars today,dependabot; lghupan; cmvan; pengyuzhang; cm-howard
6,SimplifyJobs/Summer2027-Internships,https://github.com/SimplifyJobs/Summer2027-Internships,"Summer 2026 software engineering, data science, AI, quant, product management, and hardware internship postings. Updated daily by Simplify and Pitt CSC.",Python,46026,3221,97 stars today,BigTunaHalpert; actions-user; Zmwang622; owini; GintasS
7,usestrix/strix,https://github.com/usestrix/strix,Open-source AI penetration testing tool to find and fix your app’s vulnerabilities.,Python,49390,5247,492 stars today,0xallam; claude; bearsyankees; devin-ai-integration; dependabot
8,frappe/hrms,https://github.com/frappe/hrms,Open Source HR and Payroll Software,Python,8518,2573,49 stars today,ruchamahabal; frappe-pr-bot; asmitahase; nabinhait; krantheman
9,unclecode/crawl4ai,https://github.com/unclecode/crawl4ai,"🚀🤖 Crawl4AI: Open-source LLM Friendly Web Crawler & Scraper. Don't be shy, join here: https://discord.gg/jP8KfhDhyN",Python,77064,7964,714 stars today,unclecode; ntohidi; aravindkarnam; claude; SohamKukreti
10,Comfy-Org/workflow_templates,https://github.com/Comfy-Org/workflow_templates,ComfyUI template workflows,Python,735,159,17 stars today,comfyui-wiki; actions-user; christian-byrne; github-actions; claude
11,ComposioHQ/awesome-claude-skills,https://github.com/ComposioHQ/awesome-claude-skills,"A curated list of awesome Claude Skills, resources, and tools for customizing Claude AI workflows",Python,71969,8160,96 stars today,Prat011; sohamganatra; claude; sanjay3290; mellson
12,aws/agent-toolkit-for-aws,https://github.com/aws/agent-toolkit-for-aws,"Official, AWS-supported MCP servers, skills, and plugins to help AI agents build on AWS",Python,2253,226,17 stars today,arnewouters; anasstahr; rshevchuk-git; kelvinau; agenthubcap
13,langchain-ai/open-swe,https://github.com/langchain-ai/open-swe,An Open-Source Asynchronous Coding Agent,Python,10499,1220,30 stars today,bracesproul; johannes117; open-swe; aran-yogesh; dependabot
14,browser-use/video-use,https://github.com/browser-use/video-use,Edit videos with coding agents,Python,19887,2470,185 stars today,gregpr07; claude; ShawnPana; antoinersx; miguel-heygen
15,NousResearch/hermes-agent,https://github.com/NousResearch/hermes-agent,The agent that grows with you,Python,226642,44233,610 stars today,teknium1; OutThisLife; kshitijk4poor; claude; benbarclay
16,donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,Learn how to design large-scale systems. Prep for the system design interview. Includes Anki flashcards.,Python,362067,57691,733 stars today,donnemartin; cclauss; satob; fluency03; luisbg
17,livekit/agents,https://github.com/livekit/agents,A framework for building realtime voice AI agents 🤖🎙️📹,Python,12709,3511,54 stars today,theomonnom; longcw; davidzhao; keepingitneil; tinalenguyen
18,Unclecheng-li/VulnClaw,https://github.com/Unclecheng-li/VulnClaw,基于 AI Agent + MCP 工具链 + 渗透 Skill 编排， 配合大语言模型， 自然语言输入 → 自动完成「信息收集 → 漏洞发现 → 漏洞利用 → 报告生成」全流程。,Python,2608,348,64 stars today,Unclecheng-li; ww455; JMAN730; claude; Nyaecho
19,K-Dense-AI/scientific-agent-skills,https://github.com/K-Dense-AI/scientific-agent-skills,"Turn any AI agent into an AI Scientist. The #1 Agent Skills library for science, used by 170,000+ scientists worldwide. 158 ready-to-use skills plus 100+ scientific databases covering biology, chemistry, medicine, and drug discovery. Compatible with Cursor, Claude Code, Codex, Pi, Antigravity, and the open Agent Skills standard.",Python,32846,3242,101 stars today,TKassis; cursoragent; borealBytes; github-actions; claude
