Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,semantica-agi/semantica,https://github.com/semantica-agi/semantica,Graph-Native Infrastructure for Context and Accountable AI Systems,Python,4148,484,970 stars today,KaifAhmad1; Sameer6305; claude; ZohaibHassan16; dependabot
2,NanmiCoder/MediaCrawler,https://github.com/NanmiCoder/MediaCrawler,小红书笔记 | 评论爬虫、抖音视频 | 评论爬虫、快手视频 | 评论爬虫、B 站视频 ｜ 评论爬虫、微博帖子 ｜ 评论爬虫、百度贴吧帖子 ｜ 百度贴吧评论回复爬虫 | 知乎问答文章｜评论爬虫,Python,61075,12012,259 stars today,NanmiCoder; 2513502304; gaoxiaobei; persist-1; claude
3,TauricResearch/TradingAgents,https://github.com/TauricResearch/TradingAgents,TradingAgents: Multi-Agents LLM Financial Trading Framework,Python,97243,18735,177 stars today,Yijia-Xiao; EdwardoSunny; CadeYu; luohy15; claude
4,google-deepmind/weathernext,https://github.com/google-deepmind/weathernext,Pas de description,Python,7361,954,325 stars today,alvarosg; andrewlkd; mjwillson; voctav; danielsuo
5,vitali87/code-graph-rag,https://github.com/vitali87/code-graph-rag,"The ultimate RAG for your monorepo. Query, understand, and edit multi-language codebases with the power of AI and knowledge graphs",Python,3547,548,682 stars today,vitali87; github-actions; dependabot; claude; ZuebeyirEser
6,Comfy-Org/ComfyUI,https://github.com/Comfy-Org/ComfyUI,"The most powerful and modular diffusion model GUI, api and backend with a graph/nodes interface.",Python,126342,14902,922 stars today,comfyanonymous; bigcat88; pythongosssss; comfyui-wiki; rattus128
7,ZhuLinsen/daily_stock_analysis,https://github.com/ZhuLinsen/daily_stock_analysis,"LLM 驱动的多市场股票智能分析系统：多源行情、实时新闻、决策看板与自动推送，支持零成本定时运行。 LLM-powered multi-market stock analysis system with multi-source market data, real-time news, decision dashboard, automated notifications, and cost-free scheduled runs.",Python,61761,52233,731 stars today,ZhuLinsen; massif-01; freesme; Activer007; birdxs
8,google/skills,https://github.com/google/skills,Agent Skills for Google products and technologies,Python,17616,1407,498 stars today,cloud-ix-copybara; holtskinner; martinvarelaj; helloeve; jsondai
9,3b1b/manim,https://github.com/3b1b/manim,Animation engine for explanatory math videos,Python,89869,7458,381 stars today,3b1b; TonyCrane; bhbr; YishiMichael; eulertour
10,stanfordnlp/dspy,https://github.com/stanfordnlp/dspy,DSPy: The framework for programming—not prompting—language models,Python,37044,3206,181 stars today,okhat; arnavsinghvi11; isaacbmiller; krypticmouse; TomeHirata
11,langchain-ai/open_deep_research,https://github.com/langchain-ai/open_deep_research,Pas de description,Python,12585,1780,17 stars today,rlancemartin; dependabot; nhuang-lc; moritalous; synergiator
12,scrapy/scrapy,https://github.com/scrapy/scrapy,"Scrapy, a fast high-level web crawling & scraping framework for Python.",Python,63791,11891,35 stars today,pablohoffman; wRAR; dangra; kmike; Gallaecio
13,confident-ai/deepteam,https://github.com/confident-ai/deepteam,DeepTeam is a framework to red team LLMs and AI agents.,Python,2422,391,12 stars today,A-Vamshi; penguine-ip; sid-murali; kritinv; sergeyklay
14,neuml/txtai,https://github.com/neuml/txtai,"💡 All-in-one AI framework for semantic search, LLM orchestration and language model workflows",Python,12845,867,10 stars today,davidmezzetti; morgan-coded; chuenchen309; saucam; claude
