Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,anthropics/knowledge-work-plugins,https://github.com/anthropics/knowledge-work-plugins,Open source repository of plugins primarily intended for knowledge workers to use in Claude Cowork,Python,24611,2947,287 stars today,github-actions; jordanecker-ant; bryan-anthropic; claude; mattpic-ant
2,roboflow/supervision,https://github.com/roboflow/supervision,We write your reusable computer vision tools. 💜,Python,50836,4829,329 stars today,SkalskiP; onuralpszr; Borda; pre-commit-ci; github-actions
3,TencentCloud/Octop,https://github.com/TencentCloud/Octop,"A smarter, self-hosted AI assistant — multi-user, multi-agent.",Python,3556,369,367 stars today,jubaoliang; jubaoliang-tencent; cursoragent; liukewia; Pandakingxbc
4,arnegiacomo/fugleramme,https://github.com/arnegiacomo/fugleramme,"E-ink bird frame for Raspberry Pi - real-time bird detection by audio, fully local AI, rendered as real, hand-cut 1800s bird illustrations.",Python,2937,73,592 stars today,arnegiacomo; vibragiel; subtlepseudonym; RichardPilbery; bshep
5,SnailSploit/Claude-Red,https://github.com/SnailSploit/Claude-Red,"claude-red is a curated library of offensive security skills designed for the Claude skills system. Each skill is a structured SKILL.md file that primes Claude with expert-level methodology for a specific attack surface — from SQLi to shellcode, EDR evasion to exploit development.",Python,6046,779,440 stars today,SnailSploit; claude; LvL23HT; yogesh-tessl; IzenJ
6,onyx-dot-app/onyx,https://github.com/onyx-dot-app/onyx,Open Source AI Platform - AI Chat with advanced features that works with every LLM,Python,32149,4478,33 stars today,github-merge-queue; Weves; jmelahman; yuhongsun96; pablonyx
7,google-research/timesfm,https://github.com/google-research/timesfm,TimesFM (Time Series Foundation Model) is a pretrained time-series foundation model developed by Google Research for time-series forecasting.,Python,33038,3181,248 stars today,rajatsen91; siriuz42; misha-chertushkin; darkpowerxo; JustinGuese
8,strands-agents/harness-sdk,https://github.com/strands-agents/harness-sdk,"Build an agent harness and control it end-to-end. Open-source SDK for production AI agents in Python & TypeScript - any model, any cloud.",Python,7339,1153,41 stars today,zastrowm; pgrayy; strands-agent; dependabot; yonib05
9,LLMQuant/quant-mind,https://github.com/LLMQuant/quant-mind,QuantMind is an open source agent-native knowledge extraction and retrieval framework for quantitative finance.,Python,2982,481,81 stars today,WinstonLiyt; keli-wen; claude; frinkleko; Copilot
10,wilbowes/EchoMuse,https://github.com/wilbowes/EchoMuse,Alexa replacement and controller for Echo Dot 2nd Generation device.,Python,802,49,60 stars today,claude; wilbowes; kopiro; bboe; bluescreen10
11,trailofbits/skills,https://github.com/trailofbits/skills,"Trail of Bits Claude Code skills for security research, vulnerability detection, and audit workflows",Python,7139,611,18 stars today,claude; dguido; kz-tob; dependabot; GrosQuildu
12,Tracer-Cloud/opensre,https://github.com/Tracer-Cloud/opensre,Build your own AI SRE agents. The open source toolkit for the AI era.,Python,11116,1620,20 stars today,davincios; VaibhavUpreti; muddlebee; YauhenBichel; cursoragent
13,hao-ai-lab/FastVideo,https://github.com/hao-ai-lab/FastVideo,A unified inference and post-training framework for accelerated video generation.,Python,4460,465,17 stars today,jzhang38; SolitaryThinker; BrianChen1129; alexzms; rlsu9
14,pytorch/pytorch,https://github.com/pytorch/pytorch,Tensors and Dynamic neural networks in Python with strong GPU acceleration,Python,103077,29657,19 stars today,pytorchmergebot; ezyang; malfet; zou3519; cyyever
15,bmad-code-org/BMAD-METHOD,https://github.com/bmad-code-org/BMAD-METHOD,Breakthrough Method for Agile Ai Driven Development,Python,53160,6001,39 stars today,alexeyv; bmadcode; claude; semantic-release-bot; muratkeremozcan
