Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,openai/codex,https://github.com/openai/codex,Lightweight coding agent that runs in your terminal,Rust,71845,10038,"2,390 stars today",bolinfest; jif-oai; aibrahim-oai; pakrym-oai; etraut-openai
2,screenpipe/screenpipe,https://github.com/screenpipe/screenpipe,run agents that work for you in the background based on what you do,Rust,17937,1584,53 stars today,louis030195; claude; github-actions; divanshu-go; Neptune650
3,farion1231/cc-switch,https://github.com/farion1231/cc-switch,"A cross-platform desktop All-in-One assistant tool for Claude Code, Codex, OpenCode, openclaw & Gemini CLI.",Rust,37152,2239,706 stars today,farion1231; yovinchen; claude; TinsFox; tianrking
4,mayocream/koharu,https://github.com/mayocream/koharu,"ML-powered manga translator, written in Rust.",Rust,1664,78,47 stars today,mayocream; fffonion; dependabot; Map1en; karrot0
5,antinomyhq/forgecode,https://github.com/antinomyhq/forgecode,"AI enabled pair programmer for Claude, GPT, O Series, Grok, Deepseek, Gemini and 300+ models",Rust,5543,1238,149 stars today,tusharmath; autofix-ci; amitksingh1490; laststylebender14; ssddOnTop
6,linera-io/linera-protocol,https://github.com/linera-io/linera-protocol,Main repository for the Linera protocol,Rust,32149,2332,2 stars today,ma2bd; jvff; afck; ndr-ds; github-merge-queue
7,dani-garcia/vaultwarden,https://github.com/dani-garcia/vaultwarden,"Unofficial Bitwarden compatible server written in Rust, formerly known as bitwarden_rs",Rust,57770,2672,118 stars today,dani-garcia; BlackDex; jjlin; mprasil; stefan0xC
8,nautechsystems/nautilus_trader,https://github.com/nautechsystems/nautilus_trader,Production-grade Rust-native trading engine with deterministic event-driven architecture,Rust,21591,2575,46 stars today,cjdsellers; limx0; filipmacek; faysou; davidsblom
9,raine/workmux,https://github.com/raine/workmux,git worktrees + tmux windows for zero-friction parallel dev,Rust,1109,78,14 stars today,raine; Infonautica; rstacruz; evatt-harvey-salinger; bps
10,cloud-hypervisor/cloud-hypervisor,https://github.com/cloud-hypervisor/cloud-hypervisor,"A Virtual Machine Monitor for modern Cloud workloads. Features include CPU, memory and device hotplug, support for running Windows and Linux guests, device offload with vhost-user and a minimal compact footprint. Written in Rust with a strong focus on security.",Rust,5439,612,8 stars today,rbradford; dependabot; dependabot-preview; liuw; likebreath
11,BurntSushi/ripgrep,https://github.com/BurntSushi/ripgrep,ripgrep recursively searches directories for a regex pattern while respecting your gitignore,Rust,61756,2456,80 stars today,BurntSushi; okdana; balajisivaraman; igor-raits; jgarte
12,rustdesk/rustdesk,https://github.com/rustdesk/rustdesk,"An open-source remote desktop application designed for self-hosting, as an alternative to TeamViewer.",Rust,110387,16515,71 stars today,rustdesk; fufesou; 21pages; Kingtous; Heap-Hop
13,oxc-project/oxc,https://github.com/oxc-project/oxc,⚓ A collection of high-performance JavaScript tools.,Rust,20469,944,24 stars today,Boshen; overlookmotel; camc314; Dunqing; renovate
14,sunface/rust-by-practice,https://github.com/sunface/rust-by-practice,"Learning Rust By Practice, narrowing the gap between beginner and skilled-dev through challenging examples, exercises and projects.",Rust,14125,1156,5 stars today,congim; sunface; Tanish-Eagle; katopz; Scott169
15,lance-format/lance,https://github.com/lance-format/lance,"Open Lakehouse Format for Multimodal AI. Convert from Parquet in 2 lines of code for 100x faster random access, vector index, and data versioning. Compatible with Pandas, DuckDB, Polars, Pyarrow, and PyTorch with more integrations coming..",Rust,6258,608,20 stars today,github-actions; eddyxu; westonpace; wjones127; BubbleCal
