Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,gitbutlerapp/gitbutler,https://github.com/gitbutlerapp/gitbutler,"The GitButler version control client, backed by Git, powered by Tauri/Rust/Svelte",Rust,20309,904,93 stars today,krlvi; estib-vega; Byron; mtsgrd; Caleb-T-Owens
2,rustfs/rustfs,https://github.com/rustfs/rustfs,"🚀2.3x faster than MinIO for 4KB object payloads. RustFS is an open-source, S3-compatible high-performance object storage system supporting migration and coexistence with other S3-compatible platforms such as MinIO and Ceph.",Rust,24846,1065,271 stars today,houseme; overtrue; weisd; guojidan; loverustfs
3,astral-sh/uv,https://github.com/astral-sh/uv,"An extremely fast Python package and project manager, written in Rust.",Rust,83095,2934,73 stars today,charliermarsh; zanieb; konstin; renovate; BurntSushi
4,modelcontextprotocol/rust-sdk,https://github.com/modelcontextprotocol/rust-sdk,The official Rust SDK for the Model Context Protocol,Rust,3287,497,8 stars today,jokemanfire; DaleSeo; 4t145; alexhancock; github-actions
5,TabbyML/tabby,https://github.com/TabbyML/tabby,Self-hosted AI coding assistant,Rust,33402,1734,25 stars today,wsxiaoys; autofix-ci; icycodes; liangfung; zwpaper
6,iced-rs/iced,https://github.com/iced-rs/iced,"A cross-platform GUI library for Rust, inspired by Elm",Rust,30152,1556,22 stars today,hecrj; tarkah; bungoboingo; derezzedex; nicksenger
7,git-ai-project/git-ai,https://github.com/git-ai-project/git-ai,A Git extension for tracking the AI-generated code in your repos,Rust,1553,136,12 stars today,svarlamov; acunniffe; claude; jwiegley; devin-ai-integration
8,microsoft/DiskANN,https://github.com/microsoft/DiskANN,"Graph-structured Indices for Scalable, Fast, Fresh and Filtered Approximate Nearest Neighbor Search",Rust,1752,399,2 stars today,harsha-simhadri; daxpryce; hildebrandmw; jinwei14; Copilot
9,dmtrKovalenko/fff.nvim,https://github.com/dmtrKovalenko/fff.nvim,"The fastest and the most accurate file search toolkit for AI agents, Neovim, Rust, C, and NodeJS",Rust,4460,183,236 stars today,dmtrKovalenko; github-actions; sQVe; WillLillis; claude
10,rustdesk/rustdesk,https://github.com/rustdesk/rustdesk,"An open-source remote desktop application designed for self-hosting, as an alternative to TeamViewer.",Rust,111020,16624,54 stars today,rustdesk; fufesou; 21pages; Kingtous; Heap-Hop
11,openai/codex,https://github.com/openai/codex,Lightweight coding agent that runs in your terminal,Rust,74668,10557,227 stars today,bolinfest; jif-oai; aibrahim-oai; pakrym-oai; etraut-openai
12,BloopAI/vibe-kanban,https://github.com/BloopAI/vibe-kanban,"Get 10X more out of Claude Code, Codex or any coding agent",Rust,24855,2491,69 stars today,stunningpixels; abcpro1; LSRCT; actions-user; ggordonhall
13,apache/opendal,https://github.com/apache/opendal,"Apache OpenDAL: One Layer, All Storage.",Rust,4998,732,3 stars today,Xuanwo; tisonkun; suyanhanx; dependabot; koushiro
14,paritytech/polkadot-sdk,https://github.com/paritytech/polkadot-sdk,The Parity Polkadot Blockchain SDK,Rust,2743,1178,0 stars today,bkchr; gavofyork; dependabot; github-actions; shawntabrizi
15,farion1231/cc-switch,https://github.com/farion1231/cc-switch,"A cross-platform desktop All-in-One assistant tool for Claude Code, Codex, OpenCode, openclaw & Gemini CLI.",Rust,42993,2705,529 stars today,farion1231; yovinchen; claude; TinsFox; tianrking
16,denoland/deno,https://github.com/denoland/deno,A modern runtime for JavaScript and TypeScript.,Rust,106442,6007,16 stars today,bartlomieju; dsherret; ry; littledivy; nayeemrmn
