Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,raphaelmansuy/edgequake,https://github.com/raphaelmansuy/edgequake,EdegQuake 🌋 High-performance GraphRAG inspired from LightRag written in Rust; Transform documents into intelligent knowledge graphs for superior retrieval and generation,Rust,1834,203,96 stars today,raphaelmansuy; dependabot; claude; carueda; DevKCS
2,servo/servo,https://github.com/servo/servo,"Servo aims to empower developers with a lightweight, high-performance alternative for embedding web technologies in applications.",Rust,36405,3584,39 stars today,emilio; Ms2ger; jdm; dependabot; SimonSapin
3,dmtrKovalenko/fff.nvim,https://github.com/dmtrKovalenko/fff.nvim,"The fastest and the most accurate file search toolkit for AI agents, Neovim, Rust, C, and NodeJS",Rust,5005,216,416 stars today,dmtrKovalenko; github-actions; sQVe; WillLillis; claude
4,fathyb/carbonyl,https://github.com/fathyb/carbonyl,Chromium running inside your terminal,Rust,18468,495,106 stars today,fathyb; licy183; kianmeng; glensc; reynoldsme
5,Ataraxy-Labs/sem,https://github.com/Ataraxy-Labs/sem,"Semantic version control CLI. Entity-level diff, blame, graph, and impact analysis for code. 24 languages via tree-sitter.",Rust,1754,49,56 stars today,rs545837; MattCozendey; Palanikannan1437; deftdawg; Benjas333
6,rustdesk/rustdesk,https://github.com/rustdesk/rustdesk,"An open-source remote desktop application designed for self-hosting, as an alternative to TeamViewer.",Rust,111302,16669,83 stars today,rustdesk; fufesou; 21pages; Kingtous; Heap-Hop
7,jj-vcs/jj,https://github.com/jj-vcs/jj,A Git-compatible VCS that is both simple and powerful,Rust,28010,1005,85 stars today,yuja; martinvonz; dependabot; ilyagr; thoughtpolice
8,mayocream/koharu,https://github.com/mayocream/koharu,"ML-powered manga translator, written in Rust.",Rust,3516,182,251 stars today,mayocream; fffonion; dependabot; Map1en; karrot0
9,nautechsystems/nautilus_trader,https://github.com/nautechsystems/nautilus_trader,Production-grade Rust-native trading engine with deterministic event-driven architecture,Rust,21981,2659,94 stars today,cjdsellers; limx0; filipmacek; faysou; davidsblom
10,atuinsh/atuin,https://github.com/atuinsh/atuin,✨ Making your shell magical,Rust,29182,828,19 stars today,ellie; dependabot; conradludgate; BinaryMuse; akinomyoga
11,Lampese/codex-switcher,https://github.com/Lampese/codex-switcher,A Desktop Application for Managing Multiple OpenAI Codex CLI Accounts,Rust,181,34,7 stars today,joonshakya; Lampese; SHAREN; petrovichest; mmnaderi
12,hank9999/kiro.rs,https://github.com/hank9999/kiro.rs,A Kiro Client in Rust,Rust,931,266,6 stars today,hank9999; BenedictKing; Gaoyukun; ShanQuea; gua12345
13,Zackriya-Solutions/meetily,https://github.com/Zackriya-Solutions/meetily,"Privacy first, AI meeting assistant with 4x faster Parakeet/Whisper live transcription, speaker diarization, and Ollama summarization built on Rust. 100% local processing. no cloud required. Meetily (Meetly Ai - https://meetily.ai) is the #1 Self-hosted, Open-source Ai meeting note taker for macOS & Windows.",Rust,11122,1074,21 stars today,sujithatzackriya; safvanatzack; mohammedsafvan; athulchandroth; sujithhubpost
14,dani-garcia/vaultwarden,https://github.com/dani-garcia/vaultwarden,"Unofficial Bitwarden compatible server written in Rust, formerly known as bitwarden_rs",Rust,58459,2699,39 stars today,dani-garcia; BlackDex; jjlin; mprasil; stefan0xC
15,vercel/turborepo,https://github.com/vercel/turborepo,"Build system optimized for JavaScript and TypeScript, written in Rust",Rust,30205,2315,9 stars today,anthonyshew; sokra; chris-olszewski; tknickman; jaredpalmer
