Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,dani-garcia/vaultwarden,https://github.com/dani-garcia/vaultwarden,"Unofficial Bitwarden compatible server written in Rust, formerly known as bitwarden_rs",Rust,59182,2727,268 stars today,dani-garcia; BlackDex; jjlin; mprasil; stefan0xC
2,zed-industries/zed,https://github.com/zed-industries/zed,"Code at the speed of thought – Zed is a high-performance, multiplayer code editor from the creators of Atom and Tree-sitter.",Rust,79726,7973,94 stars today,as-cii; maxbrunsfeld; maxdeviant; nathansobo; ConradIrwin
3,rtk-ai/rtk,https://github.com/rtk-ai/rtk,"CLI proxy that reduces LLM token consumption by 60-90% on common dev commands. Single Rust binary, zero dependencies",Rust,34714,2098,969 stars today,pszymkowiak; aeppling; claude; FlorianBruniaux; github-actions
4,lakehq/sail,https://github.com/lakehq/sail,"A drop-in Apache Spark replacement written in Rust, unifying batch processing, stream processing, and compute-intensive AI workloads.",Rust,1758,101,133 stars today,linhr; shehabgamin; dependabot; lonless9; davidlghellin
5,openai/codex,https://github.com/openai/codex,Lightweight coding agent that runs in your terminal,Rust,77695,11071,352 stars today,bolinfest; jif-oai; aibrahim-oai; pakrym-oai; etraut-openai
6,zed-industries/codex-acp,https://github.com/zed-industries/codex-acp,Pas de description,Rust,652,91,12 stars today,benbrandt; rtfeldman; bennetbo; dependabot; mscolnick
7,farion1231/cc-switch,https://github.com/farion1231/cc-switch,"A cross-platform desktop All-in-One assistant tool for Claude Code, Codex, OpenCode, openclaw & Gemini CLI.",Rust,50721,3263,817 stars today,farion1231; yovinchen; claude; TinsFox; tianrking
8,nautechsystems/nautilus_trader,https://github.com/nautechsystems/nautilus_trader,Production-grade Rust-native trading engine with deterministic event-driven architecture,Rust,22250,2700,31 stars today,cjdsellers; limx0; filipmacek; faysou; davidsblom
9,base/base,https://github.com/base/base,All components used to run Base,Rust,362,317,9 stars today,refcell; danyalprout; ratankaliani; fakedev9999; tynes
10,uutils/coreutils,https://github.com/uutils/coreutils,Cross-platform Rust rewrite of the GNU coreutils,Rust,23144,1828,12 stars today,sylvestre; cakebaker; tertsdiepraam; renovate; rivy
11,ruvnet/RuView,https://github.com/ruvnet/RuView,"π RuView: WiFi DensePose turns commodity WiFi signals into real-time human pose estimation, vital sign monitoring, and presence detection — all without a single pixel of video.",Rust,50132,6619,434 stars today,ruvnet; claude; fr4iser90; MaTriXy; bilibili12433014
12,screenpipe/screenpipe,https://github.com/screenpipe/screenpipe,Run agents that work for you based on what you do. AI finally knows what you are doing,Rust,18384,1648,35 stars today,louis030195; claude; github-actions; divanshu-go; Neptune650
13,tonhowtf/omniget,https://github.com/tonhowtf/omniget,"Desktop app to download videos, courses. YouTube, Instagram, TikTok, Bilibili (哔哩哔哩), Douyin (抖音), 小红书, 快手, 优酷, Hotmart, Udemy, Kiwify, Telegram, and 1000+ more via yt-dlp. Download torrents and send files between devices over P2P.",Rust,2153,157,83 stars today,tonhowtf; InstaZDLL; claude; Twilight0; gokomer
14,firecracker-microvm/firecracker,https://github.com/firecracker-microvm/firecracker,Secure and fast microVMs for serverless computing.,Rust,33938,2354,24 stars today,roypat; dianpopa; pb8o; ShadowCurse; zulinx86
15,gitbutlerapp/gitbutler,https://github.com/gitbutlerapp/gitbutler,"The GitButler version control client, backed by Git, powered by Tauri/Rust/Svelte",Rust,20642,925,43 stars today,estib-vega; Byron; mtsgrd; Caleb-T-Owens; ngalaiko
16,mayocream/koharu,https://github.com/mayocream/koharu,"ML-powered manga translator, written in Rust.",Rust,4062,213,38 stars today,mayocream; fffonion; dependabot; Map1en; karrot0
17,jj-vcs/jj,https://github.com/jj-vcs/jj,A Git-compatible VCS that is both simple and powerful,Rust,28317,1014,41 stars today,yuja; martinvonz; dependabot; ilyagr; thoughtpolice
18,fish-shell/fish-shell,https://github.com/fish-shell/fish-shell,The user-friendly command line shell.,Rust,33286,2281,20 stars today,ridiculousfish; faho; krobelus; liljencrantz; mqudsi
19,cloudflare/quiche,https://github.com/cloudflare/quiche,🥧 Savoury implementation of the QUIC transport protocol and HTTP/3,Rust,11420,981,6 stars today,ghedo; github-actions; traviscibot; LPardue; antoniovicente
