Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,zhom/donutbrowser,https://github.com/zhom/donutbrowser,Simple Yet Powerful Anti-Detect Browser 🍩,Rust,1861,154,58 stars today,zhom; dependabot; github-actions; HassiyYT; yb403
2,farion1231/cc-switch,https://github.com/farion1231/cc-switch,"A cross-platform desktop All-in-One assistant tool for Claude Code, Codex, OpenCode, openclaw & Gemini CLI.",Rust,52022,3371,634 stars today,farion1231; yovinchen; claude; TinsFox; tianrking
3,brave/adblock-rust,https://github.com/brave/adblock-rust,Brave's Rust-based adblock engine,Rust,2435,207,28 stars today,antonok-edm; AndriusA; atuchin-m; boocmp; renovate
4,zed-industries/zed,https://github.com/zed-industries/zed,"Code at the speed of thought – Zed is a high-performance, multiplayer code editor from the creators of Atom and Tree-sitter.",Rust,79831,8009,66 stars today,as-cii; maxbrunsfeld; maxdeviant; nathansobo; ConradIrwin
5,dani-garcia/vaultwarden,https://github.com/dani-garcia/vaultwarden,"Unofficial Bitwarden compatible server written in Rust, formerly known as bitwarden_rs",Rust,59335,2736,63 stars today,dani-garcia; BlackDex; jjlin; mprasil; stefan0xC
6,EricLBuehler/mistral.rs,https://github.com/EricLBuehler/mistral.rs,"Fast, flexible LLM inference",Rust,7059,587,7 stars today,EricLBuehler; lucasavila00; LLukas22; guoqingbao; polarathene
7,lakehq/sail,https://github.com/lakehq/sail,"A drop-in Apache Spark replacement written in Rust, unifying batch processing, stream processing, and compute-intensive AI workloads.",Rust,1997,109,116 stars today,linhr; shehabgamin; dependabot; lonless9; davidlghellin
8,denoland/deno,https://github.com/denoland/deno,A modern runtime for JavaScript and TypeScript.,Rust,106552,6035,18 stars today,bartlomieju; dsherret; ry; littledivy; nayeemrmn
9,openai/codex,https://github.com/openai/codex,Lightweight coding agent that runs in your terminal,Rust,78090,11153,193 stars today,bolinfest; jif-oai; aibrahim-oai; pakrym-oai; etraut-openai
10,GraphiteEditor/Graphite,https://github.com/GraphiteEditor/Graphite,"Open source comprehensive 2D content creation tool suite for graphic design, digital art, and interactive real-time motion graphics — featuring node-based procedural editing",Rust,25324,1157,33 stars today,Keavon; TrueDoctor; 0HyperCube; timon-schelling; mfish33
11,GitoxideLabs/gitoxide,https://github.com/GitoxideLabs/gitoxide,"An idiomatic, lean, fast & safe pure Rust implementation of Git",Rust,11231,455,17 stars today,Byron; EliahKagan; edward-shen; cruessler; svetli-n
12,qdrant/qdrant,https://github.com/qdrant/qdrant,"Qdrant - High-performance, massive-scale Vector Database and Vector Search Engine for the next generation of AI. Also available in the cloud https://cloud.qdrant.io/",Rust,30743,2212,60 stars today,dependabot; generall; timvisee; agourlay; coszio
13,rust-lang/rust,https://github.com/rust-lang/rust,Empowering everyone to build reliable and efficient software.,Rust,112365,14822,32 stars today,bors; matthiaskrgr; RalfJung; GuillaumeGomez; matklad
14,njbrake/agent-of-empires,https://github.com/njbrake/agent-of-empires,"Manage multiple Claude Code, OpenCode agents from either TUI or Web for easy access on mobile. Also supports Mistral Vibe, Codex CLI, Gemini CLI, Pi.dev, Copilot CLI, Factory Droid Coding. Uses tmux and git worktrees.",Rust,1699,134,13 stars today,njbrake; claude; dependabot; github-actions; jerome-benoit
15,zed-industries/codex-acp,https://github.com/zed-industries/codex-acp,Pas de description,Rust,669,94,10 stars today,benbrandt; rtfeldman; bennetbo; dependabot; mscolnick
16,helix-editor/helix,https://github.com/helix-editor/helix,A post-modern modal text editor.,Rust,44127,3440,14 stars today,archseer; the-mikedavis; dependabot; pascalkuthe; sudormrfbin
