Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,Hmbown/DeepSeek-TUI,https://github.com/Hmbown/DeepSeek-TUI,Coding agent for DeepSeek models that runs in your terminal,Rust,8350,638,"2,434 stars today",Hmbown; claude; gemini-code-assist; WyxBUPT-22; qwencoder
2,cloudflare/pingora,https://github.com/cloudflare/pingora,"A library for building fast, reliable and evolvable network services.",Rust,26555,1640,17 stars today,drcaramelsyrup; eaufavor; johnhurt; gumpt; andrewhavck
3,1jehuang/jcode,https://github.com/1jehuang/jcode,Coding Agent Harness,Rust,4245,406,384 stars today,1jehuang; claude
4,reubeno/brush,https://github.com/reubeno/brush,🐚bash/POSIX-compatible shell implemented in Rust 🦀,Rust,1769,86,130 stars today,reubeno; dependabot; lu-zero; Elsie19; 39555
5,rust-lang/rust,https://github.com/rust-lang/rust,Empowering everyone to build reliable and efficient software.,Rust,112552,14858,29 stars today,bors; matthiaskrgr; RalfJung; GuillaumeGomez; matklad
6,eythaann/Seelen-UI,https://github.com/eythaann/Seelen-UI,The Fully Customizable Desktop Environment for Windows 10/11.,Rust,16690,522,72 stars today,eythaann; github-actions; dependabot; luriusTM; PhantomPixel-0418
7,sxyazi/yazi,https://github.com/sxyazi/yazi,"💥 Blazing fast terminal file manager written in Rust, based on async I/O.",Rust,37612,846,88 stars today,sxyazi; jnsgruk; ndtoan96; mikavilpas; XYenon
8,vercel-labs/agent-browser,https://github.com/vercel-labs/agent-browser,Browser automation CLI for AI agents,Rust,31826,1950,117 stars today,ctate; github-actions; claude; hyunjinee; jin-2-kakaoent
9,huggingface/candle,https://github.com/huggingface/candle,Minimalist ML framework for Rust,Rust,20178,1554,7 stars today,LaurentMazare; Narsil; ivarflakstad; EricLBuehler; greenrazer
10,getzola/zola,https://github.com/getzola/zola,A fast static site generator in a single binary with everything built-in. https://www.getzola.org,Rust,17017,1141,7 stars today,Keats; actions-user; codesections; rootkea
11,dani-garcia/vaultwarden,https://github.com/dani-garcia/vaultwarden,"Unofficial Bitwarden compatible server written in Rust, formerly known as bitwarden_rs",Rust,59809,2769,63 stars today,dani-garcia; BlackDex; jjlin; mprasil; stefan0xC
12,tensorzero/tensorzero,https://github.com/tensorzero/tensorzero,"TensorZero is an open-source LLMOps platform that unifies an LLM gateway, observability, evaluation, optimization, and experimentation.",Rust,11321,822,8 stars today,Aaron1011; GabrielBianconi; virajmehta; shuyangli; Copilot
13,warp-tech/warpgate,https://github.com/warp-tech/warpgate,"Fully transparent SSH, HTTPS, Kubernetes, MySQL and Postgres bastion/PAM that doesn't need additional client-side software",Rust,6932,270,32 stars today,Eugeny; dependabot; LarsSven; allcontributors; joseluisgonzalezca
14,nautechsystems/nautilus_trader,https://github.com/nautechsystems/nautilus_trader,Production-grade Rust-native trading engine with deterministic event-driven architecture,Rust,22515,2765,40 stars today,cjdsellers; limx0; filipmacek; faysou; davidsblom
15,rtk-ai/rtk,https://github.com/rtk-ai/rtk,"CLI proxy that reduces LLM token consumption by 60-90% on common dev commands. Single Rust binary, zero dependencies",Rust,42281,2558,819 stars today,aeppling; pszymkowiak; claude; FlorianBruniaux; github-actions
16,bevyengine/bevy,https://github.com/bevyengine/bevy,A refreshingly simple data-driven game engine built in Rust,Rust,45929,4545,20 stars today,cart; alice-i-cecile; mockersf; bors; ickshonpe
17,louis-e/arnis,https://github.com/louis-e/arnis,Generate any location from the real world in Minecraft with a high level of detail.,Rust,15458,1238,15 stars today,louis-e; dependabot; Oleg4260; claude; XianlinSheng
