Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,perspective-dev/perspective,https://github.com/perspective-dev/perspective,"A data visualization and analytics component, especially well-suited for large and/or streaming datasets.",Rust,10878,1325,37 stars today,texodus; sc1f; timkpaine; Ro4052; redbearsam
2,GraphiteEditor/Graphite,https://github.com/GraphiteEditor/Graphite,"Community-built comprehensive 2D content creation appplication for graphic design, digital art, and interactive real-time motion graphics powered by a node-based procedural graphics engine",Rust,25870,1181,74 stars today,Keavon; TrueDoctor; 0HyperCube; timon-schelling; mfish33
3,ruvnet/RuView,https://github.com/ruvnet/RuView,"π RuView turns commodity WiFi signals into real-time spatial intelligence, vital sign monitoring, and presence detection — all without a single pixel of video.",Rust,65481,8660,712 stars today,ruvnet; claude; dependabot; github-actions; fr4iser90
4,katanemo/plano,https://github.com/katanemo/plano,"Plano is an AI-native proxy and data plane for agentic apps — with built-in orchestration, safety, observability, and smart LLM routing so you stay focused on your agents core logic.",Rust,6529,421,19 stars today,adilhafeez; salmanap; Spherrrical; junr03; cotran2
5,bytecodealliance/wasmtime,https://github.com/bytecodealliance/wasmtime,"A lightweight WebAssembly runtime that is fast, secure, and standards-compliant",Rust,18066,1713,7 stars today,alexcrichton; sunfishcode; fitzgen; cfallin; pchickey
6,BloopAI/vibe-kanban,https://github.com/BloopAI/vibe-kanban,"Get 10X more out of Claude Code, Codex or any coding agent",Rust,26493,2774,30 stars today,stunningpixels; abcpro1; LSRCT; actions-user; ggordonhall
7,lakehq/sail,https://github.com/lakehq/sail,"Drop-in Apache Spark replacement written in Rust, unifying batch processing, stream processing, and compute-intensive AI workloads.",Rust,2707,159,22 stars today,linhr; shehabgamin; dependabot; lonless9; Copilot
8,denoland/deno,https://github.com/denoland/deno,A modern runtime for JavaScript and TypeScript.,Rust,106858,6065,18 stars today,bartlomieju; dsherret; ry; littledivy; nayeemrmn
9,nautechsystems/nautilus_trader,https://github.com/nautechsystems/nautilus_trader,Production-grade Rust-native trading engine with deterministic event-driven architecture,Rust,22975,2868,29 stars today,cjdsellers; limx0; filipmacek; faysou; davidsblom
10,influxdata/influxdb,https://github.com/influxdata/influxdb,"Scalable datastore for metrics, events, and real-time analytics",Rust,31523,3703,11 stars today,kodiakhq; alexpaxton; 121watts; carols10cents; otoolep
11,modrinth/code,https://github.com/modrinth/code,The Modrinth monorepo containing all code which powers Modrinth!,Rust,2110,458,4 stars today,Geometrically; Prospector; IMB11; triphora; venashial
12,farion1231/cc-switch,https://github.com/farion1231/cc-switch,"A cross-platform desktop All-in-One assistant for Claude Code, Codex, OpenCode, OpenClaw, Gemini CLI & Hermes Agent. Only official website: ccswitch.io",Rust,79898,5214,724 stars today,farion1231; yovinchen; claude; TinsFox; dependabot
13,vercel/turborepo,https://github.com/vercel/turborepo,"Build system optimized for JavaScript and TypeScript, written in Rust",Rust,30435,2348,8 stars today,anthonyshew; sokra; chris-olszewski; tknickman; jaredpalmer
14,uutils/coreutils,https://github.com/uutils/coreutils,Cross-platform Rust rewrite of the GNU coreutils,Rust,23279,1868,7 stars today,sylvestre; cakebaker; tertsdiepraam; renovate; rivy
15,alvr-org/ALVR,https://github.com/alvr-org/ALVR,Stream VR games from your PC to your headset via Wi-Fi,Rust,7620,652,5 stars today,zmerp; sctanf; korejan; pull; maxer456
16,jely2002/youtube-dl-gui,https://github.com/jely2002/youtube-dl-gui,Open Video Downloader - A cross-platform GUI for youtube-dl made in Rust with Tauri and Vue + Typescript.,Rust,8284,615,10 stars today,jely2002; dependabot; bovirus; independent-arg; fco-pires
17,Pumpkin-MC/Pumpkin,https://github.com/Pumpkin-MC/Pumpkin,Empowering everyone to host fast and efficient Minecraft servers.,Rust,7646,520,6 stars today,Snowiiii; kralverde; Bryntet; lukas0008; Purdze
18,bevyengine/bevy,https://github.com/bevyengine/bevy,A refreshingly simple data-driven game engine built in Rust,Rust,46251,4583,25 stars today,cart; mockersf; alice-i-cecile; ickshonpe; atlv24
19,firecrawl/pdf-inspector,https://github.com/firecrawl/pdf-inspector,"Fast Rust library for PDF inspection, classification, and text extraction. Intelligently detects scanned vs text-based PDFs to enable smart routing decisions.",Rust,1256,119,102 stars today,abimaelmartell; claude; rth; Jacqkues; cursoragent
