Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,bevyengine/bevy,https://github.com/bevyengine/bevy,A refreshingly simple data-driven game engine built in Rust,Rust,46265,4584,33 stars today,cart; mockersf; alice-i-cecile; ickshonpe; atlv24
2,nushell/nushell,https://github.com/nushell/nushell,A new type of shell,Rust,39576,2140,15 stars today,sophiajt; fdncred; sholderbach; dependabot; andrasio
3,firecrawl/pdf-inspector,https://github.com/firecrawl/pdf-inspector,"Fast Rust library for PDF inspection, classification, and text extraction. Intelligently detects scanned vs text-based PDFs to enable smart routing decisions.",Rust,1282,120,44 stars today,abimaelmartell; claude; rth; Jacqkues; cursoragent
4,openai/codex,https://github.com/openai/codex,Lightweight coding agent that runs in your terminal,Rust,85669,12500,440 stars today,bolinfest; jif-oai; aibrahim-oai; pakrym-oai; etraut-openai
5,GraphiteEditor/Graphite,https://github.com/GraphiteEditor/Graphite,"Community-built comprehensive 2D content creation appplication for graphic design, digital art, and interactive real-time motion graphics powered by a node-based procedural graphics engine",Rust,25908,1184,65 stars today,Keavon; TrueDoctor; 0HyperCube; timon-schelling; mfish33
6,vercel/turborepo,https://github.com/vercel/turborepo,"Build system optimized for JavaScript and TypeScript, written in Rust",Rust,30445,2348,11 stars today,anthonyshew; sokra; chris-olszewski; tknickman; jaredpalmer
7,AlexsJones/llmfit,https://github.com/AlexsJones/llmfit,Hundreds of models & providers. One command to find what runs on your hardware.,Rust,26704,1621,74 stars today,AlexsJones; claude; three-foxes-in-a-trenchcoat; dependabot; github-actions
8,dani-garcia/vaultwarden,https://github.com/dani-garcia/vaultwarden,"Unofficial Bitwarden compatible server written in Rust, formerly known as bitwarden_rs",Rust,61252,2849,122 stars today,dani-garcia; BlackDex; jjlin; mprasil; stefan0xC
9,katanemo/plano,https://github.com/katanemo/plano,"Plano is an AI-native proxy and data plane for agentic apps — with built-in orchestration, safety, observability, and smart LLM routing so you stay focused on your agents core logic.",Rust,6537,422,7 stars today,adilhafeez; salmanap; Spherrrical; junr03; cotran2
10,zellij-org/zellij,https://github.com/zellij-org/zellij,A terminal workspace with batteries included,Rust,33020,1229,60 stars today,imsnif; a-kenji; TheLostLambda; kunalmohan; jaeheonji
11,Zackriya-Solutions/meetily,https://github.com/Zackriya-Solutions/meetily,"Privacy first, AI meeting assistant with 4x faster Parakeet/Whisper live transcription, speaker diarization, and Ollama summarization built on Rust. 100% local processing. no cloud required. Meetily (Meetly Ai - https://meetily.ai) is the #1 Self-hosted, Open-source Ai meeting note taker for macOS & Windows.",Rust,12323,1248,51 stars today,sujithatzackriya; safvanatzack; mohammedsafvan; athulchandroth; sujithhubpost
12,nearai/ironclaw,https://github.com/nearai/ironclaw,"IronClaw is an Agent OS focused on privacy, security and extensibility",Rust,12348,1437,10 stars today,claude; ilblackdragon; henrypark133; serrrfirat; zmanian
13,apache/datafusion,https://github.com/apache/datafusion,Apache DataFusion SQL Query Engine,Rust,8811,2124,5 stars today,alamb; dependabot; andygrove; kou; wesm
14,grpc/grpc-rust,https://github.com/grpc/grpc-rust,A native gRPC client & server implementation with async/await support.,Rust,12152,1212,14 stars today,tottoto; LucioFranco; davidpdrsn; dfawley; alce
15,uutils/coreutils,https://github.com/uutils/coreutils,Cross-platform Rust rewrite of the GNU coreutils,Rust,23287,1867,11 stars today,sylvestre; cakebaker; tertsdiepraam; renovate; rivy
