Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,malbiruk/driftwm,https://github.com/malbiruk/driftwm,A trackpad-first infinite canvas Wayland compositor.,Rust,962,33,155 stars today,malbiruk; TZK13; lama2923; nico4348; wwmaxik
2,dmtrKovalenko/fff,https://github.com/dmtrKovalenko/fff,"The fastest and the most accurate file search toolkit for AI agents, Neovim, Rust, C, and NodeJS",Rust,7454,303,426 stars today,dmtrKovalenko; github-actions; gustav-fff; sQVe; SamuelLHuber
3,AlexsJones/llmfit,https://github.com/AlexsJones/llmfit,Hundreds of models & providers. One command to find what runs on your hardware.,Rust,27207,1666,123 stars today,AlexsJones; claude; three-foxes-in-a-trenchcoat; dependabot; github-actions
4,farion1231/cc-switch,https://github.com/farion1231/cc-switch,"A cross-platform desktop All-in-One assistant for Claude Code, Codex, OpenCode, OpenClaw, Gemini CLI & Hermes Agent. Only official website: ccswitch.io",Rust,89597,5842,"1,371 stars today",farion1231; yovinchen; claude; TinsFox; dependabot
5,ogulcancelik/herdr,https://github.com/ogulcancelik/herdr,agent multiplexer that lives in your terminal.,Rust,3902,250,201 stars today,ogulcancelik; github-actions; kangal-bot; Golden-Pigeon; othavioquiliao
6,NVIDIA/OpenShell,https://github.com/NVIDIA/OpenShell,"OpenShell is the safe, private runtime for autonomous AI agents.",Rust,6636,790,143 stars today,drew; johntmyers; pimlock; miyoungc; kirit93
7,dnakov/litter,https://github.com/dnakov/litter,Pas de description,Rust,2205,170,36 stars today,dnakov; makyinmars; Dixith-dev; kaynancamargo; kkellyoffical
8,agentgateway/agentgateway,https://github.com/agentgateway/agentgateway,Next Generation Agentic Proxy for AI Agents and MCP servers,Rust,2992,500,24 stars today,howardjohn; EItanya; npolshakova; timflannagan; chandler-solo
9,SaladDay/cc-switch-cli,https://github.com/SaladDay/cc-switch-cli,"⭐️ A cross-platform CLI All-in-One assistant tool for Claude Code, Codex & Gemini CLI.",Rust,3203,185,36 stars today,farion1231; SaladDay; yovinchen; claude; unive3sal
10,openai/codex,https://github.com/openai/codex,Lightweight coding agent that runs in your terminal,Rust,88071,12940,353 stars today,bolinfest; jif-oai; aibrahim-oai; pakrym-oai; etraut-openai
11,EricLBuehler/mistral.rs,https://github.com/EricLBuehler/mistral.rs,"Fast, flexible LLM inference",Rust,7225,615,23 stars today,EricLBuehler; lucasavila00; LLukas22; guoqingbao; polarathene
12,wasmerio/wasmer,https://github.com/wasmerio/wasmer,"🚀 Fast, secure, lightweight containers based on WebAssembly",Rust,20755,975,17 stars today,syrusakbary; Hywan; MarkMcCaskey; bors; xdoardo
13,googleworkspace/cli,https://github.com/googleworkspace/cli,"Google Workspace CLI — one command-line tool for Drive, Gmail, Calendar, Sheets, Docs, Chat, Admin, and more. Dynamically built from Google Discovery Service. Includes AI agent skills.",Rust,26786,1412,34 stars today,googleworkspace-bot; jpoehnelt-bot; jpoehnelt; github-actions; malob
14,astral-sh/uv,https://github.com/astral-sh/uv,"An extremely fast Python package and project manager, written in Rust.",Rust,85901,3166,65 stars today,charliermarsh; zanieb; konstin; renovate; BurntSushi
15,HelixDB/helix-db,https://github.com/HelixDB/helix-db,HelixDB is an open-source graph-vector database built from scratch in Rust.,Rust,4655,250,14 stars today,xav-db; lukasnxyz; matthewsanetra; RaphaelDarley; Gand4lf
16,rathole-org/rathole,https://github.com/rathole-org/rathole,"A lightweight and high-performance reverse proxy for NAT traversal, written in Rust. An alternative to frp and ngrok.",Rust,13680,775,8 stars today,yujqiao; dependabot; Enter-tainer; orhun; sunmy2019
