Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,swc-project/swc,https://github.com/swc-project/swc,Rust-based platform for the Web,Rust,33810,1403,163 stars today,kdy1; swc-bot; alexander-akait; magic-akari; kwonoj
2,tensorzero/tensorzero,https://github.com/tensorzero/tensorzero,"TensorZero is an open-source LLMOps platform that unifies an LLM gateway, observability, evaluation, optimization, and experimentation.",Rust,11626,912,96 stars today,Aaron1011; GabrielBianconi; virajmehta; shuyangli; Copilot
3,biomejs/biome,https://github.com/biomejs/biome,"A toolchain for web projects, aimed to provide functionalities to maintain them. Biome offers formatter and linter, usable via CLI and LSP.",Rust,25029,1030,24 stars today,ematipico; Conaclos; sebmck; renovate; dyc3
4,fabro-sh/fabro,https://github.com/fabro-sh/fabro,⚒️ The open source dark software factory for expert engineers.,Rust,1236,136,43 stars today,brynary; claude; fabro-releases; fabro-sh-0530; brynary-fabro
5,longbridge/gpui-component,https://github.com/longbridge/gpui-component,Rust GUI components for building fantastic cross-platform desktop application by using GPUI.,Rust,11755,658,32 stars today,huacnlee; madcodelife; claude; ihavecoke; ylinwind
6,servo/servo,https://github.com/servo/servo,"Servo aims to empower developers with a lightweight, high-performance alternative for embedding web technologies in applications.",Rust,37097,3671,17 stars today,emilio; Ms2ger; dependabot; jdm; SimonSapin
7,qdrant/qdrant,https://github.com/qdrant/qdrant,"Qdrant - High-performance, massive-scale Vector Database and Vector Search Engine for the next generation of AI. Also available in the cloud https://cloud.qdrant.io/",Rust,32280,2375,104 stars today,dependabot; generall; timvisee; agourlay; coszio
8,denoland/deno,https://github.com/denoland/deno,A modern runtime for JavaScript and TypeScript.,Rust,107073,6068,27 stars today,bartlomieju; dsherret; ry; littledivy; nayeemrmn
9,leptos-rs/leptos,https://github.com/leptos-rs/leptos,Build fast web applications with Rust.,Rust,20910,870,11 stars today,gbj; jquesada2016; sabify; martinfrances107; agilarity
10,rolldown/rolldown,https://github.com/rolldown/rolldown,Fast Rust bundler for JavaScript/TypeScript with Rollup-compatible API.,Rust,13749,793,13 stars today,hyf0; IWANABETHATGUY; shulaoda; renovate; sapphi-red
11,pola-rs/polars,https://github.com/pola-rs/polars,"Extremely fast Query Engine for DataFrames, written in Rust",Rust,38763,2882,7 stars today,ritchie46; alexander-beedie; orlp; coastalwhite; nameexhaustion
12,paradigmxyz/reth,https://github.com/paradigmxyz/reth,"Modular, contributor-friendly and blazing-fast implementation of the Ethereum protocol, in Rust",Rust,5648,2480,6 stars today,mattsse; Rjected; rkrasiuk; klkvr; shekhirin
13,bytecodealliance/wasmtime,https://github.com/bytecodealliance/wasmtime,"A lightweight WebAssembly runtime that is fast, secure, and standards-compliant",Rust,18186,1741,5 stars today,alexcrichton; sunfishcode; fitzgen; cfallin; pchickey
14,rust-lang/rust-clippy,https://github.com/rust-lang/rust-clippy,A bunch of lints to catch common mistakes and improve your Rust code. Book: https://doc.rust-lang.org/clippy/,Rust,13271,2055,2 stars today,bors; flip1995; oli-obk; Manishearth; samueltardieu
15,rust-lang/rust,https://github.com/rust-lang/rust,Empowering everyone to build reliable and efficient software.,Rust,113844,14971,39 stars today,bors; matthiaskrgr; RalfJung; GuillaumeGomez; matklad
16,rust-lang/miri,https://github.com/rust-lang/miri,An interpreter for Rust's mid-level intermediate representation,Rust,6316,485,4 stars today,bors; RalfJung; matthiaskrgr; oli-obk; solson
17,rust-lang/rustup,https://github.com/rust-lang/rustup,The Rust toolchain installer,Rust,6927,1052,6 stars today,kinnison; brson; rami3l; djc; Diggsey
18,bevyengine/bevy,https://github.com/bevyengine/bevy,A refreshingly simple data-driven game engine built in Rust,Rust,46615,4626,8 stars today,cart; mockersf; alice-i-cecile; ickshonpe; atlv24
19,tinyhumansai/openhuman,https://github.com/tinyhumansai/openhuman,"Your Personal AI super intelligence. Private, Simple and extremely powerful.",Rust,32139,3112,203 stars today,senamakel; claude; graycyrus; github-actions; M3gA-Mind
20,restatedev/restate,https://github.com/restatedev/restate,Restate is the platform for building resilient applications that tolerate all infrastructure faults w/o the need for a PhD.,Rust,4010,167,5 stars today,tillrohrmann; AhmedSoliman; slinkydeveloper; jackkleeman; muhamadazmy
21,gfx-rs/wgpu,https://github.com/gfx-rs/wgpu,"A cross-platform, safe, pure-Rust graphics API.",Rust,17369,1328,12 stars today,kvark; bors; cwfitzgerald; jimblandy; teoxoy
22,clockworklabs/SpacetimeDB,https://github.com/clockworklabs/SpacetimeDB,Development at the speed of light,Rust,24723,1005,5 stars today,bfops; Centril; joshua-spacetime; gefjon; cloutiertyler
23,GitoxideLabs/gitoxide,https://github.com/GitoxideLabs/gitoxide,"An idiomatic, lean, fast & safe pure Rust implementation of Git",Rust,11572,493,11 stars today,Byron; EliahKagan; cruessler; edward-shen; codex
