Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,n0-computer/iroh,https://github.com/n0-computer/iroh,"IP addresses break, dial keys instead. Modular networking stack in Rust.",Rust,10044,464,369 stars today,dignifiedquire; flub; rklaehn; Frando; ramfox
2,Universal-Debloater-Alliance/universal-android-debloater-next-generation,https://github.com/Universal-Debloater-Alliance/universal-android-debloater-next-generation,"Cross-platform GUI written in Rust using ADB to debloat non-rooted Android devices. Improve your privacy, the security and battery life of your device.",Rust,7947,342,244 stars today,AnonymousWP; 0x192; Frigyes06; Rudxain; lavafroth
3,openai/codex,https://github.com/openai/codex,Lightweight coding agent that runs in your terminal,Rust,92048,13608,297 stars today,jif-oai; bolinfest; aibrahim-oai; pakrym-oai; etraut-openai
4,nautechsystems/nautilus_trader,https://github.com/nautechsystems/nautilus_trader,Production-grade Rust-native trading engine with deterministic event-driven architecture,Rust,23992,3030,343 stars today,cjdsellers; limx0; filipmacek; faysou; davidsblom
5,rustdesk/rustdesk,https://github.com/rustdesk/rustdesk,"An open-source remote desktop application designed for self-hosting, as an alternative to TeamViewer.",Rust,116425,17608,79 stars today,rustdesk; fufesou; 21pages; Kingtous; Heap-Hop
6,microsoft/windows-rs,https://github.com/microsoft/windows-rs,Rust for Windows,Rust,12432,631,5 stars today,kennykerr; Copilot; rylev; riverar; dependabot
7,cube-js/cube,https://github.com/cube-js/cube,"📊 Cube Core is open-source semantic layer for AI, BI and embedded analytics",Rust,20212,2052,11 stars today,paveltiunov; ovr; hassankhan; vasilev-alex; igorlukanin
8,swc-project/swc,https://github.com/swc-project/swc,Rust-based platform for the Web,Rust,34049,1423,12 stars today,kdy1; swc-bot; alexander-akait; magic-akari; kwonoj
9,Start9Labs/start-os,https://github.com/Start9Labs/start-os,A graphical server OS optimized for self-hosting,Rust,1921,183,3 stars today,dr-bonez; MattDHill; ProofOfKeags; Blu-J; elvece
10,biomejs/biome,https://github.com/biomejs/biome,"A toolchain for web projects, aimed to provide functionalities to maintain them. Biome offers formatter and linter, usable via CLI and LSP.",Rust,25134,1031,29 stars today,ematipico; Conaclos; sebmck; renovate; dyc3
11,nushell/nushell,https://github.com/nushell/nushell,A new type of shell,Rust,39758,2159,7 stars today,sophiajt; fdncred; sholderbach; dependabot; andrasio
12,Myriad-Dreamin/tinymist,https://github.com/Myriad-Dreamin/tinymist,Tinymist [ˈtaɪni mɪst] is an integrated language service for Typst [taɪpst].,Rust,3328,165,16 stars today,Myriad-Dreamin; hongjr03; ParaN3xus; Enter-tainer; QuadnucYard
13,apache/datafusion,https://github.com/apache/datafusion,Apache DataFusion SQL Query Engine,Rust,8895,2171,5 stars today,alamb; dependabot; andygrove; kou; wesm
14,restatedev/restate,https://github.com/restatedev/restate,Restate is the platform for building resilient applications that tolerate all infrastructure faults w/o the need for a PhD.,Rust,4032,172,5 stars today,tillrohrmann; AhmedSoliman; slinkydeveloper; jackkleeman; muhamadazmy
15,getsentry/relay,https://github.com/getsentry/relay,Sentry event forwarding and ingestion service.,Rust,384,119,0 stars today,jan-auer; jjbayer; Dav1dde; github-merge-queue; untitaker
16,cjpais/Handy,https://github.com/cjpais/Handy,"A free, open source, and extensible speech-to-text application that works completely offline.",Rust,24140,2035,217 stars today,cjpais; vladstudio; claude; VirenMohindra; xilec
17,ankitects/anki,https://github.com/ankitects/anki,Anki is a smart spaced repetition flashcard program,Rust,28619,3012,23 stars today,dae; hgiesel; RumovZ; abdnh; Arthur-Milchior
18,vercel/turborepo,https://github.com/vercel/turborepo,"Build system optimized for JavaScript and TypeScript, written in Rust",Rust,30569,2362,11 stars today,anthonyshew; sokra; chris-olszewski; tknickman; jaredpalmer
19,sinelaw/fresh,https://github.com/sinelaw/fresh,"Terminal based IDE & text editor: easy, powerful and fast",Rust,7573,277,25 stars today,claude; sinelaw; PavelLoparev; dependabot; asukaminato0721
20,TabbyML/tabby,https://github.com/TabbyML/tabby,Self-hosted AI coding assistant,Rust,33616,1754,4 stars today,wsxiaoys; autofix-ci; icycodes; liangfung; zwpaper
