Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,andrewrabert/jellium-desktop,https://github.com/andrewrabert/jellium-desktop,An unofficial desktop client for Jellyfin,Rust,1305,110,43 stars today,andrewrabert; renovate; rodis120; claude; gnattu
2,1jehuang/jcode,https://github.com/1jehuang/jcode,Coding Agent Harness,Rust,8958,1040,235 stars today,1jehuang; claude; FabianAmherd; hongnoul; AlazBatu
3,cocoindex-io/cocoindex,https://github.com/cocoindex-io/cocoindex,Incremental engine for long horizon agents 🌟 Star if you like it!,Rust,10924,841,54 stars today,georgeh0; badmonster0; claude; lemorage; Haleshot
4,tursodatabase/turso,https://github.com/tursodatabase/turso,"A SQL database in Rust: SQLite-compatible, now also speaking Postgres (experimental). The LLVM of databases.",Rust,23231,1188,60 stars today,penberg; jussisaurio; PThorpe92; pedrocarlo; sivukhin
5,openinterpreter/openinterpreter,https://github.com/openinterpreter/openinterpreter,A coding agent for open models like Kimi K3,Rust,66852,5741,176 stars today,jif-oai; bolinfest; aibrahim-oai; pakrym-oai; etraut-openai
6,zeroclaw-labs/zeroclaw,https://github.com/zeroclaw-labs/zeroclaw,"Fast, small, and fully autonomous AI personal assistant infrastructure, any OS, any platform — deploy anywhere, swap anything 🦀",Rust,32323,4813,15 stars today,theonlyhennygod; claude; Audacity88; github-actions; chumyin
7,tokio-rs/topcoat,https://github.com/tokio-rs/topcoat,A batteries-included framework for building web apps,Rust,1182,32,439 stars today,pikaju; akoll; carllerche; claymcleod; github-actions
8,bytecodealliance/wasmtime,https://github.com/bytecodealliance/wasmtime,"A lightweight WebAssembly runtime that is fast, secure, and standards-compliant",Rust,18389,1770,14 stars today,alexcrichton; sunfishcode; fitzgen; cfallin; pchickey
9,rivet-dev/agentos,https://github.com/rivet-dev/agentos,"A faster, lighter, cheaper alternative to sandboxes. Run any coding agent inside an isolated Linux VM, with agent orchestration built in.",Rust,3939,196,48 stars today,NathanFlurry; Blckbrry-Pi; abcxff; jog1t; MasterPtato
10,nautechsystems/nautilus_trader,https://github.com/nautechsystems/nautilus_trader,Production-grade Rust-native trading engine with deterministic event-driven architecture,Rust,24826,3196,25 stars today,cjdsellers; limx0; filipmacek; faysou; davidsblom
11,tinyhumansai/openhuman,https://github.com/tinyhumansai/openhuman,"Your Personal AI super intelligence. A brain that builds a local-first memory of your life, a fantastic orchestrator of agent fleets and workflows, and a deep researcher.",Rust,35104,3430,54 stars today,senamakel; claude; graycyrus; M3gA-Mind; github-actions
12,wezterm/wezterm,https://github.com/wezterm/wezterm,A GPU-accelerated cross-platform terminal emulator and multiplexer written by @wez and implemented in Rust,Rust,27747,1598,45 stars today,wez; bew; tzx; chipsenkbeil; jsgf
13,kane50613/takumi,https://github.com/kane50613/takumi,Render JSX & HTML to SVG or images. Support 160+ CSS properties. Drop-in next/og replacement.,Rust,2425,47,21 stars today,kane50613; github-actions; renovate; Etheirystech; Kayxue
14,ogulcancelik/herdr,https://github.com/ogulcancelik/herdr,agent multiplexer that lives in your terminal.,Rust,18421,1185,381 stars today,ogulcancelik; kangal-bot; github-actions; akbash-bot; dmmulroy
15,ruffle-rs/ruffle,https://github.com/ruffle-rs/ruffle,A Flash Player emulator written in Rust,Rust,18326,1044,5 stars today,kmeisthax; Dinnerbone; kjarosh; Herschel; dependabot
16,atuinsh/atuin,https://github.com/atuinsh/atuin,✨ Making your shell magical,Rust,30658,898,24 stars today,ellie; dependabot; BinaryMuse; conradludgate; akinomyoga
17,pnpm/pnpm,https://github.com/pnpm/pnpm,"Fast, disk space efficient package manager",Rust,35818,1588,12 stars today,zkochan; KSXGitHub; rstacruz; renovate-bot; anonrig
18,Pumpkin-MC/Pumpkin,https://github.com/Pumpkin-MC/Pumpkin,Empowering everyone to host fast and efficient Minecraft servers.,Rust,7990,561,11 stars today,Snowiiii; kralverde; Bryntet; lukas0008; Purdze
19,neondatabase/neon,https://github.com/neondatabase/neon,"Neon: Serverless Postgres. We separated storage and compute to offer autoscaling, code-like database branching, and scale to zero.",Rust,22611,1033,16 stars today,hlinnaka; jcsp; problame; bayandin; koivunej
20,nearai/ironclaw,https://github.com/nearai/ironclaw,"IronClaw is an Agent OS focused on privacy, security and extensibility",Rust,12531,1477,8 stars today,serrrfirat; claude; henrypark133; ilblackdragon; zmanian
