Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,block/buzz,https://github.com/block/buzz,A hive mind communication platform,Rust,12029,964,"2,491 stars today",wesbillman; wpfleger96; tlongwell-block; claude; klopez4212
2,Automattic/harper,https://github.com/Automattic/harper,"Offline, privacy-first grammar checker. Fast, open-source, Rust-powered",Rust,13442,512,503 stars today,elijah-potter; hippietrail; dependabot; grantlemons; mcecode
3,Pumpkin-MC/Pumpkin,https://github.com/Pumpkin-MC/Pumpkin,Empowering everyone to host fast and efficient Minecraft servers.,Rust,9731,657,358 stars today,Snowiiii; kralverde; Bryntet; lukas0008; Purdze
4,ruvnet/RuView,https://github.com/ruvnet/RuView,"π RuView turns commodity WiFi signals into real-time spatial intelligence, vital sign monitoring, and presence detection — all without a single pixel of video.",Rust,86391,11493,559 stars today,ruvnet; claude; proffesor-for-testing; dependabot; github-actions
5,facebook/pyrefly,https://github.com/facebook/pyrefly,A fast type checker and language server for Python,Rust,6821,457,6 stars today,stroxler; rchen152; ndmitchell; yangdanny97; kinto0
6,rtk-ai/rtk,https://github.com/rtk-ai/rtk,"CLI proxy that reduces LLM token consumption by 60-90% on common dev commands. Single Rust binary, zero dependencies",Rust,73255,4568,179 stars today,aeppling; claude; pszymkowiak; FlorianBruniaux; github-actions
7,dani-garcia/vaultwarden,https://github.com/dani-garcia/vaultwarden,"Unofficial Bitwarden compatible server written in Rust, formerly known as bitwarden_rs",Rust,64273,3037,74 stars today,dani-garcia; BlackDex; jjlin; mprasil; stefan0xC
8,aaif-goose/goose,https://github.com/aaif-goose/goose,"an open source, extensible AI agent that goes beyond code suggestions - install, execute, edit, and test with any LLM",Rust,51695,5713,72 stars today,blackgirlbytes; angiejones; dianed-square; michaelneale; alexhancock
9,windmill-labs/windmill,https://github.com/windmill-labs/windmill,"Open-source developer platform to power your entire infra and turn scripts into webhooks, workflows and UIs. Fastest workflow engine (13x vs Airflow). Open-source alternative to Retool and Temporal.",Rust,17294,1047,30 stars today,rubenfiszel; claude; hugocasa; fatonramadani; centdix
10,max-sixty/worktrunk,https://github.com/max-sixty/worktrunk,"Worktrunk is a CLI for Git worktree management, designed for parallel AI agent workflows",Rust,6021,215,19 stars today,max-sixty; claude; worktrunk-bot; dependabot; github-actions
11,gitbutlerapp/gitbutler,https://github.com/gitbutlerapp/gitbutler,"The GitButler version control client, backed by Git, powered by Tauri/Rust/Svelte",Rust,21366,995,12 stars today,estib-vega; OliverJAsh; Byron; mtsgrd; Caleb-T-Owens
12,screenpipe/screenpipe,https://github.com/screenpipe/screenpipe,"YC (S26) | Record your screen 24/7 and plug into your agents. Local, private, secure. Connect to OpenClaw, Hermes agent and 100+ apps",Rust,20532,2029,26 stars today,louis030195; claude; EzraEllette; github-actions; Anshgrover23
13,apache/iceberg-rust,https://github.com/apache/iceberg-rust,Apache Iceberg,Rust,1354,525,3 stars today,liurenjie1024; dependabot; Xuanwo; blackmwk; CTTY
14,rust-lang/rustup,https://github.com/rust-lang/rustup,The Rust toolchain installer,Rust,6985,1073,2 stars today,kinnison; brson; rami3l; djc; Diggsey
15,astral-sh/uv,https://github.com/astral-sh/uv,"An extremely fast Python package and project manager, written in Rust.",Rust,87893,3376,49 stars today,charliermarsh; zanieb; konstin; renovate; BurntSushi
16,lance-format/lance,https://github.com/lance-format/lance,"Open Lakehouse Format for Multimodal AI. Convert from Parquet in 2 lines of code for 100x faster random access, vector index, and data versioning. Compatible with Pandas, DuckDB, Polars, Pyarrow, and PyTorch with more integrations coming..",Rust,6855,780,5 stars today,github-actions; eddyxu; westonpace; wjones127; BubbleCal
17,delta-io/delta-rs,https://github.com/delta-io/delta-rs,"A native Rust library for Delta Lake, with bindings into Python",Rust,3270,642,1 star today,rtyler; ion-elgreco; roeap; ethan-tyler; wjones127
