Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,openai/codex,https://github.com/openai/codex,Lightweight coding agent that runs in your terminal,Rust,103150,15550,199 stars today,jif-oai; bolinfest; aibrahim-oai; pakrym-oai; etraut-openai
2,sharkdp/bat,https://github.com/sharkdp/bat,A cat(1) clone with wings.,Rust,59979,1613,15 stars today,sharkdp; keith-hall; dependabot; Enselic; eth-p
3,agavra/tuicr,https://github.com/agavra/tuicr,a code review TUI with vim keybindings,Rust,2263,177,188 stars today,agavra; claude; github-actions; martintrojer; ptoussai
4,cjpais/Handy,https://github.com/cjpais/Handy,"A free, open source, and extensible speech-to-text application that works completely offline.",Rust,28388,2480,147 stars today,cjpais; claude; vladstudio; VirenMohindra; xilec
5,farion1231/cc-switch,https://github.com/farion1231/cc-switch,"A cross-platform desktop All-in-One assistant for Claude Code, Codex, OpenCode, OpenClaw, Grok Build & Hermes Agent. Only official website: ccswitch.io",Rust,123286,8341,345 stars today,farion1231; yovinchen; claude; makoMakoGo; TinsFox
6,stalwartlabs/stalwart,https://github.com/stalwartlabs/stalwart,"All-in-one Mail & Collaboration server. Secure, scalable and fluent in every protocol (IMAP, JMAP, SMTP, CalDAV, CardDAV, WebDAV).",Rust,13963,858,18 stars today,mdecimus; dependabot; vickunwu; rmsc; stratacast
7,servo/servo,https://github.com/servo/servo,"Servo aims to empower developers with a lightweight, high-performance alternative for embedding web technologies in applications.",Rust,37564,3731,21 stars today,emilio; Ms2ger; dependabot; jdm; mrobinson
8,sinelaw/fresh,https://github.com/sinelaw/fresh,"Terminal based IDE & text editor: easy, powerful and fast",Rust,8069,296,32 stars today,claude; sinelaw; PavelLoparev; asukaminato0721; dependabot
9,ai-dynamo/dynamo,https://github.com/ai-dynamo/dynamo,A Datacenter Scale Distributed Inference Serving Framework,Rust,7652,1392,8 stars today,claude; PeaBrane; rmccorm4; grahamking; nv-anants
10,rustfs/rustfs,https://github.com/rustfs/rustfs,"🚀2.3x faster than MinIO for 4KB object payloads. RustFS is an open-source, S3-compatible high-performance object storage system supporting migration and coexistence with other S3-compatible platforms such as MinIO and Ceph.",Rust,30540,1350,50 stars today,overtrue; houseme; weisd; heihutu; loverustfs
11,zed-industries/zed,https://github.com/zed-industries/zed,"Code at the speed of thought – Zed is a high-performance, multiplayer code editor from the creators of Atom and Tree-sitter.",Rust,87884,9828,51 stars today,as-cii; maxbrunsfeld; maxdeviant; nathansobo; ConradIrwin
12,clockworklabs/SpacetimeDB,https://github.com/clockworklabs/SpacetimeDB,Development at the speed of light,Rust,24966,1033,9 stars today,bfops; joshua-spacetime; Centril; gefjon; cloutiertyler
13,BurntSushi/ripgrep,https://github.com/BurntSushi/ripgrep,ripgrep recursively searches directories for a regex pattern while respecting your gitignore,Rust,66805,2688,36 stars today,BurntSushi; okdana; jgarte; balajisivaraman; igor-raits
14,googleworkspace/cli,https://github.com/googleworkspace/cli,"Google Workspace CLI — one command-line tool for Drive, Gmail, Calendar, Sheets, Docs, Chat, Admin, and more. Dynamically built from Google Discovery Service. Includes AI agent skills.",Rust,30141,1762,37 stars today,googleworkspace-bot; jpoehnelt-bot; jpoehnelt; github-actions; malob
