Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,nautechsystems/nautilus_trader,https://github.com/nautechsystems/nautilus_trader,Production-grade Rust-native trading engine with deterministic event-driven architecture,Rust,25927,3372,120 stars today,cjdsellers; limx0; filipmacek; faysou; davidsblom
2,akitaonrails/ai-memory,https://github.com/akitaonrails/ai-memory,Solution for long term memory for agent coding CLIs and to facilitate handoff between different agent vendors,Rust,2073,195,207 stars today,akitaonrails; claude; djalmajr; wblech; rthiago
3,AlexsJones/llmfit,https://github.com/AlexsJones/llmfit,Hundreds of models & providers. One command to find what runs on your hardware.,Rust,32296,2001,198 stars today,AlexsJones; claude; dependabot; three-foxes-in-a-trenchcoat; github-actions
4,AprilNEA/OpenLogi,https://github.com/AprilNEA/OpenLogi,"⚡️A native, local-first alternative to Logitech Options+, written in Rust 🦀 — remap buttons, DPI, and SmartShift over HID++. No account, no telemetry.",Rust,8613,238,115 stars today,AprilNEA; davidbudnick; aprilnea; cserby; tagawa0525
5,SlimeBoyOwO/LingChat,https://github.com/SlimeBoyOwO/LingChat,"Immersive AI-driven Galgame chat with emotional expressions, desktop pet, scheduling, and interactive story modules. / 一款沉浸式 AI-Galgame 聊天软件，附带桌宠，日程，剧情功能",Rust,1461,98,82 stars today,SlimeBoyOwO; shadow01a; T-Auto; Ratman463; 0x00-pl
6,Sollimann/bonsai,https://github.com/Sollimann/bonsai,Rust implementation of behavior trees for deterministic AI (now with Python bindings),Rust,959,39,61 stars today,Sollimann; kaphula; andriyDev; kmolan; RoyPrinsGH
7,sxyazi/yazi,https://github.com/sxyazi/yazi,"💥 Blazing fast terminal file manager written in Rust, based on async I/O.",Rust,41434,985,41 stars today,sxyazi; jnsgruk; ndtoan96; mikavilpas; XYenon
8,dmtrKovalenko/fff,https://github.com/dmtrKovalenko/fff,"The fastest and the most accurate file search SDK for AI agents, Neovim, Rust, C, Python, Bun and NodeJS",Rust,10048,419,22 stars today,dmtrKovalenko; gustav-fff; github-actions; sQVe; thuan1412
9,ZSeven-W/openpencil,https://github.com/ZSeven-W/openpencil,The world's first open-source AI-native vector design tool and the first to feature concurrent Agent Teams. Design-as-Code. Turn prompts into UI directly on the live canvas. A modern alternative to Pencil.,Rust,5246,469,152 stars today,Kayshen-X; finiking; leinaldo; claude; Danny-Devs
10,vercel/turborepo,https://github.com/vercel/turborepo,"Build system optimized for JavaScript and TypeScript, written in Rust",Rust,30904,2418,4 stars today,anthonyshew; sokra; chris-olszewski; tknickman; jaredpalmer
11,witnessmenow/ESP32-Cheap-Yellow-Display,https://github.com/witnessmenow/ESP32-Cheap-Yellow-Display,Building a community around a cheap ESP32 Display with a touch screen,Rust,4323,435,9 stars today,witnessmenow; TheNitek; bergdahl; Northstrix; dependabot
