Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,openai/codex,https://github.com/openai/codex,Lightweight coding agent that runs in your terminal,Rust,117072,17846,"1,994 stars today",jif-oai; bolinfest; aibrahim-oai; etraut-openai; pakrym-oai
2,AprilNEA/OpenLogi,https://github.com/AprilNEA/OpenLogi,"⚡️A native, local-first alternative to Logitech Options+, written in Rust 🦀 — remap buttons, DPI, and SmartShift over HID++. No account, no telemetry.",Rust,15872,430,"1,097 stars today",AprilNEA; davidbudnick; aprilnea; cserby; github-actions
3,dani-garcia/vaultwarden,https://github.com/dani-garcia/vaultwarden,"Unofficial Bitwarden compatible server written in Rust, formerly known as bitwarden_rs",Rust,66126,3139,175 stars today,dani-garcia; BlackDex; jjlin; mprasil; stefan0xC
4,tinyhumansai/openhuman,https://github.com/tinyhumansai/openhuman,"Your Personal AI super intelligence. A brain that builds a local-first memory of your life, a fantastic orchestrator of agent fleets and workflows, and a deep researcher.",Rust,37275,3699,515 stars today,senamakel; medullabot; graycyrus; claude; M3gA-Mind
5,oxc-project/oxc,https://github.com/oxc-project/oxc,⚓ A collection of high-performance JavaScript tools.,Rust,22465,1236,26 stars today,Boshen; overlookmotel; camc314; Dunqing; leaysgur
6,1jehuang/jcode,https://github.com/1jehuang/jcode,The most RAM efficient harness,Rust,18464,2080,112 stars today,1jehuang; claude; github-actions; luciusrockwing; FabianAmherd
7,slint-ui/slint,https://github.com/slint-ui/slint,"Slint is an open-source declarative GUI toolkit to build native user interfaces for Rust, C++, JavaScript, or Python apps.",Rust,23572,971,26 stars today,tronical; ogoffart; hunger; NigelBreslaw; dependabot
8,aaif-goose/goose,https://github.com/aaif-goose/goose,"an open source, extensible AI agent that goes beyond code suggestions - install, execute, edit, and test with any LLM",Rust,53392,6088,71 stars today,blackgirlbytes; angiejones; dianed-square; michaelneale; DOsinga
9,biomejs/biome,https://github.com/biomejs/biome,"A toolchain for web projects, aimed to provide functionalities to maintain them. Biome offers formatter and linter, usable via CLI and LSP.",Rust,25637,1203,16 stars today,ematipico; Conaclos; sebmck; renovate; dyc3
10,Pumpkin-MC/Pumpkin,https://github.com/Pumpkin-MC/Pumpkin,Empowering everyone to host fast and efficient Minecraft servers.,Rust,10894,750,19 stars today,Snowiiii; kralverde; Bryntet; lukas0008; dependabot
11,GitoxideLabs/gitoxide,https://github.com/GitoxideLabs/gitoxide,"An idiomatic, lean, fast & safe pure Rust implementation of Git",Rust,11824,529,10 stars today,Byron; EliahKagan; codex; cruessler; edward-shen
12,jdx/usage,https://github.com/jdx/usage,A specification for CLIs,Rust,937,51,38 stars today,jdx; claude; renovate; mise-en-dev; cursoragent
13,astral-sh/ruff,https://github.com/astral-sh/ruff,"An extremely fast Python linter and code formatter, written in Rust.",Rust,49305,2360,17 stars today,charliermarsh; MichaReiser; AlexWaygood; renovate; sharkdp
14,ruvnet/RuVector,https://github.com/ruvnet/RuVector,"RuVector is a High Performance, Real-Time, Self-Learning Ai, Vector GNN, Memory DB built in Rust.",Rust,4447,589,3 stars today,ruvnet; claude; github-actions; ohdearquant; kiki-kanri
15,jdx/mise,https://github.com/jdx/mise,"dev tools, env vars, task runner",Rust,32950,1392,69 stars today,jdx; claude; mise-en-dev; renovate; autofix-ci
16,sinelaw/fresh,https://github.com/sinelaw/fresh,"Terminal based IDE & text editor: easy, powerful and fast",Rust,8494,316,28 stars today,claude; sinelaw; PavelLoparev; asukaminato0721; dependabot
17,oven-sh/bun,https://github.com/oven-sh/bun,"Incredibly fast JavaScript runtime, bundler, test runner, and package manager – all in one",Rust,95658,4995,48 stars today,Jarred-Sumner; robobun; dylan-conway; autofix-ci; nektro
18,windmill-labs/windmill,https://github.com/windmill-labs/windmill,"Open-source developer platform to power your entire infra and turn scripts into webhooks, workflows and UIs. Fastest workflow engine (13x vs Airflow). Open-source alternative to Retool and Temporal.",Rust,17666,1080,27 stars today,rubenfiszel; claude; hugocasa; fatonramadani; centdix
19,rust-lang/book,https://github.com/rust-lang/book,The Rust Programming Language,Rust,18227,4116,3 stars today,carols10cents; steveklabnik; chriskrycho; yetanotherparrot; davidde
20,otter-sec/anchor,https://github.com/otter-sec/anchor,⚓ Solana Program Framework,Rust,5118,1965,3 stars today,armaniferrante; acheroncrypto; paul-schaaf; jamie-osec; fanatid
