Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,alphaXiv/OpenResearch,https://github.com/alphaXiv/OpenResearch,Run parallel research agents with any model,Rust,1330,94,120 stars today,sox8502; rehaanahmad2013; myles332; claude; sfabbro
2,HakanSeven12/OpenCADStudio,https://github.com/HakanSeven12/OpenCADStudio,"A CAD application built with Rust — 2D/3D drawing, DWG/DXF support, and GPU-accelerated rendering",Rust,1578,160,102 stars today,HakanSeven12; claude; ramox81; KarimJerbi; gianlucafiore
3,t8y2/dbx,https://github.com/t8y2/dbx,"20 MB lightweight cross-platform database client for 90+ databases, including MySQL, PostgreSQL, SQLite, Redis, MongoDB, DuckDB, SQL Server, and Dameng. Built-in AI, MCP Server, CLI, desktop and Docker. | 轻量级跨平台数据库管理工具，支持 MySQL、PostgreSQL、SQLite、Redis、MongoDB、达梦等 90+ 数据库，提供桌面端、Docker、CLI、内置 AI 助手和 MCP Server。",Rust,19181,1859,259 stars today,t8y2; zipg; github-actions; eryajf; q396921921
4,googleworkspace/cli,https://github.com/googleworkspace/cli,"Google Workspace CLI — one command-line tool for Drive, Gmail, Calendar, Sheets, Docs, Chat, Admin, and more. Dynamically built from Google Discovery Service. Includes AI agent skills.",Rust,30947,1828,66 stars today,googleworkspace-bot; jpoehnelt-bot; jpoehnelt; github-actions; malob
5,clockworklabs/SpacetimeDB,https://github.com/clockworklabs/SpacetimeDB,Development at the speed of light,Rust,25156,1064,13 stars today,bfops; joshua-spacetime; Centril; gefjon; cloutiertyler
6,AlexsJones/llmfit,https://github.com/AlexsJones/llmfit,Hundreds of models & providers. One command to find what runs on your hardware.,Rust,36102,2283,449 stars today,AlexsJones; claude; dependabot; three-foxes-in-a-trenchcoat; github-actions
7,RyanCodrai/turbovec,https://github.com/RyanCodrai/turbovec,"A vector index built on TurboQuant, written in Rust with Python bindings",Rust,16943,1454,91 stars today,RyanCodrai; claude; dependabot; github-actions; faysou
8,NVlabs/cuda-oxide,https://github.com/NVlabs/cuda-oxide,"cuda-oxide is a Rust-to-CUDA compiler that lets you write (SIMT) GPU kernels in safe(ish), idiomatic Rust. It compiles standard Rust code directly to PTX — no DSLs, no foreign language bindings, just Rust.",Rust,3276,262,24 stars today,nihalpasham; vyncint; uurl; niklebedenko; honeyspoon
9,ai-dynamo/dynamo,https://github.com/ai-dynamo/dynamo,A Datacenter Scale Distributed Inference Serving Framework,Rust,8036,1578,10 stars today,claude; PeaBrane; rmccorm4; grahamking; nv-anants
10,farion1231/cc-switch,https://github.com/farion1231/cc-switch,"A cross-platform desktop All-in-One assistant for Claude Code, Codex, OpenCode, OpenClaw, Grok Build & Hermes Agent. Only official website: ccswitch.io",Rust,132390,9130,210 stars today,farion1231; yovinchen; claude; SaladDay; YUZHEthefool
11,akitaonrails/ai-usagebar,https://github.com/akitaonrails/ai-usagebar,"Rust-based waybar widget to monitor status of Claude, GPT, GLM, OpenRouter plans/credits - inspired by claudebar/codexbar",Rust,475,96,16 stars today,claude; akitaonrails; ohmaseclaro; lucasliet; samirhvbr
12,Mesh-LLM/mesh-llm,https://github.com/Mesh-LLM/mesh-llm,Distributed AI/LLM for the people. Share compute privately or publicly to power your agents and chat.,Rust,3385,409,5 stars today,i386; michaelneale; ndizazzo; IvGolovach; Copilot
13,rustdesk/rustdesk,https://github.com/rustdesk/rustdesk,"An open-source remote desktop application designed for self-hosting, as an alternative to TeamViewer.",Rust,123210,18980,108 stars today,rustdesk; fufesou; 21pages; Kingtous; Heap-Hop
14,windmill-labs/windmill,https://github.com/windmill-labs/windmill,"Open-source developer platform to power your entire infra and turn scripts into webhooks, workflows and UIs. Fastest workflow engine (13x vs Airflow). Open-source alternative to Retool and Temporal.",Rust,17892,1094,24 stars today,rubenfiszel; claude; hugocasa; fatonramadani; centdix
15,FalkorDB/FalkorDB,https://github.com/FalkorDB/FalkorDB,A super fast Graph Database uses GraphBLAS under the hood for its sparse adjacency matrix graph representation. Our goal is to provide the best Knowledge Graph for LLM (GraphRAG).,Rust,6042,461,31 stars today,swilly22; AviAvni; jeffreylovitz; gkorland; dependabot
16,superradcompany/microsandbox,https://github.com/superradcompany/microsandbox,🧱 Easy fast local-first microVM runtime and library,Rust,8204,433,27 stars today,appcypher; toksdotdev; mintlify; dependabot; github-actions
17,coulsontl/ai-toolbox,https://github.com/coulsontl/ai-toolbox,Personal AI Toolbox,Rust,1526,101,33 stars today,coulsontl; github-actions; claude; shentien-92; loocor
18,max-sixty/worktrunk,https://github.com/max-sixty/worktrunk,"Worktrunk is a CLI for Git worktree management, designed for parallel AI agent workflows",Rust,6987,248,44 stars today,max-sixty; claude; worktrunk-bot; dependabot; github-actions
19,git-ai-project/git-ai,https://github.com/git-ai-project/git-ai,A Git extension for tracking the AI-generated code in your repos,Rust,2584,287,6 stars today,svarlamov; claude; acunniffe; jwiegley; devin-ai-integration
