Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,alphaXiv/OpenResearch,https://github.com/alphaXiv/OpenResearch,Turn your coding agents into research agents,Rust,3503,231,531 stars today,sox8502; rehaanahmad2013; myles332; claude; dajiaohuang
2,pacifio/atlas,https://github.com/pacifio/atlas,"Source control for agents. Use multiple coding agents, track their changes and query them in one place",Rust,4681,282,91 stars today,pacifio; Ukaykhingmarma28; uzayer; ahammadnafiz; claude
3,tonhowtf/omniget,https://github.com/tonhowtf/omniget,"Download Udemy and Hotmart courses, YouTube videos, music and books — 1,800+ sites, no terminal. Free open-source desktop app for Windows, macOS and Linux, with a built-in course player, PDF/EPUB reader and music library. Powered by yt-dlp. Your files stay on your computer.",Rust,13062,1109,258 stars today,tonhowtf; InstaZDLL; claude; cursoragent; D0n-A
4,dani-garcia/vaultwarden,https://github.com/dani-garcia/vaultwarden,"Unofficial Bitwarden compatible server written in Rust, formerly known as bitwarden_rs",Rust,67710,3220,206 stars today,dani-garcia; BlackDex; jjlin; mprasil; stefan0xC
5,rustfs/rustfs,https://github.com/rustfs/rustfs,"🚀2.3x faster than MinIO for 4KB object payloads. RustFS is an open-source, S3-compatible high-performance object storage system supporting migration and coexistence with other S3-compatible platforms such as MinIO and Ceph.",Rust,32342,1446,121 stars today,overtrue; houseme; heihutu; weisd; cxymds
6,rtk-ai/rtk,https://github.com/rtk-ai/rtk,"CLI proxy that reduces LLM token consumption by 60-90% on common dev commands. Single Rust binary, zero dependencies",Rust,80601,5109,190 stars today,aeppling; claude; KuSh; pszymkowiak; FlorianBruniaux
7,ruvnet/RuView,https://github.com/ruvnet/RuView,"π RuView turns commodity WiFi signals into real-time spatial intelligence, vital sign monitoring, and presence detection — all without a single pixel of video.",Rust,94179,12463,421 stars today,ruvnet; claude; proffesor-for-testing; dependabot; github-actions
8,oxc-project/oxc,https://github.com/oxc-project/oxc,⚓ A collection of high-performance JavaScript tools.,Rust,22791,1300,11 stars today,Boshen; overlookmotel; camc314; Dunqing; leaysgur
9,rustdesk/rustdesk,https://github.com/rustdesk/rustdesk,"An open-source remote desktop application designed for self-hosting, as an alternative to TeamViewer.",Rust,123718,19047,172 stars today,rustdesk; fufesou; 21pages; Kingtous; Heap-Hop
10,max-sixty/worktrunk,https://github.com/max-sixty/worktrunk,"Worktrunk is a CLI for Git worktree management, designed for parallel AI agent workflows",Rust,7835,272,128 stars today,max-sixty; claude; worktrunk-bot; dependabot; github-actions
11,RightNow-AI/openfang,https://github.com/RightNow-AI/openfang,Open-source Agent Operating System,Rust,18229,2291,7 stars today,jaberjaber23; claude; dependabot; lc-soft; Fail-Safe
12,firecracker-microvm/firecracker,https://github.com/firecracker-microvm/firecracker,Secure and fast microVMs for serverless computing.,Rust,36792,2625,19 stars today,roypat; dianpopa; ShadowCurse; pb8o; zulinx86
13,git-ai-project/git-ai,https://github.com/git-ai-project/git-ai,A Git extension for tracking the AI-generated code in your repos,Rust,2775,294,23 stars today,svarlamov; claude; acunniffe; jwiegley; devin-ai-integration
14,biomejs/biome,https://github.com/biomejs/biome,"A toolchain for web projects, aimed to provide functionalities to maintain them. Biome offers formatter and linter, usable via CLI and LSP.",Rust,25837,1232,11 stars today,ematipico; Conaclos; sebmck; renovate; dyc3
15,cjpais/Handy,https://github.com/cjpais/Handy,"A free, open source, and extensible speech-to-text application that works completely offline.",Rust,31715,2879,83 stars today,cjpais; claude; vladstudio; VirenMohindra; xilec
16,openai/codex,https://github.com/openai/codex,Lightweight coding agent that runs in your terminal,Rust,124486,19239,314 stars today,jif-oai; bolinfest; etraut-openai; aibrahim-oai; pakrym-oai
17,wealthfolio/wealthfolio,https://github.com/wealthfolio/wealthfolio,"A beautiful, private, local-first personal finance tracker. Investments, net worth, spending, and simulations.",Rust,8993,705,25 stars today,afadil; Jonjon-prog; claude; rwgs; kryofin
