Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,ankitects/anki,https://github.com/ankitects/anki,Anki is a smart spaced repetition flashcard program,Rust,30923,3214,58 stars today,dae; hgiesel; RumovZ; abdnh; Arthur-Milchior
2,alphaXiv/OpenResearch,https://github.com/alphaXiv/OpenResearch,Turn your coding agents into research agents,Rust,4505,277,"1,017 stars today",sox8502; myles332; claude; rehaanahmad2013; dajiaohuang
3,rustdesk/rustdesk,https://github.com/rustdesk/rustdesk,"An open-source remote desktop application designed for self-hosting, as an alternative to TeamViewer.",Rust,123923,19103,185 stars today,rustdesk; fufesou; 21pages; Kingtous; Heap-Hop
4,rustfs/rustfs,https://github.com/rustfs/rustfs,"🚀2.3x faster than MinIO for 4KB object payloads. RustFS is an open-source, S3-compatible high-performance object storage system supporting migration and coexistence with other S3-compatible platforms such as MinIO and Ceph.",Rust,32652,1456,156 stars today,overtrue; houseme; heihutu; weisd; cxymds
5,tonhowtf/omniget,https://github.com/tonhowtf/omniget,"Download Udemy and Hotmart courses, YouTube videos, music and books — 1,800+ sites, no terminal. Free open-source desktop app for Windows, macOS and Linux, with a built-in course player, PDF/EPUB reader and music library. Powered by yt-dlp. Your files stay on your computer.",Rust,13602,1148,869 stars today,tonhowtf; InstaZDLL; claude; cursoragent; D0n-A
6,ruvnet/RuView,https://github.com/ruvnet/RuView,"π RuView turns commodity WiFi signals into real-time spatial intelligence, vital sign monitoring, and presence detection — all without a single pixel of video.",Rust,94409,12477,196 stars today,ruvnet; claude; proffesor-for-testing; dependabot; github-actions
7,dbt-labs/dbt,https://github.com/dbt-labs/dbt,dbt enables data analysts and engineers to transform their data using the same practices that software engineers use to build applications.,Rust,13932,2566,11 stars today,drewbanin; claude; beckjake; jtcohen6; fa-assistant
8,sharkdp/fd,https://github.com/sharkdp/fd,"A simple, fast and user-friendly alternative to 'find'",Rust,44539,1137,21 stars today,sharkdp; tmccombs; dependabot; tavianator; reima
9,juspay/hyperswitch,https://github.com/juspay/hyperswitch,"Open source, composable payments platform | PCI compliant | SaaS and Self-host options | Enables connectivity to multiple payment, payout, fraud, vault and tokenization providers | Uplifts authorization with intelligent routing and revenue recovery | Reduce payment processing costs with cost observability | Reduces payment ops with reconciliation",Rust,43710,5134,7 stars today,hyperswitch-bot; github-actions; SanchithHegde; AkshayaFoiger; swangi-kumari
10,timhartmann7/omnyssh,https://github.com/timhartmann7/omnyssh,"A fast, keyboard-driven TUI for managing SSH connections, written in Rust",Rust,792,42,24 stars today,timhartmann7; claude; PowerAppsDarren; sshawn9; vsnote
11,block/buzz,https://github.com/block/buzz,A hive mind communication platform,Rust,33478,4375,498 stars today,wesbillman; wpfleger96; tlongwell-block; claude; klopez4212
12,uutils/coreutils,https://github.com/uutils/coreutils,Cross-platform Rust rewrite of the GNU coreutils,Rust,24206,2035,14 stars today,sylvestre; cakebaker; tertsdiepraam; renovate; oech3
13,dani-garcia/vaultwarden,https://github.com/dani-garcia/vaultwarden,"Unofficial Bitwarden compatible server written in Rust, formerly known as bitwarden_rs",Rust,67891,3224,121 stars today,dani-garcia; BlackDex; jjlin; mprasil; stefan0xC
14,dora-rs/dora,https://github.com/dora-rs/dora,"DORA (Dataflow-Oriented Robotic Architecture) is middleware designed to streamline and simplify the creation of AI-based robotic applications. It offers low latency, composable, and distributed dataflow capabilities. Applications are modeled as directed graphs, also referred to as pipelines.",Rust,4044,440,4 stars today,phil-opp; haixuanTao; claude; heyong4725; eduidl
15,raine/workmux,https://github.com/raine/workmux,git worktrees + tmux windows for zero-friction parallel dev,Rust,2746,325,21 stars today,raine; leodnlv; rstacruz; bps; evatths
