Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,virattt/dexter,https://github.com/virattt/dexter,An autonomous agent for deep financial research,TypeScript,20235,2425,581 stars today,virattt; MkDev11; cursoragent; gupta-8; sjhddh
2,twentyhq/twenty,https://github.com/twentyhq/twenty,"Building a modern alternative to Salesforce, powered by the community.",TypeScript,42455,5635,563 stars today,charlesBochet; github-actions; FelixMalfait; lucasbordeau; Weiko
3,apache/superset,https://github.com/apache/superset,Apache Superset is a Data Visualization and Data Exploration Platform,TypeScript,71487,16897,31 stars today,mistercrunch; dependabot; villebro; michael-s-molina; kristw
4,Yeachan-Heo/oh-my-claudecode,https://github.com/Yeachan-Heo/oh-my-claudecode,Teams-first Multi-agent orchestration for Claude Code,TypeScript,14771,974,858 stars today,Yeachan-Heo; claude; riftzen-bit; devseunggwan; shaun0927
5,shareAI-lab/learn-claude-code,https://github.com/shareAI-lab/learn-claude-code,"Bash is all you need - A nano claude code–like 「agent harness」, built from 0 to 1",TypeScript,41835,6470,912 stars today,CrazyBoyM; claude; bansalkanav; Octane0411; synix
6,benjitaylor/agentation,https://github.com/benjitaylor/agentation,The visual feedback tool for agents.,TypeScript,3187,246,31 stars today,benjitaylor; tofuness; claude; njesenberger; alexvanderzon
7,firecrawl/firecrawl,https://github.com/firecrawl/firecrawl,🔥 The Web Data API for AI - Turn entire websites into LLM-ready markdown or structured data,TypeScript,100034,6675,585 stars today,nickscamara; mogery; rafaelsideguide; abimaelmartell; amplitudesxd
8,open-metadata/OpenMetadata,https://github.com/open-metadata/OpenMetadata,"OpenMetadata is a unified metadata platform for data discovery, data observability, and data governance powered by a central metadata repository, in-depth column level lineage, and seamless team collaboration.",TypeScript,9034,1698,7 stars today,pmbrull; harshach; ShaileshParmar11; chirag-madlani; Sachin-chaurasiya
9,vercel-labs/json-render,https://github.com/vercel-labs/json-render,The Generative UI framework,TypeScript,13624,731,104 stars today,ctate; github-actions; claude; vercel; bmuenzenmeyer
10,cline/cline,https://github.com/cline/cline,"Autonomous coding agent right in your IDE, capable of creating/editing files, executing commands, using the browser, and more with your permission every step of the way.",TypeScript,59595,6061,86 stars today,saoudrizwan; celestial-vault; abeatrix; arafatkatze; sjf
11,thedotmack/claude-mem,https://github.com/thedotmack/claude-mem,"A Claude Code plugin that automatically captures everything Claude does during your coding sessions, compresses it with AI (using Claude's agent-sdk), and injects relevant context back into future sessions.",TypeScript,41998,3130,389 stars today,thedotmack; claude; Copilot; rodboev; github-actions
