Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,InsForge/InsForge,https://github.com/InsForge/InsForge,"InsForge is a Postgres-based backend with auth, storage, compute, hosting, and AI gateway. Built for coding agents.",TypeScript,8502,706,230 stars today,Fermionic-Lyu; tonychang04; Leo-rq-yu; jwfing; claude
2,virattt/dexter,https://github.com/virattt/dexter,An autonomous agent for deep financial research,TypeScript,24401,2969,666 stars today,virattt; MkDev11; cursoragent; gupta-8; sjhddh
3,ruvnet/ruflo,https://github.com/ruvnet/ruflo,"🌊 The leading agent orchestration platform for Claude. Deploy intelligent multi-agent swarms, coordinate autonomous workflows, and build conversational AI systems. Features enterprise-grade architecture, self-learning swarm intelligence, RAG integration, and native Claude Code / Codex Integration",TypeScript,45362,5023,"2,192 stars today",ruvnet; claude; alexx-ftw; lanemc; tommy-ca
4,mksglu/context-mode,https://github.com/mksglu/context-mode,"Context window optimization for AI coding agents. Sandboxes tool output, 98% reduction. 14 platforms",TypeScript,13629,933,711 stars today,mksglu; claude; github-actions; ipedro; rjkaes
5,directus/directus,https://github.com/directus/directus,"The flexible backend for all your projects 🐰 Turn your DB into a headless CMS, admin panels, or apps with a custom UI, instant APIs, auth & more.",TypeScript,35203,4742,258 stars today,rijkvanzanten; paescuj; Nitwel; licitdev; dependabot
6,vercel-labs/open-agents,https://github.com/vercel-labs/open-agents,An open source template for building cloud agents.,TypeScript,4842,615,406 stars today,nicoalbanese; willsather; yavorpunchev; claude; pranaygp
7,nestjs/nest,https://github.com/nestjs/nest,"A progressive Node.js framework for building efficient, scalable, and enterprise-grade server-side applications with TypeScript/JavaScript 🚀",TypeScript,75406,8300,9 stars today,kamilmysliwiec; dependabot; renovate-bot; renovate; micalevisk
8,payloadcms/payload,https://github.com/payloadcms/payload,"Payload is the open-source, fullstack Next.js framework, giving you instant backend superpowers. Get a full TypeScript backend and admin panel instantly. Use Payload as a headless CMS or for building powerful applications.",TypeScript,42234,3672,22 stars today,jmikrut; denolfe; AlessioGr; jacobsfletch; JarrodMFlesch
9,laurent22/joplin,https://github.com/laurent22/joplin,"Joplin - the privacy-focused note taking app with sync capabilities for Windows, macOS, Linux, Android and iOS.",TypeScript,54676,6083,65 stars today,laurent22; renovate; personalizedrefrigerator; joplinbot; tessus
10,modelcontextprotocol/servers,https://github.com/modelcontextprotocol/servers,Model Context Protocol Servers,TypeScript,85162,10611,74 stars today,olaservo; tadasant; dsp-ant; jspahrsummers; cliffhall
11,Eugeny/tabby,https://github.com/Eugeny/tabby,A terminal for a more modern age,TypeScript,71040,4007,63 stars today,Eugeny; dependabot-preview; allcontributors; dependabot; Clem-Fern
12,koala73/worldmonitor,https://github.com/koala73/worldmonitor,"Real-time global intelligence dashboard. AI-powered news aggregation, geopolitical monitoring, and infrastructure tracking in a unified situational awareness interface",TypeScript,53660,8615,111 stars today,koala73; claude; SebastienMelki; NewCoder3294; lspassos1
13,actions/checkout,https://github.com/actions/checkout,Action for checking out a repo,TypeScript,7856,2473,7 stars today,ericsciple; dependabot; cory-miller; jww3; thboop
14,microsoft/TypeScript,https://github.com/microsoft/TypeScript,TypeScript is a superset of JavaScript that compiles to clean JavaScript output.,TypeScript,108765,13387,15 stars today,ahejlsberg; sheetalkamat; DanielRosenwasser; sandersn; mhegazy
