Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,rohitg00/agentmemory,https://github.com/rohitg00/agentmemory,#1 Persistent memory for AI coding agents based on real-world benchmarks,TypeScript,9093,755,"1,879 stars today",rohitg00; Tanmay-008; JasonLandbridge; Getty; mvanhorn
2,garrytan/gstack,https://github.com/garrytan/gstack,"Use Garry Tan's exact Claude Code setup: 23 opinionated tools that serve as CEO, Designer, Eng Manager, Release Manager, Doc Engineer, and QA",TypeScript,96913,14414,915 stars today,claude; garrytan; garagon; mvanhorn; HMAKT99
3,danielmiessler/Personal_AI_Infrastructure,https://github.com/danielmiessler/Personal_AI_Infrastructure,Agentic AI Infrastructure for magnifying HUMAN capabilities.,TypeScript,13679,1896,462 stars today,danielmiessler; claude; christauff; kaimagnus; ksylvan
4,yikart/AiToEarn,https://github.com/yikart/AiToEarn,Let's use AI to Earn!,TypeScript,13831,2346,981 stars today,niuwenzheng; gaozhenqiang; Yuuki-Sakura; gao1234-prog; whh2333
5,thesysdev/openui,https://github.com/thesysdev/openui,The Open Standard for Generative UI,TypeScript,5576,385,257 stars today,i-subham23; ankit-thesys; abhithesys; rabisg; Aditya-thesys
6,millionco/react-doctor,https://github.com/millionco/react-doctor,Your agent writes bad React. This catches it,TypeScript,9613,301,426 stars today,aidenybai; cursoragent; amiagent; NisargIO; github-actions
7,OpenCTI-Platform/opencti,https://github.com/OpenCTI-Platform/opencti,Open Cyber Threat Intelligence Platform,TypeScript,9349,1341,60 stars today,renovate; SamuelHassine; richard-julien; Archidoit; Filigran-Automation
8,cline/cline,https://github.com/cline/cline,"Autonomous coding agent as an SDK, IDE extension, or CLI assistant.",TypeScript,61796,6427,63 stars today,saoudrizwan; abeatrix; celestial-vault; arafatkatze; sjf
9,CodebuffAI/codebuff,https://github.com/CodebuffAI/codebuff,Generate code from the terminal!,TypeScript,5227,603,129 stars today,jahooma; brandonkachen; charleslien; github-actions; venkr
10,pnpm/pnpm,https://github.com/pnpm/pnpm,"Fast, disk space efficient package manager",TypeScript,35036,1439,41 stars today,zkochan; rstacruz; KSXGitHub; renovate-bot; anonrig
11,sirmalloc/ccstatusline,https://github.com/sirmalloc/ccstatusline,"🚀 Beautiful highly customizable statusline for Claude Code CLI with powerline support, themes, and more.",TypeScript,9265,409,76 stars today,sirmalloc; claude; dependabot; jackall3n; Jaahuo
