Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,twentyhq/twenty,https://github.com/twentyhq/twenty,"The open alternative to Salesforce, designed for AI.",TypeScript,47931,6799,493 stars today,charlesBochet; github-actions; FelixMalfait; Weiko; lucasbordeau
2,Lum1104/Understand-Anything,https://github.com/Lum1104/Understand-Anything,"Graphs that teach > graphs that impress. Turn any code into an interactive knowledge graph you can explore, search, and ask questions about. Works with Claude Code, Codex, Cursor, Copilot, Gemini CLI, and more.",TypeScript,43114,3444,"3,776 stars today",Lum1104; claude; berkcangumusisik; zhushen12580; fishinakleinbottle
3,EveryInc/compound-engineering-plugin,https://github.com/EveryInc/compound-engineering-plugin,"Official Compound Engineering plugin for Claude Code, Codex, Cursor, and more",TypeScript,17823,1363,184 stars today,tmchow; claude; kieranklaassen; github-actions; semantic-release-bot
4,rowboatlabs/rowboat,https://github.com/rowboatlabs/rowboat,"Open-source AI coworker, with memory",TypeScript,14697,1498,81 stars today,ramnique; arkml; akhisud3195; tusharmagar; claude
5,Open-Dev-Society/OpenStock,https://github.com/Open-Dev-Society/OpenStock,"OpenStock is an open-source alternative to expensive market platforms. Track real-time prices, set personalized alerts, and explore detailed company insights — built openly, for everyone, forever free.",TypeScript,12753,1687,247 stars today,ravixalgorithm; coderabbitai; keshav-005; koevoet1221; chinnsenn
6,earendil-works/pi,https://github.com/earendil-works/pi,"AI agent toolkit: coding agent CLI, unified LLM API, TUI & web UI libraries, Slack bot, vLLM pods",TypeScript,57058,6805,627 stars today,badlogic; mitsuhiko; github-actions; hjanuschka; aliou
7,iOfficeAI/AionUi,https://github.com/iOfficeAI/AionUi,"Free, local, open-source 24/7 Cowork app for OpenClaw, Hermes Agent, Claude Code, Codex, OpenCode, Gemini CLI and 20+ more CLI | Customize your assistants | Star if you like it!",TypeScript,27074,2575,176 stars today,IceyLiu; kuishou68; kaizhou-lab; piorpua; zhuqingyv
8,NangoHQ/nango,https://github.com/NangoHQ/nango,Build product integrations with AI.,TypeScript,9389,945,269 stars today,khaliqgant; bodinsamuel; hassan254-prog; TBonnin; bastienbeurier
9,thedotmack/claude-mem,https://github.com/thedotmack/claude-mem,"Persistent Context Across Sessions for Every Agent – Captures everything your agent does during sessions, compresses it with AI, and injects relevant context back into future sessions. Works with Claude Code, OpenClaw, Codex, Gemini, Hermes, Copilot, OpenCode + More",TypeScript,79440,6828,298 stars today,thedotmack; claude; Copilot; ousamabenyounes; rodboev
10,Sync-in/server,https://github.com/Sync-in/server,"Sync-in Server · Secure, open-source platform for file storage, sharing, collaboration, and syncing.",TypeScript,1366,86,45 stars today,johaven; 7185; zjean; Stephan-P; q16marvin
11,firecrawl/firecrawl,https://github.com/firecrawl/firecrawl,"The API to search, scrape, and interact with the web at scale. 🔥",TypeScript,125821,7555,504 stars today,nickscamara; mogery; rafaelsideguide; abimaelmartell; firecrawl-spring
12,mastra-ai/mastra,https://github.com/mastra-ai/mastra,"From the team behind Gatsby, Mastra is a framework for building AI-powered applications and agents with a modern TypeScript stack.",TypeScript,24501,2149,65 stars today,abhiaiyer91; dane-ai-mastra; adeleke5140; TheIsrael1; wardpeet
13,CodeWithCJ/SparkyFitness,https://github.com/CodeWithCJ/SparkyFitness,"SparkyFitness: Built for Families. Powered by AI. Track food, fitness, water, and health — together.",TypeScript,4018,189,45 stars today,CodeWithCJ; apedley; BryceKrispiess; Sim-sat; claude
14,pingdotgg/t3code,https://github.com/pingdotgg/t3code,Pas de description,TypeScript,12142,2377,86 stars today,juliusmarminge; codex; t3dotgg; cursoragent; cursor
