Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,reconurge/flowsint,https://github.com/reconurge/flowsint,"A modern platform for visual, flexible, and extensible graph-based investigations. For cybersecurity analysts and investigators.",TypeScript,4599,589,124 stars today,dextmorgn; gustavorps; z3rodaycve; nicocti; salmanmkc
2,supermemoryai/supermemory,https://github.com/supermemoryai/supermemory,"Memory engine and app that is extremely fast, scalable. The Memory API for the AI era.",TypeScript,24746,2181,680 stars today,Dhravya; MaheshtheDev; yxshv; CodeTorso; Kinfe123
3,nanocoai/nanoclaw,https://github.com/nanocoai/nanoclaw,"A lightweight alternative to OpenClaw that runs in containers for security. Connects to WhatsApp, Telegram, Slack, Discord, Gmail and other messaging apps,, has memory, scheduled jobs, and runs directly on Anthropic's Agents SDK",TypeScript,29656,12911,44 stars today,gavrielc; claude; github-actions; Koshkoshinsk; glifocat
4,adobe/react-spectrum,https://github.com/adobe/react-spectrum,"A collection of libraries and tools that help you build adaptive, accessible, and robust user experiences.",TypeScript,15299,1442,67 stars today,devongovett; snowystinger; LFDanLu; reidbarber; dannify
5,mksglu/context-mode,https://github.com/mksglu/context-mode,"Context window optimization for AI coding agents. Sandboxes tool output, 98% reduction. 15 platforms",TypeScript,16299,1174,95 stars today,mksglu; claude; github-actions; ipedro; ousamabenyounes
6,EveryInc/compound-engineering-plugin,https://github.com/EveryInc/compound-engineering-plugin,"Official Compound Engineering plugin for Claude Code, Codex, Cursor, and more",TypeScript,19434,1444,352 stars today,tmchow; claude; kieranklaassen; github-actions; semantic-release-bot
7,nicobailon/pi-subagents,https://github.com/nicobailon/pi-subagents,"Pi extension for async subagent delegation with truncation, artifacts, and session sharing",TypeScript,2039,268,52 stars today,nicobailon; marcfargas; claude; SeanThomasWilliams; tmustier
8,JCodesMore/ai-website-cloner-template,https://github.com/JCodesMore/ai-website-cloner-template,Clone any website with one command using AI coding agents,TypeScript,16095,2457,118 stars today,JCodesMore; claude; oz-agent; rishikeshmanohar; SABUJ123472
9,koala73/worldmonitor,https://github.com/koala73/worldmonitor,"Real-time global intelligence dashboard. AI-powered news aggregation, geopolitical monitoring, and infrastructure tracking in a unified situational awareness interface",TypeScript,55518,8912,175 stars today,koala73; claude; SebastienMelki; NewCoder3294; lspassos1
10,janhq/jan,https://github.com/janhq/jan,Jan is an open source alternative to ChatGPT that runs 100% offline on your computer.,TypeScript,42823,2902,33 stars today,urmauur; hohieuai; Vanalite; jan-service-account; Minh141120
11,mengxi-ream/read-frog,https://github.com/mengxi-ream/read-frog,🐸 Read Frog - Open Source Immersive Translate | 🐸 陪读蛙 - 开源沉浸式翻译,TypeScript,7395,484,143 stars today,mengxi-ream; ananaBMaster; github-actions; claude; taiiiyang
