Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,mattermost/mattermost,https://github.com/mattermost/mattermost,Mattermost is an open source platform for secure collaboration across the entire software development lifecycle..,TypeScript,37657,8714,388 stars today,jwilander; hmhealey; coreyhulen; crspeller; mattermost-build
2,iptv-org/iptv,https://github.com/iptv-org/iptv,Collection of publicly available IPTV channels from all over the world,TypeScript,118082,6306,179 stars today,freearhey; iptv-bot; BellezaEmporium; Dum4G; UltraHDR
3,refactoringhq/tolaria,https://github.com/refactoringhq/tolaria,Desktop app to manage markdown knowledge bases,TypeScript,15845,1081,369 stars today,LucaRonin; github-actions; claude; evolanakis; riipandi
4,activeloopai/hivemind,https://github.com/activeloopai/hivemind,One brain for all your agents,TypeScript,1092,65,34 stars today,efenocchi; github-actions; khustup2; vlad-activeloop; claude
5,pascalorg/editor,https://github.com/pascalorg/editor,Create and share 3D architectural projects.,TypeScript,16717,2237,50 stars today,wass08; Aymericr; claude; sudhir9297; open-pascal
6,anomalyco/opencode,https://github.com/anomalyco/opencode,The open source coding agent.,TypeScript,173767,20939,525 stars today,thdxr; adamdotdevin; rekram1-node; opencode-agent; actions-user
7,elie222/inbox-zero,https://github.com/elie222/inbox-zero,The world's best AI personal assistant for email. Open source app to help you reach inbox zero fast.,TypeScript,11218,1381,27 stars today,elie222; claude; jshwrnr; edulelis; cursoragent
8,MemTensor/MemOS,https://github.com/MemTensor/MemOS,"Self-evolving memory OS for LLM & AI Agents: ultra-persistent memory, hybrid-retrieval, and cross-task skill reuse, with 35.24% token savings",TypeScript,9844,900,41 stars today,CaralHsi; fridayL; tangg555; hijzy; Wang-Daoji
9,SigNoz/signoz,https://github.com/SigNoz/signoz,"SigNoz is an open-source observability platform native to OpenTelemetry with logs, traces and metrics in a single application. An open-source alternative to DataDog, NewRelic, etc. 🔥 🖥. 👉 Open source Application Performance Monitoring (APM) & Observability tool",TypeScript,27316,2217,17 stars today,srikanthccv; palashgdev; ankitnayan; vikrantgupta25; prashant-shahi
10,Kong/insomnia,https://github.com/Kong/insomnia,"The open-source, cross-platform API client for GraphQL, REST, WebSockets, SSE and gRPC. With Cloud, Local and Git storage.",TypeScript,38490,2279,7 stars today,gschier; jackkav; develohpanda; gatzjames; filfreire
11,novuhq/novu,https://github.com/novuhq/novu,The open-source communication infrastructure for agents and products,TypeScript,39110,4320,4 stars today,scopsy; djabarovgeorge; davidsoderberg; ainouzgali; LetItRock
12,colinhacks/zod,https://github.com/colinhacks/zod,TypeScript-first schema validation with static type inference,TypeScript,42953,2016,14 stars today,colinhacks; JacobWeisenburger; scotttrinh; igalklebanov; tmcw
13,elastic/kibana,https://github.com/elastic/kibana,Your window into all of your data,TypeScript,21137,8596,1 star today,kibanamachine; elasticmachine; mistic; w33ble; jbudz
14,dream-num/univer,https://github.com/dream-num/univer,Univer is a full-stack framework for creating and editing spreadsheets / word processor / presentation on both web and server.,TypeScript,13212,1184,10 stars today,jikkai; wzhudev; Dushusir; wpxp123456; DR-Univer
15,mksglu/context-mode,https://github.com/mksglu/context-mode,"Context window optimization for AI coding agents. Sandboxes tool output, 98% reduction. 15 platforms",TypeScript,17295,1231,138 stars today,mksglu; claude; github-actions; ipedro; ousamabenyounes
16,supermemoryai/supermemory,https://github.com/supermemoryai/supermemory,"Memory and context engine + app that is extremely fast, scalable, and can be run fully locally. The Memory API for the AI era.",TypeScript,26905,2339,124 stars today,Dhravya; MaheshtheDev; yxshv; CodeTorso; Kinfe123
17,adobe/react-spectrum,https://github.com/adobe/react-spectrum,"A collection of libraries and tools that help you build adaptive, accessible, and robust user experiences.",TypeScript,15496,1464,21 stars today,devongovett; snowystinger; LFDanLu; reidbarber; dannify
18,react-hook-form/react-hook-form,https://github.com/react-hook-form/react-hook-form,📋 React Hooks for form state management and validation (Web + React Native),TypeScript,44761,2419,2 stars today,bluebill1049; kotarella1110; keiya01; AyumiKai; JeromeDeLeon
19,Effect-TS/effect-smol,https://github.com/Effect-TS/effect-smol,Core libraries and experimental work for Effect v4,TypeScript,702,159,1 star today,tim-smart; gcanti; IMax153; github-actions; mikearnaldi
