Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,iptv-org/iptv,https://github.com/iptv-org/iptv,Collection of publicly available IPTV channels from all over the world,TypeScript,121392,6505,"1,528 stars today",freearhey; iptv-bot; BellezaEmporium; Dum4G; UltraHDR
2,freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer science for free.",TypeScript,447342,44960,146 stars today,ojeytonwilliams; raisedadead; camperbot; renovate; renovate-bot
3,meshery/meshery,https://github.com/meshery/meshery,"Meshery, the cloud native manager",TypeScript,10446,3424,20 stars today,leecalcote; MUzairS15; aabidsofi19; amitamrutiya; theBeginner86
4,cypress-io/cypress,https://github.com/cypress-io/cypress,"Fast, easy and reliable testing for anything that runs in a browser.",TypeScript,49998,3417,39 stars today,brian-mann; chrisbreiding; jennifer-shehane; renovate-bot; flotwig
5,puppeteer/puppeteer,https://github.com/puppeteer/puppeteer,JavaScript API for Chrome and Firefox,TypeScript,94676,9439,29 stars today,OrKoN; release-please; aslushnikov; dependabot; Lightning00Blade
6,ghostfolio/ghostfolio,https://github.com/ghostfolio/ghostfolio,Open Source Wealth Management Software. Angular + NestJS + Prisma + Nx + TypeScript 🤍,TypeScript,8711,1190,17 stars today,dtslvr; github-actions; KenTandrian; vzickner; csehatt741
7,hydralauncher/hydra,https://github.com/hydralauncher/hydra,Hydra Launcher is an open-source gaming platform created to be the single tool that you need,TypeScript,15943,3905,36 stars today,zamitto; Moyasee; Hachi-R; chubbygrannychaser; Lianela
8,babel/babel,https://github.com/babel/babel,🐠 Babel is a compiler for writing next generation JavaScript.,TypeScript,43986,5827,10 stars today,sebmck; nicolo-ribaudo; hzoo; JLHwung; benjamn
9,sindresorhus/type-fest,https://github.com/sindresorhus/type-fest,A collection of essential TypeScript types,TypeScript,17209,709,3 stars today,sindresorhus; som-sm; Emiyaaaaa; skarab42; voxpelli
10,mattermost/mattermost,https://github.com/mattermost/mattermost,Mattermost is an open source platform for secure collaboration across the entire software development lifecycle..,TypeScript,37834,8733,44 stars today,jwilander; hmhealey; coreyhulen; crspeller; mattermost-build
11,fosrl/pangolin,https://github.com/fosrl/pangolin,Identity-aware VPN and tunneled reverse proxy for remote access based on WireGuard®.,TypeScript,21227,703,30 stars today,oschwartz10612; miloschwartz; Fredkiss3; dependabot; Lokowitz
12,nrwl/nx,https://github.com/nrwl/nx,"The Monorepo Platform that amplifies both developers and AI agents. Nx optimizes your builds, scales your CI, and fixes failed PRs automatically. Ship in half the time.",TypeScript,28918,2740,15 stars today,FrozenPandaz; vsavkin; jaysoo; leosvelperez; Coly010
13,lfnovo/open-notebook,https://github.com/lfnovo/open-notebook,An Open Source implementation of Notebook LM with more flexibility and features,TypeScript,30600,3471,431 stars today,lfnovo; dependabot; claude; xeader; troykelly
14,prisma/prisma,https://github.com/prisma/prisma,"Next-generation ORM for Node.js & TypeScript | PostgreSQL, MySQL, MariaDB, SQL Server, SQLite, MongoDB and CockroachDB",TypeScript,46277,2241,19 stars today,timsuchanek; prisma-bot; Jolg42; renovate; nikolasburk
15,jestjs/jest,https://github.com/jestjs/jest,Delightful JavaScript Testing.,TypeScript,45445,6661,13 stars today,SimenB; cpojer; docusaurus-bot; mrazauskas; jest-bot
16,zhukunpenglinyutong/desktop-cc-gui,https://github.com/zhukunpenglinyutong/desktop-cc-gui,CC GUI 客户端（专为开发者打造的VibeCoding平台）,TypeScript,3112,262,72 stars today,chenxiangning; zhukunpenglinyutong; github-actions; watsonctl; claude
