Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,meshery/meshery,https://github.com/meshery/meshery,"Meshery, the cloud native manager",TypeScript,11051,3458,196 stars today,leecalcote; MUzairS15; aabidsofi19; amitamrutiya; theBeginner86
2,RocketChat/Rocket.Chat,https://github.com/RocketChat/Rocket.Chat,The Secure CommsOS™ for mission-critical operations,TypeScript,45614,13657,22 stars today,engelgabriel; sampaiodiego; ggazzo; rodrigok; MartinSchoeler
3,continuedev/continue,https://github.com/continuedev/continue,open-source coding agent,TypeScript,33951,4703,49 stars today,sestinj; RomneyDa; Patrick-Erichsen; tomasz-stefaniak; uinstinct
4,freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer science for free.",TypeScript,449189,45092,757 stars today,ojeytonwilliams; raisedadead; camperbot; renovate; renovate-bot
5,bytedance/UI-TARS-desktop,https://github.com/bytedance/UI-TARS-desktop,The Open-Source Multimodal AI Agent Stack: Connecting Cutting-Edge AI Models and Agent Infra,TypeScript,36731,3702,150 stars today,ulivz; ycjcl868; ZhaoHeh; cjraft; skychx
6,makeplane/plane,https://github.com/makeplane/plane,"🔥🔥🔥 Open-source Jira, Linear, Monday, and ClickUp alternative. Plane is a modern project management platform to manage tasks, sprints, docs, and triage.",TypeScript,51380,4569,89 stars today,anmolsinghbhatia; aaryan610; pablohashescobar; sriramveeraghanta; NarayanBavisetti
7,fluxerapp/fluxer,https://github.com/fluxerapp/fluxer,"A free and open source instant messaging and VoIP chat app built for friends, groups, and communities.",TypeScript,9146,543,30 stars today,hampus-fluxer; Jiralite; M0n7y5; fenbyte; dynamicbark
8,earendil-works/pi,https://github.com/earendil-works/pi,"AI agent toolkit: unified LLM API, agent loop, TUI, coding agent CLI",TypeScript,63645,7735,349 stars today,badlogic; mitsuhiko; github-actions; hjanuschka; aliou
9,nocobase/nocobase,https://github.com/nocobase/nocobase,"NocoBase is an open-source AI + no-code platform for building business systems fast. Instead of generating everything from scratch, AI works on top of production-proven infrastructure and a WYSIWYG no-code interface, so you get both speed and reliability.",TypeScript,22994,2685,36 stars today,nocobase; chenos; mytharcher; zhangzhonghe; katherinehhh
10,langfuse/langfuse,https://github.com/langfuse/langfuse,"🪢 Open source AI engineering platform: LLM evals, observability, metrics, prompt management, playground, datasets. Integrates with OpenTelemetry, LangChain, OpenAI SDK, LiteLLM, and more. 🍊YC W23",TypeScript,29295,3041,71 stars today,marcklingen; maxdeichmann; Steffen911; marliessophie; nimarb
11,likec4/likec4,https://github.com/likec4/likec4,"Visualize, collaborate, and evolve the software architecture with always actual and live diagrams from your code",TypeScript,3636,243,67 stars today,davydkov; renovate; sraphaz; cursoragent; pavelpykhtin
12,web-infra-dev/midscene,https://github.com/web-infra-dev/midscene,"AI-powered, vision-driven UI automation for every platform.",TypeScript,13767,1050,22 stars today,quanru; yuyutaotao; zhoushaw; github-actions; claude
13,rmyndharis/OpenWA,https://github.com/rmyndharis/OpenWA,"Free, Open Source, Self-Hosted WhatsApp API Gateway",TypeScript,9343,2037,351 stars today,rmyndharis; dependabot; aqilaziz; amstrong-bil; MrViSiOn
14,jitsi/jitsi-meet,https://github.com/jitsi/jitsi-meet,"Jitsi Meet - Secure, Simple and Scalable Video Conferences that you use as a standalone app or embed in your web application.",TypeScript,29446,7929,23 stars today,saghul; damencho; hristoterezov; paweldomas; lyubomir
