Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer science for free.",TypeScript,449603,45133,417 stars today,ojeytonwilliams; raisedadead; camperbot; renovate; renovate-bot
2,withastro/flue,https://github.com/withastro/flue,The sandbox agent framework.,TypeScript,5549,305,162 stars today,FredKSchott; claude; stainlu; cpojer; ketankhairnar
3,Kilo-Org/kilocode,https://github.com/Kilo-Org/kilocode,"Kilo is the all-in-one agentic engineering platform. Build, ship, and iterate faster with the most popular open source coding agent.",TypeScript,22259,2709,"1,345 stars today",thdxr; adamdotdevin; markijbema; rekram1-node; marius-kilocode
4,makeplane/plane,https://github.com/makeplane/plane,"🔥🔥🔥 Open-source Jira, Linear, Monday, and ClickUp alternative. Plane is a modern project management platform to manage tasks, sprints, docs, and triage.",TypeScript,51885,4604,613 stars today,anmolsinghbhatia; aaryan610; pablohashescobar; sriramveeraghanta; NarayanBavisetti
5,Kong/insomnia,https://github.com/Kong/insomnia,"The open-source, cross-platform API client for GraphQL, REST, WebSockets, SSE and gRPC. With Cloud, Local and Git storage.",TypeScript,38721,2293,18 stars today,gschier; jackkav; develohpanda; gatzjames; filfreire
6,BuilderIO/agent-native,https://github.com/BuilderIO/agent-native,A framework for building agent-native applications.,TypeScript,776,100,172 stars today,steve8708; github-actions; builder-io-integration; builderio-bot; zuchka
7,continuedev/continue,https://github.com/continuedev/continue,open-source coding agent,TypeScript,34102,4729,254 stars today,sestinj; RomneyDa; Patrick-Erichsen; tomasz-stefaniak; uinstinct
8,modelcontextprotocol/servers,https://github.com/modelcontextprotocol/servers,Model Context Protocol Servers,TypeScript,87428,11029,53 stars today,olaservo; tadasant; dsp-ant; jspahrsummers; cliffhall
9,likec4/likec4,https://github.com/likec4/likec4,"Visualize, collaborate, and evolve the software architecture with always actual and live diagrams from your code",TypeScript,3662,244,38 stars today,davydkov; renovate; sraphaz; cursoragent; pavelpykhtin
10,meshery/meshery,https://github.com/meshery/meshery,"Meshery, the cloud native manager",TypeScript,11123,3468,167 stars today,leecalcote; MUzairS15; aabidsofi19; amitamrutiya; theBeginner86
11,bytedance/UI-TARS-desktop,https://github.com/bytedance/UI-TARS-desktop,The Open-Source Multimodal AI Agent Stack: Connecting Cutting-Edge AI Models and Agent Infra,TypeScript,36880,3711,193 stars today,ulivz; ycjcl868; ZhaoHeh; cjraft; skychx
12,Egonex-AI/Understand-Anything,https://github.com/Egonex-AI/Understand-Anything,"Graphs that teach > graphs that impress. Turn any code into an interactive knowledge graph you can explore, search, and ask questions about. Works with Claude Code, Codex, Cursor, Copilot, Gemini CLI, and more.",TypeScript,63613,5264,807 stars today,Lum1104; claude; thejesh23; ZebangCheng; berkcangumusisik
13,supabase/supabase,https://github.com/supabase/supabase,"The Postgres development platform. Supabase gives you a dedicated Postgres database to build your web, mobile, and AI applications.",TypeScript,104504,12774,82 stars today,joshenlim; kiwicopple; MildTomato; saltcod; alaister
14,Adam-CAD/CADAM,https://github.com/Adam-CAD/CADAM,CADAM is the open source text-to-CAD web application,TypeScript,4474,561,364 stars today,zachdive; claude; dylan-at-adam; tsadpbb; ForzaAaRon
15,cypress-io/cypress,https://github.com/cypress-io/cypress,"Fast, easy and reliable testing for anything that runs in a browser.",TypeScript,50330,3427,7 stars today,brian-mann; chrisbreiding; jennifer-shehane; renovate-bot; flotwig
16,labring/FastGPT,https://github.com/labring/FastGPT,"FastGPT is a knowledge-based platform built on the LLMs, offers a comprehensive suite of out-of-the-box capabilities such as data processing, RAG retrieval, and visual AI workflow orchestration, letting you easily develop and deploy complex question-answering systems without the need for extensive setup or configuration.",TypeScript,28542,7165,42 stars today,c121914yu; FinleyGe; xqvvu; dependabot; yangchuansheng
17,strapi/strapi,https://github.com/strapi/strapi,"🚀 Strapi is the leading open-source headless CMS. It’s 100% JavaScript/TypeScript, fully customizable, and developer-first.",TypeScript,72406,9744,15 stars today,soupette; alexandrebodin; lauriejim; innerdvations; Convly
18,koala73/worldmonitor,https://github.com/koala73/worldmonitor,"Real-time global intelligence dashboard. AI-powered news aggregation, geopolitical monitoring, and infrastructure tracking in a unified situational awareness interface",TypeScript,56785,9099,133 stars today,koala73; claude; SebastienMelki; NewCoder3294; lspassos1
19,facebook/docusaurus,https://github.com/facebook/docusaurus,Easy to maintain open source documentation websites.,TypeScript,65282,9935,20 stars today,slorber; Josh-Cena; lex111; docusaurus-bot; endiliey
20,garrytan/gbrain,https://github.com/garrytan/gbrain,Garry's Opinionated OpenClaw/Hermes Agent Brain,TypeScript,23393,3352,167 stars today,garrytan; claude; garrytan-agents; web-flow; garagon
