Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,OpenCut-app/OpenCut,https://github.com/OpenCut-app/OpenCut,The open-source CapCut alternative,TypeScript,66719,7012,"1,229 stars today",mazeincoding; izadoesdev; anwarulislam; khanguyen74; DevloperAmanSingh
2,moeru-ai/airi,https://github.com/moeru-ai/airi,"💖🧸 Self hosted, you-owned Grok Companion, a container of souls of waifu, cyber livings to bring them into our worlds, wishing to achieve Neuro-sama's altitude. Capable of realtime voice chat, Minecraft, Factorio playing. Web / macOS / Windows supported.",TypeScript,41939,4200,78 stars today,nekomeowww; luoling8192; github-actions; shinohara-rin; sumimakito
3,YishenTu/claudian,https://github.com/YishenTu/claudian,An Obsidian plugin that embeds Claude Code/Codex as an AI collaborator in your vault,TypeScript,13998,883,86 stars today,YishenTu; claude; summerKK; github-actions; AlexSuprun
4,ColeMurray/background-agents,https://github.com/ColeMurray/background-agents,An open-source background agents coding system,TypeScript,2424,349,209 stars today,ColeMurray; dependabot; open-inspect; claude; duboff
5,gitroomhq/postiz-app,https://github.com/gitroomhq/postiz-app,📨 The ultimate agentic social media scheduling tool 🤖,TypeScript,33237,6199,123 stars today,nevo-david; egelhaus; jamesread; claude; jonathan-irvin
6,rmyndharis/OpenWA,https://github.com/rmyndharis/OpenWA,"Free, Open Source, Self-Hosted WhatsApp API Gateway",TypeScript,11233,2530,85 stars today,rmyndharis; dependabot; tobiasstrebitzer; dallascyclist; albanobattistella
7,vercel/vercel,https://github.com/vercel/vercel,Develop. Preview. Ship.,TypeScript,15901,3688,7 stars today,TooTallNate; leo; styfle; AndyBitz; vercel-release-bot
8,heygen-com/hyperframes,https://github.com/heygen-com/hyperframes,Write HTML. Render video. Built for agents.,TypeScript,34807,3264,287 stars today,miguel-heygen; jrusso1020; claude; vanceingalls; ukimsanov
9,github/docs,https://github.com/github/docs,The open-source repo for docs.github.com,TypeScript,20468,67829,11 stars today,Octomerger; docs-bot; mchammer01; heiskr; sarahs
10,simstudioai/sim,https://github.com/simstudioai/sim,"Build, deploy, and orchestrate AI agents. Sim is the central intelligence layer for your AI workforce.",TypeScript,29097,3708,23 stars today,waleedlatif1; icecrasher321; emir-karabeg; Sg312; TheodoreSpeaks
11,dreamhunter2333/cloudflare_temp_email,https://github.com/dreamhunter2333/cloudflare_temp_email,CloudFlare free temp domain email 免费收发 临时域名邮箱 支持附件 IMAP SMTP TelegramBot,TypeScript,10388,6910,43 stars today,dreamhunter2333; claude; Bowl42; dependabot; solarhell
12,pingdotgg/t3code,https://github.com/pingdotgg/t3code,Pas de description,TypeScript,13927,2926,232 stars today,juliusmarminge; codex; t3dotgg; cursoragent; claude
13,Augani/openreel-video,https://github.com/Augani/openreel-video,"OpenReel Video - Professional browser-based video editor. Open source CapCut alternative. 100% browser-based, no installation, no cloud uploads, no watermarks.",TypeScript,4259,588,228 stars today,Augani; lvalics; Copilot; claude; andypotato
14,Infisical/infisical,https://github.com/Infisical/infisical,"Infisical is the open-source platform for secrets, certificates, and privileged access management.",TypeScript,27945,2095,76 stars today,varonix0; maidul98; akhilmhdh; scott-ray-wilson; sheensantoscapadngan
15,mifi/lossless-cut,https://github.com/mifi/lossless-cut,The swiss army knife of lossless video/audio editing,TypeScript,42059,2066,31 stars today,mifi; dependabot; Kuzmich55; taozi1996; bovirus
16,Crosstalk-Solutions/project-nomad,https://github.com/Crosstalk-Solutions/project-nomad,"Project N.O.M.A.D, is a self-contained, offline survival computer packed with critical tools, knowledge, and AI to keep you informed and empowered—anytime, anywhere.",TypeScript,34060,3409,370 stars today,jakeaturner; chriscrosstalk; claude; cosmistack-bot; dependabot
17,ruvnet/ruflo,https://github.com/ruvnet/ruflo,"🌊 The leading agent meta-harness. Deploy intelligent multi-player swarms, coordinate autonomous workflows, and build conversational AI systems. Features adaptive memory, self-learning intelligence, RAG integration, and native Claude Code / Codex / Hermes and many more Integrated",TypeScript,64333,7620,158 stars today,ruvnet; claude; alexx-ftw; lanemc; dependabot
