Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,different-ai/openwork,https://github.com/different-ai/openwork,The open-source alternative to Claude Cowork (powered by opencode),TypeScript,18817,1913,915 stars today,benjaminshafii; src-opn; jcllobet; release-bot; actions-user
2,pascalorg/editor,https://github.com/pascalorg/editor,Create and share 3D architectural projects.,TypeScript,20165,2622,625 stars today,wass08; Aymericr; claude; sudhir9297; open-pascal
3,ChromeDevTools/chrome-devtools-mcp,https://github.com/ChromeDevTools/chrome-devtools-mcp,Chrome DevTools for coding agents,TypeScript,48100,3263,80 stars today,OrKoN; dependabot; Lightning00Blade; browser-automation-bot; nroscino
4,storybookjs/storybook,https://github.com/storybookjs/storybook,"Storybook is the industry standard workshop for building, documenting, and testing UI components in isolation",TypeScript,90716,10290,11 stars today,ndelangen; shilman; valentinpalkovic; yannbf; JReinhold
5,nrwl/nx,https://github.com/nrwl/nx,"The Monorepo Platform that amplifies both developers and AI agents. Nx optimizes your builds, scales your CI, and fixes failed PRs automatically. Ship in half the time.",TypeScript,29161,2913,5 stars today,FrozenPandaz; vsavkin; jaysoo; leosvelperez; Coly010
6,hasura/graphql-engine,https://github.com/hasura/graphql-engine,"Blazing fast, instant realtime GraphQL APIs on all your data with fine grained access control, also trigger webhooks on database events.",TypeScript,32061,2979,1 star today,danieljharvey; rikinsk; github-actions; rakeshkky; robertjdominguez
7,opengeos/GeoLibre,https://github.com/opengeos/GeoLibre,"A lightweight, cloud-native GIS platform for visualizing, exploring, and analyzing geospatial data. It runs in the web browser, on the desktop, on mobile, and inside Jupyter notebooks.",TypeScript,4538,461,640 stars today,giswqs; dependabot; pre-commit-ci; claude; github-actions
8,angular/angular,https://github.com/angular/angular,Deliver web apps with confidence 🚀,TypeScript,100611,27334,10 stars today,gkalpak; petebacondarwin; devversion; angular-robot; crisbeto
9,styled-components/styled-components,https://github.com/styled-components/styled-components,"Fast, expressive styling for React. Server components, client components, streaming SSR, React Native—one API.",TypeScript,41126,2614,1 star today,quantizor; mxstbr; kitten; geelen; patrick91
10,JOYCEQL/magic-resume,https://github.com/JOYCEQL/magic-resume,free online AI resume editor，the only official website is https://magicv.art,TypeScript,9296,1036,119 stars today,JOYCEQL; github-actions; Roan123; meet-student; HYPERVAPOR
11,modelcontextprotocol/typescript-sdk,https://github.com/modelcontextprotocol/typescript-sdk,The official TypeScript SDK for Model Context Protocol servers and clients,TypeScript,13015,2032,17 stars today,jspahrsummers; ihrpr; felixweinberger; KKonstantinov; ochafik
12,apollographql/apollo-client,https://github.com/apollographql/apollo-client,"The industry-leading GraphQL client for TypeScript, JavaScript, React, Vue, Angular, and more. Apollo Client delivers powerful caching, intuitive APIs, and comprehensive developer tools to accelerate your app development.",TypeScript,19809,2813,1 star today,benjamn; renovate-bot; hwillson; helfer; stubailo
13,cypress-io/cypress,https://github.com/cypress-io/cypress,"Fast, easy and reliable testing for anything that runs in a browser.",TypeScript,50644,3557,4 stars today,brian-mann; chrisbreiding; jennifer-shehane; renovate-bot; flotwig
14,google-labs-code/stitch-skills,https://github.com/google-labs-code/stitch-skills,"A library of Agent Skills designed to work with the Stitch MCP server. Each skill follows the Agent Skills open standard, for compatibility with coding agents such as Antigravity, Gemini CLI, Claude Code, Cursor.",TypeScript,7870,978,22 stars today,JLXIA; davideast; Emp1500; dalmaer; meeChn
15,directus/directus,https://github.com/directus/directus,"The flexible backend for all your projects 🐰 Turn your DB into a headless CMS, admin panels, or apps with a custom UI, instant APIs, auth & more.",TypeScript,36940,4869,61 stars today,rijkvanzanten; paescuj; Nitwel; licitdev; dependabot
16,strapi/strapi,https://github.com/strapi/strapi,"🚀 Strapi is the leading open-source headless CMS. It’s 100% JavaScript/TypeScript, fully customizable, and developer-first.",TypeScript,72749,9811,9 stars today,soupette; alexandrebodin; lauriejim; innerdvations; Convly
17,nestjs/nest,https://github.com/nestjs/nest,"A progressive Node.js framework for building efficient, scalable, and enterprise-grade server-side applications with TypeScript/JavaScript 🚀",TypeScript,76261,8434,16 stars today,kamilmysliwiec; dependabot; renovate-bot; renovate; micalevisk
18,actions/checkout,https://github.com/actions/checkout,Action for checking out a repo,TypeScript,8572,2670,5 stars today,ericsciple; dependabot; cory-miller; jww3; thboop
