Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,PrimeIntellect-ai/prime-agent,https://github.com/PrimeIntellect-ai/prime-agent,A self-improving RLM agent for coding workflows and long-running autonomous tasks.,TypeScript,8997,863,"2,483 stars today",kevinjosethomas; snimu; sethkarten; alexzhang13; samsja
2,pingdotgg/t3code,https://github.com/pingdotgg/t3code,Pas de description,TypeScript,17412,3951,182 stars today,juliusmarminge; codex; t3dotgg; claude; cursoragent
3,can1357/oh-my-pi,https://github.com/can1357/oh-my-pi,"⌥ AI Coding agent for the terminal — hash-anchored edits, optimized tool harness, LSP, Python, browser, subagents, and more",TypeScript,23049,2191,235 stars today,can1357; badlogic; roboomp; Mathews-Tom; metaphorics
4,heygen-com/hyperframes,https://github.com/heygen-com/hyperframes,Write HTML. Render video. Built for agents.,TypeScript,40091,3817,157 stars today,miguel-heygen; vanceingalls; jrusso1020; claude; ukimsanov
5,open-metadata/OpenMetadata,https://github.com/open-metadata/OpenMetadata,"The Open Context Layer for Data and AI , OpenMetadata is the open platform for building trusted data context and business semantics for humans, AI assistants, and agents.",TypeScript,14786,2301,22 stars today,pmbrull; harshach; chirag-madlani; ShaileshParmar11; ulixius9
6,remnawave/panel,https://github.com/remnawave/panel,"A powerful proxy management tool, built on top of Xray-core, with a focus on simplicity and ease of use.",TypeScript,4804,278,27 stars today,kastov; kutovoys; DigneZzZ; greptile-apps; PentiumB
7,danielmiessler/LifeOS,https://github.com/danielmiessler/LifeOS,⛰️A General Hill-climbing AI harness that helps you move from Current State to Ideal State in both Life and Work.,TypeScript,17292,2337,57 stars today,danielmiessler; claude; christauff; kaimagnus; ksylvan
8,cloudflare/computer,https://github.com/cloudflare/computer,Give your agent a computer 👾,TypeScript,6612,336,"1,045 stars today",aron-cf; ndisidore; ghostwriternr; dependabot; mattzcarey
9,anomalyco/opencode,https://github.com/anomalyco/opencode,The open source coding agent.,TypeScript,195113,24973,381 stars today,thdxr; adamdotdevin; rekram1-node; opencode-agent; actions-user
10,tashfeenahmed/freellmapi,https://github.com/tashfeenahmed/freellmapi,"OpenAI-compatible proxy that stacks the free tiers of 28 LLM providers (~4B tokens/month) behind one /v1 endpoint — plus any custom OpenAI-compatible endpoint. Smart routing, automatic failover, encrypted keys. Personal experimentation only.",TypeScript,18108,2650,88 stars today,tashfeenahmed; claude; jasnoorgill; Tazrif-Raim; suantea
11,jordanrendric/claude-video-vision,https://github.com/jordanrendric/claude-video-vision,Give Claude the ability to watch and understand videos — Claude Code plugin with frame extraction and multimodal audio analysis,TypeScript,1167,142,25 stars today,jordanrendric; FarhadGSRX; Walidd22; miketuckman; jorboyd
12,Dokploy/dokploy,https://github.com/Dokploy/dokploy,"Open Source Alternative to Vercel, Netlify and Heroku.",TypeScript,36438,2835,23 stars today,Siumauricio; autofix-ci; DJKnaeckebrot; nktnet1; drudge
13,clash-verge-rev/clash-verge-rev,https://github.com/clash-verge-rev/clash-verge-rev,"A modern GUI client based on Tauri, designed to run in Windows, macOS and Linux for tailored proxy experience",TypeScript,136480,9841,315 stars today,zzzgydi; Tunglies; wonfen; MystiPanda; huzibaca
14,firecrawl/firecrawl,https://github.com/firecrawl/firecrawl,"The context API to search, scrape, and interact with the web at scale. 🔥",TypeScript,163432,9192,531 stars today,nickscamara; mogery; rafaelsideguide; abimaelmartell; firecrawl-spring
