Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,chaitanyagiri/munder-difflin,https://github.com/chaitanyagiri/munder-difflin,local multi-agent harness,TypeScript,2045,241,306 stars today,chaitanyagiri; claude; github-actions; pdurlej; qschmick
2,agalwood/Motrix,https://github.com/agalwood/Motrix,A full-featured download manager.,TypeScript,53679,4950,609 stars today,agalwood; shatyuka; dicarne; kant; Raistlin916
3,genlayerlabs/genlayer-project-boilerplate,https://github.com/genlayerlabs/genlayer-project-boilerplate,Pas de description,TypeScript,15951,802,535 stars today,cristiam86; MuncleUscles; danieljrc888; albert-mr; JoaquinBN
4,OpenCut-app/OpenCut,https://github.com/OpenCut-app/OpenCut,The open-source CapCut alternative,TypeScript,84792,8354,192 stars today,mazeincoding; izadoesdev; anwarulislam; khanguyen74; DevloperAmanSingh
5,amruthpillai/reactive-resume,https://github.com/amruthpillai/reactive-resume,"A one-of-a-kind resume builder that keeps your privacy in mind. Completely secure, customizable, portable, open-source and free forever. Try it out today!",TypeScript,41011,4620,180 stars today,amruthpillai; gianantoniopini; dependabot; crowdin-bot; github-actions
6,rmyndharis/OpenWA,https://github.com/rmyndharis/OpenWA,"Free, Open Source, Self-Hosted WhatsApp API Gateway",TypeScript,12946,2981,90 stars today,rmyndharis; dependabot; tobiasstrebitzer; dallascyclist; albanobattistella
7,cordiverse/cordis,https://github.com/cordiverse/cordis,Meta-Framework of Spatiotemporal Composability,TypeScript,6109,334,597 stars today,shigma; Hieuzest; undefined-moe; CyanChanges; imccyu
8,angular/angular,https://github.com/angular/angular,Deliver web apps with confidence 🚀,TypeScript,101008,27430,39 stars today,gkalpak; petebacondarwin; devversion; angular-robot; crisbeto
9,MadsLorentzen/ai-job-search,https://github.com/MadsLorentzen/ai-job-search,"The job search that runs on your machine. AI job application framework built on Claude Code: evaluate postings, tailor CVs, write cover letters, prep interviews. Fork it and own it.",Python,32264,11317,167 stars today,claude; MadsLorentzen; ayobamiseun; oscarbol09; LeoWinston-9596
10,bia-pain-bache/BPB-Worker-Panel,https://github.com/bia-pain-bache/BPB-Worker-Panel,"A GUI Panel providing Worker subscriptions for VLESS, Trojan and Warp configs alongside a private DoH server and chain proxies, offering full DNS, clean IP, Fragment, Warp, Warp pro and routing settings for cross-platform clients using Amnezia, Wireguard, Sing-box, Clash/Mihomo and Xray cores.",TypeScript,13089,31496,81 stars today,bia-pain-bache; github-actions; yonggekkk; XRaySup; shulng
11,upscayl/upscayl,https://github.com/upscayl/upscayl,"🆙 Upscayl - #1 Free and Open Source AI Image Upscaler for Linux, MacOS and Windows.",TypeScript,48563,2445,91 stars today,NayamAmarshe; aaronliu0130; TGS963; Danik1601; dependabot
