Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,actions/checkout,https://github.com/actions/checkout,Action for checking out a repo,TypeScript,8767,2750,8 stars today,ericsciple; dependabot; cory-miller; jww3; thboop
2,OpenCut-app/OpenCut,https://github.com/OpenCut-app/OpenCut,The open-source CapCut alternative,TypeScript,87647,8646,478 stars today,mazeincoding; izadoesdev; anwarulislam; khanguyen74; DevloperAmanSingh
3,Tencent/BrowserSkill,https://github.com/Tencent/BrowserSkill,"Let AI agents use your real, logged-in browser without interrupting your work. CLI + extension for browser automation across any shell-capable AI agent.",TypeScript,1441,113,27 stars today,BB-fat; Ljy-0827; cursoragent; shnpd; NianJiuZst
4,likec4/likec4,https://github.com/likec4/likec4,"Visualize, collaborate, and evolve the software architecture with always actual and live diagrams from your code",TypeScript,5557,375,19 stars today,davydkov; renovate; sraphaz; cursoragent; pavelpykhtin
5,tashfeenahmed/freellmapi,https://github.com/tashfeenahmed/freellmapi,"7.4 billion tokens per month. 34 free LLM providers. 635 free model endpoints. All behind one /v1 endpoint, plus any custom OpenAI-compatible endpoint. Smart routing, automatic failover, encrypted keys. Personal experimentation only.",TypeScript,21250,3030,405 stars today,tashfeenahmed; claude; suantea; OhOkThisIsFine; tashdroid
6,garrytan/gstack,https://github.com/garrytan/gstack,"Use Garry Tan's exact Claude Code setup: 23 opinionated tools that serve as CEO, Designer, Eng Manager, Release Manager, Doc Engineer, and QA",TypeScript,130127,19572,220 stars today,claude; garrytan; test22345; 16francej; jbetala7
7,diegosouzapw/OmniRoute,https://github.com/diegosouzapw/OmniRoute,"Never stop coding. Free MIT AI gateway: one endpoint, 350 providers (90+ free), 1200+ models Kimi, Claude, GPT, Gemini, GLM, DeepSeek, MiniMax. Works with Claude Code, Codex, Cursor, OpenCode, Cline & Copilot. Quota-aware auto-fallback, RTK+Caveman compression saves 15-95% tokens, MCP/A2A, Desktop/PWA. Built by 450+ contributors",TypeScript,57194,7865,853 stars today,diegosouzapw; backryun; oyi77; claude; dependabot
8,NeoLabHQ/context-engineering-kit,https://github.com/NeoLabHQ/context-engineering-kit,"Hand-crafted Claude Code Skills focused on improving agent results quality. Compatible with OpenCode, Cursor, Antigravity, Gemini CLI, and others. Includes CodeRabbit open-source alternative.",TypeScript,1438,153,17 stars today,LeoVS09; github-actions; claude; popey; yoannrenard
9,directus/directus,https://github.com/directus/directus,"The flexible backend for all your projects 🐰 Turn your DB into a headless CMS, admin panels, or apps with a custom UI, instant APIs, auth & more.",TypeScript,37647,4913,111 stars today,rijkvanzanten; paescuj; Nitwel; licitdev; dependabot
10,tutti-os/tutti,https://github.com/tutti-os/tutti,Where people and agents build in tune.,TypeScript,3556,358,52 stars today,SingleMai; devRickyyy; jomeswang; claude; rv4no
11,mksglu/context-mode,https://github.com/mksglu/context-mode,"Context window optimization for AI coding agents. Sandboxes tool output (98% reduction), persists session memory, and enforces routing across 17 platforms via MCP + hooks.",TypeScript,20205,1466,27 stars today,mksglu; claude; github-actions; ipedro; ousamabenyounes
12,ant-design/ant-design,https://github.com/ant-design/ant-design,An enterprise-class UI design language and React UI library,TypeScript,99240,54701,20 stars today,afc163; zombieJ; li-jia-nan; MadCcc; benjycui
13,tradingview/lightweight-charts,https://github.com/tradingview/lightweight-charts,Performant financial charts built with HTML5 canvas,TypeScript,17107,2582,17 stars today,timocov; SlicedSilver; eugene-korobko; edew; kirchet
14,1weiho/open-slide,https://github.com/1weiho/open-slide,A slide framework built for agents.,TypeScript,7221,511,142 stars today,1weiho; claude; github-actions; dependabot; ridemountainpig
15,EveryInc/compound-engineering-plugin,https://github.com/EveryInc/compound-engineering-plugin,"Official Compound Engineering plugin for Claude Code, Codex, Cursor, and more",TypeScript,24627,2025,39 stars today,tmchow; claude; kieranklaassen; github-actions; mvanhorn
16,rohitg00/agentmemory,https://github.com/rohitg00/agentmemory,#1 Persistent memory for AI coding agents based on real-world benchmarks,TypeScript,27648,2378,117 stars today,rohitg00; Tanmay-008; honor2030; claude; efenex
