Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,heygen-com/hyperframes,https://github.com/heygen-com/hyperframes,Write HTML. Render video. Built for agents.,TypeScript,47884,4399,"2,627 stars today",miguel-heygen; vanceingalls; jrusso1020; claude; ukimsanov
2,MoonTechLab/LunaTV,https://github.com/MoonTechLab/LunaTV,本项目采用 CC BY-NC-SA 协议，禁止任何商业化行为，任何衍生项目必须保留本项目地址并以相同协议开源,TypeScript,10233,9054,505 stars today,senshinya; JohnsonRan; github-actions; claude; 1411430556
3,mksglu/context-mode,https://github.com/mksglu/context-mode,"Context window optimization for AI coding agents. Sandboxes tool output (98% reduction), persists session memory, and enforces routing across 17 platforms via MCP + hooks.",TypeScript,21448,1545,651 stars today,mksglu; claude; github-actions; ipedro; ousamabenyounes
4,AdventDevInc/kudu,https://github.com/AdventDevInc/kudu,"Free Windows, Mac and Linux cleaner, scanner, and more.",TypeScript,3311,265,109 stars today,dbfx; claude; dependabot; github-actions; Never-lab
5,nowork-studio/notfair-plugin,https://github.com/nowork-studio/notfair-plugin,"Open-source SEO, GEO, and marketing skills for AI agents.",TypeScript,3683,467,40 stars today,ununununium; claude; tongchen92; codex; Paperclip-Paperclip
6,pascalorg/editor,https://github.com/pascalorg/editor,Create and share 3D architectural projects.,TypeScript,22630,2882,442 stars today,wass08; Aymericr; claude; sudhir9297; open-pascal
7,anomalyco/opencode,https://github.com/anomalyco/opencode,The open source coding agent.,TypeScript,205982,26895,309 stars today,thdxr; adamdotdevin; rekram1-node; opencode-agent; actions-user
8,ruvnet/ruflo,https://github.com/ruvnet/ruflo,"🌊 The original agent meta-harness. Deploy intelligent multi-player swarms, coordinate autonomous workflows, and build conversational AI systems. Features adaptive memory, self-learning intelligence, RAG integration, and native Claude Code / Codex / Hermes and many more Integrated",TypeScript,71694,8485,376 stars today,ruvnet; claude; proffesor-for-testing; dajiaohuang; alexx-ftw
9,aipoch/open-science,https://github.com/aipoch/open-science,"AIPOCH Open-Science is an open-source, local-first, model-agnostic AI research workbench for macOS, Windows, and Linux, with scientific agents, Python/R notebooks, data connectors, and reproducible provenance.",TypeScript,4025,254,73 stars today,ewen-poch; claude; wen2zhou; roxi3906; daanveer-tech
10,maotoumao/MusicFree,https://github.com/maotoumao/MusicFree,插件化、定制化、无广告的免费音乐播放器,TypeScript,26727,1918,49 stars today,maotoumao; 282931; eastcukt; Matsuko97; zhuguibiao
11,n8n-io/n8n,https://github.com/n8n-io/n8n,"Fair-code workflow automation platform with native AI capabilities. Combine visual building with custom code, self-host or cloud, 400+ integrations.",TypeScript,203780,60618,120 stars today,janober; claude; ivov; netroy; RicardoE105
12,BraveOPotato/FckSignups,https://github.com/BraveOPotato/FckSignups,"A list of tools that are open-source, in-browser, and require no-signups!",TypeScript,4109,240,411 stars today,BraveOPotato; Moamal-2000; ic0e; AnandSundar; mbj36
13,Tencent/teamai-cli,https://github.com/Tencent/teamai-cli,Make Every Team AI Native,TypeScript,2443,159,"1,083 stars today",jeff-r2026; claude; m0Nst3r873; cursoragent; Eyre921
14,advaitpaliwal/feynman,https://github.com/advaitpaliwal/feynman,The open source AI research agent.,TypeScript,9245,1053,262 stars today,advaitpaliwal; claude; shkao; randomm; Dunya-8a
15,Nutlope/logocreator,https://github.com/Nutlope/logocreator,A free + OSS logo generator powered by Flux on Together AI,TypeScript,8617,810,15 stars today,Luffixos; claude; samselikoff; Nutlope; Reda-Darbal
