Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,nab138/iloader,https://github.com/nab138/iloader,User friendly sideloader,TypeScript,2927,204,50 stars today,nab138; okinaau; baocreata; se2crid; CelloSerenity
2,melgarafael/DeskcommCRM,https://github.com/melgarafael/DeskcommCRM,"Open-source AI sales OS — self-hosted CRM with native AI agents + WhatsApp (WAHA). Open alternative to Kommo, Octadesk & Intercom for any business that sells by chat. MCP-ready, multi-tenant, LGPD.",TypeScript,1397,503,152 stars today,melgarafael; claude; jmpo; JowaniOrantes; rafaelmelgaco
3,vastsa/PI-Desktop,https://github.com/vastsa/PI-Desktop,Local-first AI coding agent desktop: Electron + Rust host core + pi Agent Harness + user-installable plugins,TypeScript,2814,220,552 stars today,vastsa; claude; Tioit-Wang; yg2224; BioYue
4,alsk1992/CloddsBot,https://github.com/alsk1992/CloddsBot,"Open Source AI trading agent that operates autonomously across 1000+ markets - Polymarket, Kalshi, Binance, Hyperliquid, Solana DEXs, 5 EVM chains. Scans for edge, executes instantly, manages risk while you sleep. Agent commerce protocol for machine-to-machine payments. Self-hosted. Built on Claude.",TypeScript,2186,285,626 stars today,alsk1992; claude; dependabot; dajiaohuang; nox-oss
5,nashsu/llm_wiki,https://github.com/nashsu/llm_wiki,"LLM Wiki is a cross-platform desktop application that turns your documents into an organized, interlinked knowledge base — automatically. Instead of traditional RAG (retrieve-and-answer from scratch every time), the LLM incrementally builds and maintains a persistent wiki from your sources。",TypeScript,18793,2135,647 stars today,nashsu; claude; skfan135; AndrewDongminYoo; chuenchen309
6,pascalorg/editor,https://github.com/pascalorg/editor,"Open-source 3D architectural editor with a local CLI, MCP tools, and practical workflows for humans and AI agents.",TypeScript,23656,2945,106 stars today,wass08; Aymericr; claude; sudhir9297; open-pascal
7,diegosouzapw/OmniRoute,https://github.com/diegosouzapw/OmniRoute,"Never stop coding. Free MIT AI gateway: one endpoint, 352 providers (150+ free), 1200+ models Kimi, Claude, GPT, Gemini, GLM, DeepSeek, MiniMax. Works with Claude Code, Codex, Cursor, OpenCode, Cline & Copilot. Quota-aware auto-fallback, RTK+Caveman compression saves 15-95% tokens, MCP/A2A, Desktop/PWA. Built by 550+ contributors",TypeScript,64926,9077,801 stars today,diegosouzapw; backryun; oyi77; dependabot; claude
8,mksglu/context-mode,https://github.com/mksglu/context-mode,"Context window optimization for AI coding agents. Sandboxes tool output (98% reduction), persists session memory, and enforces routing across 17 platforms via MCP + hooks.",TypeScript,22226,1603,222 stars today,mksglu; claude; github-actions; ipedro; ousamabenyounes
9,Tencent/teamai-cli,https://github.com/Tencent/teamai-cli,Make Every Team AI Native,TypeScript,4185,272,514 stars today,jeff-r2026; claude; m0Nst3r873; cursoragent; Eyre921
10,vercel-labs/skills,https://github.com/vercel-labs/skills,The open agent skills tool - npx skills,TypeScript,31433,2681,417 stars today,quuu; github-actions; huozhi; jonathanhefner; claude
11,microsoft/Ontology-Playground,https://github.com/microsoft/Ontology-Playground,"Free, open-source web app for learning about ontologies and Microsoft Fabric IQ. Explore a catalogue of pre-built ontologies, design your own visually, export as RDF/XML, and share interactive diagrams. Zero backend, fully static.",TypeScript,2663,343,19 stars today,videlalvaro; vaibhavius; dependabot; bbreugel; RaviChanduEdru
12,cursor/plugins,https://github.com/cursor/plugins,Cursor plugin specification and official plugins,TypeScript,7467,653,104 stars today,cursoragent; poteto; ericzakariasson; roshansada; maloneya
13,expo/expo,https://github.com/expo/expo,"An open-source framework for making universal native apps with React. Expo runs on Android, iOS, and the web.",TypeScript,52174,13926,30 stars today,brentvatne; amandeepmittal; tsapeta; lukmccall; EvanBacon
14,tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,A utility-first CSS framework for rapid UI development.,TypeScript,97507,5610,17 stars today,adamwathan; RobinMalfait; depfu; thecrypticace; reinink
15,chthollyphile/folia-major,https://github.com/chthollyphile/folia-major,专注于绚丽的歌词动画效果的本地音乐/navidrome/第三方多平台在线音乐播放器,TypeScript,2349,186,78 stars today,chthollyphile; allcontributors; oldking139; tumuyan; CrKcel
16,awslabs/aidlc-workflows,https://github.com/awslabs/aidlc-workflows,AI-Driven Life Cycle (AI-DLC) adaptive workflow steering rules for AI coding agents,TypeScript,4558,821,37 stars today,apackeer; leandrodamascena; raj-jain-aws; scottschreckengaust; dependabot
