Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,anthropics/claude-code,https://github.com/anthropics/claude-code,"Claude Code is an agentic coding tool that lives in your terminal, understands your codebase, and helps you code faster by executing routine tasks, explaining complex code, and handling git workflows - all through natural language commands.",TypeScript,146346,23804,444 stars today,actions-user; poteat; bcherny; claude; ant-kurt
2,Tencent/BrowserSkill,https://github.com/Tencent/BrowserSkill,"Let AI agents use your real, logged-in browser without interrupting your work. CLI + extension for browser automation across any shell-capable AI agent.",TypeScript,5374,371,"1,306 stars today",TencentXiaowei; Ljy-0827; iuyo5678; BB-fat; cursoragent
3,Fission-AI/OpenSpec,https://github.com/Fission-AI/OpenSpec,Spec-driven development (SDD) for AI coding assistants.,TypeScript,69407,4751,296 stars today,TabishB; clay-good; claude; github-actions; openspec-release-bot
4,supermemoryai/supermemory,https://github.com/supermemoryai/supermemory,"Memory and context engine + app that is extremely fast, scalable, and can be run fully locally. The Memory API for the AI era.",TypeScript,30337,2642,140 stars today,Dhravya; MaheshtheDev; yxshv; CodeTorso; ved015
5,supabase/supabase,https://github.com/supabase/supabase,"The Postgres development platform. Supabase gives you a dedicated Postgres database to build your web, mobile, and AI applications.",TypeScript,110176,14310,120 stars today,joshenlim; kiwicopple; MildTomato; saltcod; alaister
6,ahmedkhaleel2004/gitdiagram,https://github.com/ahmedkhaleel2004/gitdiagram,"Free, simple, fast interactive diagrams for any GitHub repository",TypeScript,16487,1258,152 stars today,ahmedkhaleel2004; claude; dependabot; martin226
7,cline/cline,https://github.com/cline/cline,"Autonomous coding agent as an SDK, IDE extension, or CLI assistant.",TypeScript,68708,7425,242 stars today,saoudrizwan; abeatrix; celestial-vault; arafatkatze; BarreiroT
8,rowboatlabs/rowboat,https://github.com/rowboatlabs/rowboat,AI coworker with memory and collaboration,TypeScript,17904,1783,57 stars today,ramnique; arkml; claude; akhisud3195; tusharmagar
9,NanmiCoder/cc-haha,https://github.com/NanmiCoder/cc-haha,"Local-first cross-platform desktop workspace for Claude Code / agents: multi-agent, Git worktrees, code diffs, skill marketplace, multi-model, Computer Use, task-aware desktop pets, with WeChat, Feishu, DingTalk, Telegram, WhatsApp and H5 access.",TypeScript,14630,8567,33 stars today,NanmiCoder; claude; zhbdesign; 1506086927; YanZhiwei
10,every-app/open-seo,https://github.com/every-app/open-seo,Open source alternative to Semrush and Ahrefs,TypeScript,19329,2485,189 stars today,bensenescu; claude; jeremypenguin-max; bookingseo; mvanhorn
11,backnotprop/plannotator,https://github.com/backnotprop/plannotator,"Annotate and review coding agent plans and code diffs visually, share with your team, send feedback to agents with one click.",TypeScript,8791,660,39 stars today,backnotprop; claude; flex-yj-kim; FNDEVVE; devin-ai-integration
12,tashfeenahmed/freellmapi,https://github.com/tashfeenahmed/freellmapi,"7.4 billion tokens per month. 34 free LLM providers. 635 free model endpoints. All behind one /v1 endpoint, plus any custom OpenAI-compatible endpoint. Smart routing, automatic failover, encrypted keys. Personal experimentation only.",TypeScript,27187,3711,264 stars today,tashfeenahmed; claude; suantea; OhOkThisIsFine; jasnoorgill
13,stablyai/orca,https://github.com/stablyai/orca,"Orca is the ADE for working with a fleet of parallel agents. Run any coding agent with your own subscription. Available on desktop, mobile and remote runtime.",TypeScript,72042,4709,831 stars today,nwparker; AmethystLiang; orca-ide; brennanb2025; Jinwoo-H
14,n8n-io/n8n,https://github.com/n8n-io/n8n,"Fair-code workflow automation platform with native AI capabilities. Combine visual building with custom code, self-host or cloud, 400+ integrations.",TypeScript,205302,60780,558 stars today,janober; claude; ivov; netroy; RicardoE105
15,lfnovo/open-notebook,https://github.com/lfnovo/open-notebook,An Open Source implementation of Notebook LM with more flexibility and features,TypeScript,39150,4538,62 stars today,lfnovo; dependabot; claude; kwp3; mvanhorn
16,jamiepine/voicebox,https://github.com/jamiepine/voicebox,"The open-source AI voice studio. Clone, dictate, create.",TypeScript,55118,6864,416 stars today,jamiepine; claude; tomasmach; mvanhorn; selop
17,heygen-com/hyperframes,https://github.com/heygen-com/hyperframes,Write HTML. Render video. Built for agents.,TypeScript,51422,4683,333 stars today,miguel-heygen; vanceingalls; jrusso1020; claude; ukimsanov
18,yikart/AiToEarn,https://github.com/yikart/AiToEarn,Let's use AI to Earn!,TypeScript,26062,4212,50 stars today,niuwenzheng; gaozhenqiang; Yuuki-Sakura; whh2333; gao1234-prog
