Rank,Name,URL,Description,Language,Stars,Forks,Stars Today,Contributors
1,paperclipai/paperclip,https://github.com/paperclipai/paperclip,The open-source app everyone uses to manage agents at work,TypeScript,85176,15251,"2,109 stars today",cryppadotta; Paperclip-Paperclip; devinfoley; claude; nickyleach
2,dream-num/univer,https://github.com/dream-num/univer,"The Office Harness for AI Agents — Spreadsheets, Docs, Slides, Canvas, Relational Tables, and PDF in one runtime.",TypeScript,18615,1588,"1,050 stars today",jikkai; DR-Univer; wzhudev; Dushusir; wpxp123456
3,payloadcms/payload,https://github.com/payloadcms/payload,"Payload is the open-source, fullstack Next.js framework, giving you instant backend superpowers. Get a full TypeScript backend and admin panel instantly. Use Payload as a headless CMS or for building powerful applications.",TypeScript,44966,4219,26 stars today,jmikrut; denolfe; AlessioGr; jacobsfletch; JarrodMFlesch
4,stablyai/orca,https://github.com/stablyai/orca,"Orca is the ADE for working with a fleet of parallel agents. Run any coding agent with your own subscription. Available on desktop, mobile and remote runtime.",TypeScript,78402,5129,818 stars today,nwparker; AmethystLiang; orca-ide; brennanb2025; Jinwoo-H
5,NginxProxyManager/nginx-proxy-manager,https://github.com/NginxProxyManager/nginx-proxy-manager,"Docker container for managing Nginx proxy hosts with a simple, powerful interface",TypeScript,34239,3917,21 stars today,jc21; dependabot; chaptergy; 7heMech; archettitechnology
6,mvschwarz/openrig,https://github.com/mvschwarz/openrig,Multi-agent harness that runs Claude Code and Codex together as one system,TypeScript,456,59,80 stars today,mvschwarz; claude; mattik; agentS; danielkuykendall23-boop
7,every-app/open-seo,https://github.com/every-app/open-seo,Open source alternative to Semrush and Ahrefs,TypeScript,21104,2700,209 stars today,bensenescu; claude; jeremypenguin-max; bookingseo; mvanhorn
8,vega-org/vega-app,https://github.com/vega-org/vega-app,A media streaming app for android.,TypeScript,1430,198,20 stars today,himanshu8443; Zenda-Cross; Anshu08787; OshekharO; thewahab07
9,FxEmbed/FxEmbed,https://github.com/FxEmbed/FxEmbed,"Fix X/Twitter and Bluesky embeds! Use multiple images, videos, polls, translations and more on Discord, Telegram and others",TypeScript,5456,257,131 stars today,renovate; dangeredwolf; cursoragent; Wazbat; coderabbitai
10,cursor/plugins,https://github.com/cursor/plugins,Cursor plugin specification and official plugins,TypeScript,8656,811,66 stars today,cursoragent; poteto; ericzakariasson; roshansada; maloneya
11,openclaw/openclaw,https://github.com/openclaw/openclaw,The AI that really does things. Any OS. Any Platform. The lobster way. 🦞,TypeScript,390526,82151,167 stars today,steipete; vincentkoc; shakkernerd; obviyus; Takhoffman
12,ChromeDevTools/chrome-devtools-mcp,https://github.com/ChromeDevTools/chrome-devtools-mcp,Chrome DevTools for coding agents,TypeScript,52614,4779,34 stars today,OrKoN; dependabot; Lightning00Blade; browser-automation-bot; yulunz
13,anomalyco/opencode,https://github.com/anomalyco/opencode,The open source coding agent.,TypeScript,210083,27775,193 stars today,thdxr; adamdotdevin; rekram1-node; opencode-agent; actions-user
14,zhukunpenglinyutong/desktop-cc-gui,https://github.com/zhukunpenglinyutong/desktop-cc-gui,"Multi-engine AI coding desktop client (Tauri). Claude Code, Codex, Gemini, OpenCode, DeepSeek Harness and more in one GUI.",TypeScript,4383,396,16 stars today,chenxiangning; zhukunpenglinyutong; MurasameCyan; github-actions; Juddd
